,city,city_code,control_type,elevation,location_type,project,sample_type,setting,station,surface,surface_material,traffic
haib17CEM4890_H2NYMCCXY_SL254820,new_york_city,NYC,,,,,environmental_microbiome,,,turnstile,metal,
haib17CEM4890_H2NYMCCXY_SL254821,new_york_city,NYC,,,,,environmental_microbiome,,,turnstile,metal,
haib17CEM4890_H2NYMCCXY_SL254822,new_york_city,NYC,,,,,environmental_microbiome,,,,,
haib17CEM4890_H2NYMCCXY_SL254823,rio_de_janeiro,RIO,,,,OLYMPIOME,environmental_microbiome,,central station,station railing,,
haib17CEM4890_H2NYMCCXY_SL254824,rio_de_janeiro,RIO,,,,OLYMPIOME,environmental_microbiome,,general osório station,station seat,,
haib17CEM4890_H2NYMCCXY_SL254825,rio_de_janeiro,RIO,,,,OLYMPIOME,environmental_microbiome,,vicente de carvalho station,station eletronic kiosk,,
haib17CEM4890_H2NYMCCXY_SL254826,rio_de_janeiro,RIO,,,,OLYMPIOME,environmental_microbiome,,general osório station,station seat,,
haib17CEM4890_H2NYMCCXY_SL254827,rio_de_janeiro,RIO,,,,OLYMPIOME,environmental_microbiome,,vicente de carvalho station,station eletronic kiosk,,
haib17CEM4890_H2NYMCCXY_SL254828,fairbanks,FAI,,,,,environmental_microbiome,,,metal_bench,metal,
haib17CEM4890_H2NYMCCXY_SL254829,ofa,OFA,,,,,environmental_microbiome,,,,,
haib17CEM4890_H2NYMCCXY_SL254830,ilorin,OFA,,,,,environmental_microbiome,,,,metal,
haib17CEM4890_H2NYMCCXY_SL254831,ilorin,OFA,,,,,environmental_microbiome,,,,plastic,
haib17CEM4890_H2NYMCCXY_SL254832,new_york_city,NYC,,,,,environmental_microbiome,,,kiosk,metal,
haib17CEM4890_H2NYMCCXY_SL254833,new_york_city,NYC,,,,,environmental_microbiome,,,kiosk,metal,
haib17CEM4890_H2NYMCCXY_SL254834,new_york_city,NYC,,,,,environmental_microbiome,,,,,
haib17CEM4890_H2NYMCCXY_SL254835,rio_de_janeiro,RIO,,,,OLYMPIOME,environmental_microbiome,,central station,station eletronic kiosk,,
