,city,city_code,control_type,elevation,location_type,project,sample_type,setting,station,surface,surface_material,traffic
haib17CEM5106_HCCGHCCXY_SL270297,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,ticket_machine,glass,
haib17CEM5106_HCCGHCCXY_SL270298,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,ticket_machine,glass,
haib17CEM5106_HCCGHCCXY_SL270299,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,ticket_machine,glass,
haib17CEM5106_HCCGHCCXY_SL270300,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,ticket_machine,glass,
haib17CEM5106_HCCGHCCXY_SL270301,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,ticket_machine,glass,
haib17CEM5106_HCCGHCCXY_SL270302,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,ticket_machine,glass,
haib17CEM5106_HCCGHCCXY_SL270303,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,ticket_machine,glass,
haib17CEM5106_HCCGHCCXY_SL270304,london,LON,,above_ground_open,,CSD17,environmental_microbiome,urban,,ticket_machine,glass,
haib17CEM5106_HCCGHCCXY_SL270305,london,LON,,above_ground_open,,CSD17,environmental_microbiome,urban,,ticket_machine,glass,
haib17CEM5106_HCCGHCCXY_SL270306,london,LON,,above_ground_open,,CSD17,environmental_microbiome,urban,,ticket_machine,glass,
haib17CEM5106_HCCGHCCXY_SL270307,london,LON,,above_ground_open,,CSD17,environmental_microbiome,urban,,ticket_machine,glass,
haib17CEM5106_HCCGHCCXY_SL270308,london,LON,,above_ground_open,,CSD17,environmental_microbiome,urban,,ticket_machine,glass,
haib17CEM5106_HCCGHCCXY_SL270309,london,LON,,above_ground_open,,CSD17,environmental_microbiome,urban,,ticket_machine,glass,
haib17CEM5106_HCCGHCCXY_SL270310,london,LON,,above_ground_open,,CSD17,environmental_microbiome,urban,,ticket_machine,glass,
haib17CEM5106_HCCGHCCXY_SL270311,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,ticket_machine,glass,
haib17CEM5106_HCCGHCCXY_SL270312,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,ticket_machine,glass,
haib17CEM5106_HCCGHCCXY_SL270313,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,ticket_machine,glass,
haib17CEM5106_HCCGHCCXY_SL270314,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,ticket_machine,glass,
haib17CEM5106_HCCGHCCXY_SL270315,london,LON,positive_control,,,CSD17,environmental_microbiome,,,,,
haib17CEM5106_HCCGHCCXY_SL270316,london,LON,positive_control,,,CSD17,environmental_microbiome,,,,,
haib17CEM5106_HCCGHCCXY_SL270317,london,LON,negative_control,,,CSD17,environmental_microbiome,,,,,
haib17CEM5106_HCCGHCCXY_SL270318,london,LON,negative_control,,,CSD17,environmental_microbiome,,,,,
haib17CEM5106_HCCGHCCXY_SL270319,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,ticket_machine,glass,
haib17CEM5106_HCCGHCCXY_SL270320,london,LON,,above_ground_open,,CSD17,environmental_microbiome,urban,,handrail,wood,
haib17CEM5106_HCCGHCCXY_SL270321,london,LON,,above_ground_open,,CSD17,environmental_microbiome,urban,,handrail,metal,
haib17CEM5106_HCCGHCCXY_SL270322,london,LON,,above_ground_open,,CSD17,environmental_microbiome,urban,,handrail,metal,
haib17CEM5106_HCCGHCCXY_SL270323,london,LON,,above_ground_open,,CSD17,environmental_microbiome,urban,,handrail,metal,
haib17CEM5106_HCCGHCCXY_SL270324,london,LON,,above_ground_open,,CSD17,environmental_microbiome,urban,,handrail,wood,
haib17CEM5106_HCCGHCCXY_SL270325,london,LON,,above_ground_open,,CSD17,environmental_microbiome,urban,,handrail,metal,
haib17CEM5106_HCCGHCCXY_SL270326,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,escalator_handrail,rubber,
haib17CEM5106_HCCGHCCXY_SL270327,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,escalator_handrail,rubber,
haib17CEM5106_HCCGHCCXY_SL270328,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,handrail,metal,
haib17CEM5106_HCCGHCCXY_SL270329,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,escalator_handrail,rubber,
haib17CEM5106_HCCGHCCXY_SL270330,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,handrail,wood,
haib17CEM5106_HCCGHCCXY_SL270331,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,handrail,metal,
haib17CEM5106_HCCGHCCXY_SL270332,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,escalator_handrail,rubber,
haib17CEM5106_HCCGHCCXY_SL270333,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,handrail,metal,
haib17CEM5106_HCCGHCCXY_SL270334,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,escalator_handrail,rubber,
haib17CEM5106_HCCGHCCXY_SL270335,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,handrail,metal,
haib17CEM5106_HCCGHCCXY_SL270336,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,handrail,metal,
haib17CEM5106_HCCGHCCXY_SL270337,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,escalator_handrail,rubber,
haib17CEM5106_HCCGHCCXY_SL270338,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,handrail,metal,
haib17CEM5106_HCCGHCCXY_SL270339,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,handrail,wood,
haib17CEM5106_HCCGHCCXY_SL270340,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,handrail,wood,
haib17CEM5106_HCCGHCCXY_SL270341,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,handrail,metal,
haib17CEM5106_HCCGHCCXY_SL270342,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,escalator_handrail,rubber,
haib17CEM5106_HCCGHCCXY_SL270343,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,handrail,metal,
haib17CEM5106_HCCGHCCXY_SL270344,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,escalator_handrail,rubber,
haib17CEM5106_HCCGHCCXY_SL270345,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,escalator_handrail,rubber,
haib17CEM5106_HCCGHCCXY_SL270346,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,escalator_handrail,rubber,
haib17CEM5106_HCCGHCCXY_SL270347,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,escalator_handrail,rubber,
haib17CEM5106_HCCGHCCXY_SL270348,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,handrail,metal,
haib17CEM5106_HCCGHCCXY_SL270349,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,escalator_handrail,rubber,
haib17CEM5106_HCCGHCCXY_SL270350,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,escalator_handrail,rubber,
haib17CEM5106_HCCGHCCXY_SL270351,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,escalator_handrail,rubber,
haib17CEM5106_HCCGHCCXY_SL270352,london,LON,,above_ground_open,,CSD17,environmental_microbiome,urban,,handrail,metal,
haib17CEM5106_HCCGHCCXY_SL270353,london,LON,,above_ground_open,,CSD17,environmental_microbiome,urban,,handrail,wood,
haib17CEM5106_HCCGHCCXY_SL270354,london,LON,,above_ground_open,,CSD17,environmental_microbiome,urban,,handrail,metal_wood,
haib17CEM5106_HCCGHCCXY_SL270355,london,LON,,above_ground_open,,CSD17,environmental_microbiome,urban,,handrail,metal_wood,
haib17CEM5106_HCCGHCCXY_SL270356,london,LON,,above_ground_open,,CSD17,environmental_microbiome,urban,,handrail,metal_wood,
haib17CEM5106_HCCGHCCXY_SL270357,london,LON,,above_ground_open,,CSD17,environmental_microbiome,urban,,handrail,wood,
haib17CEM5106_HCCGHCCXY_SL270358,london,LON,,above_ground_open,,CSD17,environmental_microbiome,urban,,handrail,wood,
haib17CEM5106_HCCGHCCXY_SL270359,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,handrail,wood,
haib17CEM5106_HCCGHCCXY_SL270360,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,handrail,wood,
haib17CEM5106_HCCGHCCXY_SL270361,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,handrail,wood,
haib17CEM5106_HCCGHCCXY_SL270362,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,handrail,wood,
haib17CEM5106_HCCGHCCXY_SL270363,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,handrail,wood,
haib17CEM5106_HCCGHCCXY_SL270364,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,handrail,metal,
haib17CEM5106_HCCGHCCXY_SL270365,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,escalator_handrail,rubber,
haib17CEM5106_HCCGHCCXY_SL270366,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,handrail,metal,
haib17CEM5106_HCCGHCCXY_SL270367,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,escalator_handrail,rubber,
haib17CEM5106_HCCGHCCXY_SL270368,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,escalator_handrail,rubber,
haib17CEM5106_HCCGHCCXY_SL270369,london,LON,,above_ground_open,,CSD17,environmental_microbiome,urban,,bench,wood,
haib17CEM5106_HCCGHCCXY_SL270370,london,LON,,above_ground_open,,CSD17,environmental_microbiome,urban,,bench,wood,
haib17CEM5106_HCCGHCCXY_SL270371,london,LON,,above_ground_open,,CSD17,environmental_microbiome,urban,,bench,wood,
haib17CEM5106_HCCGHCCXY_SL270372,london,LON,,above_ground_open,,CSD17,environmental_microbiome,urban,,bench,metal_wood,
haib17CEM5106_HCCGHCCXY_SL270373,london,LON,,above_ground_open,,CSD17,environmental_microbiome,urban,,bench,metal_wood,
haib17CEM5106_HCCGHCCXY_SL270374,london,LON,,above_ground_open,,CSD17,environmental_microbiome,urban,,bench,metal_wood,
haib17CEM5106_HCCGHCCXY_SL270375,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,bench,metal,
haib17CEM5106_HCCGHCCXY_SL270376,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,bench,metal,
haib17CEM5106_HCCGHCCXY_SL270377,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,bench,metal,
haib17CEM5106_HCCGHCCXY_SL270378,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,bench,metal,
haib17CEM5106_HCCGHCCXY_SL270379,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,bench,metal,
haib17CEM5106_HCCGHCCXY_SL270380,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,bench,metal,
haib17CEM5106_HCCGHCCXY_SL270381,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,bench,metal,
haib17CEM5106_HCCGHCCXY_SL270382,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,bench,metal,
haib17CEM5106_HCCGHCCXY_SL270383,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,bench,metal,
haib17CEM5106_HCCGHCCXY_SL270384,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,bench,metal_wood,
haib17CEM5106_HCCGHCCXY_SL270385,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,bench,metal,
haib17CEM5106_HCCGHCCXY_SL270386,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,handrail,metal,
haib17CEM5106_HCCGHCCXY_SL270387,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,bench,metal,
haib17CEM5106_HCCGHCCXY_SL270388,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,bench,metal,
haib17CEM5106_HCCGHCCXY_SL270389,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,bench,metal,
haib17CEM5106_HCCGHCCXY_SL270390,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,bench,wood,
haib17CEM5106_HCCGHCCXY_SL270391,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,bench,wood,
haib17CEM5106_HCCGHCCXY_SL270392,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,bench,wood,
haib17CEM5106_HCCGHCCXY_SL270393,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,bench,wood,
haib17CEM5106_HCCGHCCXY_SL270394,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,bench,wood,
haib17CEM5106_HCCGHCCXY_SL270395,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,bench,wood,
haib17CEM5106_HCCGHCCXY_SL270396,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,bench,wood,
haib17CEM5106_HCCGHCCXY_SL270397,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,bench,wood,
haib17CEM5106_HCCGHCCXY_SL270398,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,bench,wood,
haib17CEM5106_HCCGHCCXY_SL270399,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,bench,metal,
haib17CEM5106_HCCGHCCXY_SL270400,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,bench,metal,
haib17CEM5106_HCCGHCCXY_SL270401,london,LON,,above_ground_open,,CSD17,environmental_microbiome,urban,,bench,-,
haib17CEM5106_HCCGHCCXY_SL270402,london,LON,,above_ground_open,,CSD17,environmental_microbiome,urban,,bench,wood,
haib17CEM5106_HCCGHCCXY_SL270403,london,LON,,above_ground_open,,CSD17,environmental_microbiome,urban,,bench,metal_wood,
haib17CEM5106_HCCGHCCXY_SL270404,london,LON,,above_ground_open,,CSD17,environmental_microbiome,urban,,bench,metal_wood,
haib17CEM5106_HCCGHCCXY_SL270405,london,LON,,above_ground_open,,CSD17,environmental_microbiome,urban,,bench,metal_wood,
haib17CEM5106_HCCGHCCXY_SL270406,london,LON,,above_ground_open,,CSD17,environmental_microbiome,urban,,bench,metal_wood,
haib17CEM5106_HCCGHCCXY_SL270407,london,LON,,above_ground_open,,CSD17,environmental_microbiome,urban,,bench,metal_wood,
haib17CEM5106_HCCGHCCXY_SL270408,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,bench,metal,
haib17CEM5106_HCCGHCCXY_SL270409,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,bench,metal,
haib17CEM5106_HCCGHCCXY_SL270410,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,bench,metal,
haib17CEM5106_HCCGHCCXY_SL270411,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,bench,metal,
haib17CEM5106_HCCGHCCXY_SL270412,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,bench,metal,
haib17CEM5106_HCCGHCCXY_SL270413,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,bench,metal,
haib17CEM5106_HCCGHCCXY_SL270414,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,bench,metal,
haib17CEM5106_HCCGHCCXY_SL270415,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,bench,metal,
haib17CEM5106_HCCGHCCXY_SL270416,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,bench,metal,
haib17CEM5106_HCCGHCCXY_SL270417,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,bench,metal,
haib17CEM5106_HCCGHCCXY_SL270418,london,LON,,above_ground_open,,CSD17,environmental_microbiome,urban,,ticket_machine,glass,
haib17CEM5106_HCCGHCCXY_SL270419,london,LON,,above_ground_open,,CSD17,environmental_microbiome,urban,,ticket_machine,glass,
haib17CEM5106_HCCGHCCXY_SL270420,london,LON,,above_ground_open,,CSD17,environmental_microbiome,urban,,ticket_machine,glass,
haib17CEM5106_HCCGHCCXY_SL270421,london,LON,,above_ground_open,,CSD17,environmental_microbiome,urban,,ticket_machine,glass,
haib17CEM5106_HCCGHCCXY_SL270422,london,LON,,above_ground_open,,CSD17,environmental_microbiome,urban,,ticket_machine,glass,
haib17CEM5106_HCCGHCCXY_SL270423,london,LON,,above_ground_open,,CSD17,environmental_microbiome,urban,,ticket_machine,glass,
haib17CEM5106_HCCGHCCXY_SL270424,london,LON,,above_ground_open,,CSD17,environmental_microbiome,urban,,ticket_machine,glass,
haib17CEM5106_HCCGHCCXY_SL270425,london,LON,,above_ground_open,,CSD17,environmental_microbiome,urban,,ticket_machine,glass,
haib17CEM5106_HCCGHCCXY_SL270426,london,LON,,above_ground_open,,CSD17,environmental_microbiome,urban,,ticket_machine,glass,
haib17CEM5106_HCCGHCCXY_SL270427,london,LON,,above_ground_open,,CSD17,environmental_microbiome,urban,,ticket_machine,glass,
haib17CEM5106_HCCGHCCXY_SL270428,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,ticket_machine,glass,
haib17CEM5106_HCCGHCCXY_SL270429,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,ticket_machine,glass,
haib17CEM5106_HCCGHCCXY_SL270430,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,ticket_machine,glass,
haib17CEM5106_HCCGHCCXY_SL270431,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,ticket_machine,glass,
haib17CEM5106_HCCGHCCXY_SL270432,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,ticket_machine,glass,
haib17CEM5106_HCCGHCCXY_SL270433,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,ticket_machine,glass,
haib17CEM5106_HCCGHCCXY_SL270434,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,ticket_machine,glass,
haib17CEM5106_HCCGHCCXY_SL270435,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,ticket_machine,glass,
haib17CEM5106_HCCGHCCXY_SL270436,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,ticket_machine,glass,
haib17CEM5106_HCCGHCCXY_SL270437,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,ticket_machine,glass,
haib17CEM5106_HCCGHCCXY_SL270438,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,ticket_machine,glass,
haib17CEM5106_HCCGHCCXY_SL270439,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,ticket_machine,glass,
haib17CEM5106_HCCGHCCXY_SL270440,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,ticket_machine,glass,
haib17CEM5106_HCCGHCCXY_SL270441,london,LON,,above_ground_open,,CSD17,environmental_microbiome,urban,,handrail,metal,
haib17CEM5106_HCCGHCCXY_SL270442,london,LON,,above_ground_open,,CSD17,environmental_microbiome,urban,,handrail,metal,
haib17CEM5106_HCCGHCCXY_SL270443,london,LON,,above_ground_open,,CSD17,environmental_microbiome,urban,,handrail,metal,
haib17CEM5106_HCCGHCCXY_SL270444,london,LON,,above_ground_open,,CSD17,environmental_microbiome,urban,,handrail,metal,
haib17CEM5106_HCCGHCCXY_SL270445,london,LON,,above_ground_open,,CSD17,environmental_microbiome,urban,,handrail,wood,
haib17CEM5106_HCCGHCCXY_SL270446,london,LON,,above_ground_open,,CSD17,environmental_microbiome,urban,,handrail,metal,
haib17CEM5106_HCCGHCCXY_SL270447,london,LON,,above_ground_open,,CSD17,environmental_microbiome,urban,,handrail,metal,
haib17CEM5106_HCCGHCCXY_SL270448,london,LON,,above_ground_open,,CSD17,environmental_microbiome,urban,,handrail,metal,
haib17CEM5106_HCCGHCCXY_SL270449,london,LON,,above_ground_open,,CSD17,environmental_microbiome,urban,,handrail,metal,
haib17CEM5106_HCCGHCCXY_SL270450,london,LON,,above_ground_open,,CSD17,environmental_microbiome,urban,,handrail,metal,
haib17CEM5106_HCCGHCCXY_SL270451,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,escalator_handrail,rubber,
haib17CEM5106_HCCGHCCXY_SL270452,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,escalator_handrail,rubber,
haib17CEM5106_HCCGHCCXY_SL270453,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,escalator_handrail,rubber,
haib17CEM5106_HCCGHCCXY_SL270454,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,escalator_handrail,rubber,
haib17CEM5106_HCCGHCCXY_SL270455,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,handrail,metal,
haib17CEM5106_HCCGHCCXY_SL270456,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,handrail,metal,
haib17CEM5106_HCCGHCCXY_SL270457,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,handrail,metal,
haib17CEM5106_HCCGHCCXY_SL270458,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,handrail,metal,
haib17CEM5106_HCCGHCCXY_SL270459,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,handrail,metal,
haib17CEM5106_HCCGHCCXY_SL270460,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,handrail,metal,
haib17CEM5106_HCCGHCCXY_SL270461,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,handrail,metal,
haib17CEM5106_HCCGHCCXY_SL270462,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,handrail,metal,
haib17CEM5106_HCCGHCCXY_SL270463,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,escalator_handrail,rubber,
haib17CEM5106_HCCGHCCXY_SL270464,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,handrail,metal,
haib17CEM5106_HCCGHCCXY_SL270465,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,handrail,metal,
haib17CEM5106_HCCGHCCXY_SL270466,london,LON,,above_ground_open,,CSD17,environmental_microbiome,urban,,bench,wood,
haib17CEM5106_HCCGHCCXY_SL270467,london,LON,,above_ground_open,,CSD17,environmental_microbiome,urban,,bench,metal_wood,
haib17CEM5106_HCCGHCCXY_SL270468,london,LON,,above_ground_open,,CSD17,environmental_microbiome,urban,,bench,wood,
haib17CEM5106_HCCGHCCXY_SL270469,london,LON,positive_control,,,CSD17,environmental_microbiome,,,,,
haib17CEM5106_HCCGHCCXY_SL270470,london,LON,positive_control,,,CSD17,environmental_microbiome,,,,,
haib17CEM5106_HCCGHCCXY_SL270471,london,LON,negative_control,,,CSD17,environmental_microbiome,,,,,
haib17CEM5106_HCCGHCCXY_SL270472,london,LON,negative_control,,,CSD17,environmental_microbiome,,,,,
haib17CEM5106_HCCGHCCXY_SL270473,london,LON,,above_ground_open,,CSD17,environmental_microbiome,urban,,bench,wood,
haib17CEM5106_HCCGHCCXY_SL270474,london,LON,,above_ground_open,,CSD17,environmental_microbiome,urban,,bench,metal,
haib17CEM5106_HCCGHCCXY_SL270475,london,LON,,above_ground_open,,CSD17,environmental_microbiome,urban,,bench,wood,
haib17CEM5106_HCCGHCCXY_SL270476,london,LON,,above_ground_open,,CSD17,environmental_microbiome,urban,,bench,metal,
haib17CEM5106_HCCGHCCXY_SL270477,london,LON,,above_ground_open,,CSD17,environmental_microbiome,urban,,bench,metal_wood,
haib17CEM5106_HCCGHCCXY_SL270478,london,LON,,above_ground_open,,CSD17,environmental_microbiome,urban,,bench,metal_wood,
haib17CEM5106_HCCGHCCXY_SL270479,london,LON,,above_ground_open,,CSD17,environmental_microbiome,urban,,bench,metal,
haib17CEM5106_HCCGHCCXY_SL270480,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,bench,metal,
haib17CEM5106_HCCGHCCXY_SL270481,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,bench,metal,
haib17CEM5106_HCCGHCCXY_SL270482,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,bench,metal,
haib17CEM5106_HCCGHCCXY_SL270483,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,bench,metal,
haib17CEM5106_HCCGHCCXY_SL270484,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,bench,metal,
haib17CEM5106_HCCGHCCXY_SL270485,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,bench,metal,
haib17CEM5106_HCCGHCCXY_SL270486,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,bench,metal,
haib17CEM5106_HCCGHCCXY_SL270487,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,bench,metal,
haib17CEM5106_HCCGHCCXY_SL270488,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,bench,metal,
haib17CEM5106_HCCGHCCXY_SL270489,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,bench,metal,
haib17CEM5106_HCCGHCCXY_SL270490,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,bench,metal,
haib17CEM5106_HCCGHCCXY_SL270491,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,bench,metal,
haib17CEM5106_HCCGHCCXY_SL270492,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,bench,metal,
haib17CEM5106_HCCGHCCXY_SL270493,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,bench,metal,
haib17CEM5106_HCCGHCCXY_SL270494,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,bench,metal,
haib17CEM5106_HCCGHCCXY_SL270495,london,LON,,above_ground_open,,CSD17,environmental_microbiome,urban,,ticket_machine,glass,
haib17CEM5106_HCCGHCCXY_SL270496,london,LON,,above_ground_open,,CSD17,environmental_microbiome,urban,,ticket_machine,glass,
haib17CEM5106_HCCGHCCXY_SL270497,london,LON,,above_ground_open,,CSD17,environmental_microbiome,urban,,ticket_machine,glass,
haib17CEM5106_HCCGHCCXY_SL270498,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,ticket_machine,glass,
haib17CEM5106_HCCGHCCXY_SL270499,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,ticket_machine,glass,
haib17CEM5106_HCCGHCCXY_SL270500,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,ticket_machine,glass,
haib17CEM5106_HCCGHCCXY_SL270501,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,ticket_machine,glass,
haib17CEM5106_HCCGHCCXY_SL270502,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,ticket_machine,glass,
haib17CEM5106_HCCGHCCXY_SL270503,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,ticket_machine,glass,
haib17CEM5106_HCCGHCCXY_SL270504,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,ticket_machine,glass,
haib17CEM5106_HCCGHCCXY_SL270505,london,LON,,above_ground_open,,CSD17,environmental_microbiome,urban,,handrail,metal,
haib17CEM5106_HCCGHCCXY_SL270506,london,LON,,above_ground_open,,CSD17,environmental_microbiome,urban,,handrail,metal,
haib17CEM5106_HCCGHCCXY_SL270507,london,LON,,above_ground_open,,CSD17,environmental_microbiome,urban,,handrail,metal,
haib17CEM5106_HCCGHCCXY_SL270508,london,LON,,above_ground_open,,CSD17,environmental_microbiome,urban,,handrail,metal,
haib17CEM5106_HCCGHCCXY_SL270509,london,LON,,above_ground_open,,CSD17,environmental_microbiome,urban,,handrail,metal,
haib17CEM5106_HCCGHCCXY_SL270510,london,LON,positive_control,,,CSD17,environmental_microbiome,,,,,
haib17CEM5106_HCCGHCCXY_SL270511,london,LON,positive_control,,,CSD17,environmental_microbiome,,,,,
haib17CEM5106_HCCGHCCXY_SL270512,london,LON,negative_control,,,CSD17,environmental_microbiome,,,,,
haib17CEM5106_HCCGHCCXY_SL270513,london,LON,negative_control,,,CSD17,environmental_microbiome,,,,,
haib17CEM5106_HCCGHCCXY_SL270514,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,handrail,wood,
haib17CEM5106_HCCGHCCXY_SL270515,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,handrail,metal_wood,
haib17CEM5106_HCCGHCCXY_SL270516,london,LON,,under_ground,,CSD17,environmental_microbiome,urban,,handrail,metal,
