Sample_ID,Sample_Number,Date_Collected,Sample_Collector_Name,Country,State,City,Subway/Bus/Station,Description,Line(Station Only),Average Ridership (2016),Latitude,Longitude,Object_Swabbed,Surface_Material,Temperature_C,,
CSD16-BOS-038,38,6/21/16,team2,USA,Massachusetts,boston,subway_station,Alewife,Red,,42.3961669,-71.1410963,TicketMachine_Side,,,,
CSD16-BOS-039,39,6/21/16,team2,USA,Massachusetts,boston,subway_station,Alewife,Red,,42.3979372,-71.1389837,Touchscreen,coated_glass,,,
CSD16-BOS-040,40,6/21/16,team2,USA,Massachusetts,boston,subway_station,Alewife,Red,,42.3957971,-71.141395,TicketMachine_Side,,,,
CSD16-BOS-041,41,6/21/16,team2,USA,Massachusetts,boston,subway_car,,Red,,,,Seat,polyester ,,,
CSD16-BOS-042,42,6/21/16,team2,USA,Massachusetts,boston,subway_car,,Red,,,,Seat,polyester ,,,
CSD16-BOS-043,43,6/21/16,team2,USA,Massachusetts,boston,subway_car,,Red,,,,Seat,polyester ,,,
CSD16-BOS-044,44,6/21/16,team2,USA,Massachusetts,boston,subway_car,,Red,,,,Seat,polyester ,,,
CSD16-BOS-045,45,6/21/16,team2,USA,Massachusetts,boston,subway_car,,Red,,,,Grip,polyvinyl chloride,,,
CSD16-BOS-046,46,6/21/16,team2,USA,Massachusetts,boston,subway_car,,Red,,,,Grip,polyvinyl chloride,,,
CSD16-BOS-047,47,6/21/16,team2,USA,Massachusetts,boston,subway_car,,Red,,,,Grip,polyvinyl chloride,,,
CSD16-BOS-048,48,6/21/16,team2,USA,Massachusetts,boston,subway_car,,Red,,,,Grip,polyvinyl chloride,,,
CSD16-BOS-049,49,6/21/16,team2,USA,Massachusetts,boston,subway_car,,Red,,,,Wall,"engineered wood, extruded thermoplastic, fiber-reinforced plastic, aluminum honeycomb panel, melamine-finished aluminum panels reinforced with Kevlar",,,
CSD16-BOS-050,50,6/21/16,team2,USA,Massachusetts,boston,subway_car,,Red,,,,Wall,"engineered wood, extruded thermoplastic, fiber-reinforced plastic, aluminum honeycomb panel, melamine-finished aluminum panels reinforced with Kevlar",,,
CSD16-BOS-051,51,6/21/16,team2,USA,Massachusetts,boston,subway_station,Park,Red/Green,,42.35619719,-71.06229544,Touchscreen,coated_glass,,,
CSD16-BOS-052,52,6/21/16,team2,USA,Massachusetts,boston,subway_station,Park,Red/Green,,42.35619719,-71.06229544,Wall,,,,
CSD16-BOS-053,53,6/21/16,team2,USA,Massachusetts,boston,subway_station,Park,Red/Green,,42.35619719,-71.06229544,Touchscreen,coated_glass,,,
CSD16-BOS-054,54,6/21/16,team2,USA,Massachusetts,boston,subway_station,Park,Red/Green,,42.35619719,-71.06229544,Wall,,,,
CSD16-BOS-055,55,6/21/16,team2,USA,Massachusetts,boston,subway_car,Lechmere,Green,,42.3711783,-71.077458,Seat,polyester ,,,
CSD16-BOS-056,56,6/21/16,team2,USA,Massachusetts,boston,subway_car,Lechmere,Green,,42.370582,-71.076884,Seat,polyester ,,,
CSD16-BOS-057,57,6/21/16,team2,USA,Massachusetts,boston,subway_car,Lechmere,Green,,42.3713303,-71.0773355,Seat,polyester ,,,
CSD16-BOS-058,58,6/21/16,team2,USA,Massachusetts,boston,subway_car,Lechmere,Green,,42.3711355,-71.0775191,Seat,polyester ,,,
CSD16-BOS-059,59,6/21/16,team2,USA,Massachusetts,boston,subway_car,Lechmere,Green,,42.3712065,-71.0775222,Grip,polyvinyl chloride,,,
CSD16-BOS-060,60,6/21/16,team2,USA,Massachusetts,boston,subway_car,Lechmere,Green,,42.3712521,-71.0774664,Grip,polyvinyl chloride,,,
CSD16-BOS-061,61,6/21/16,team2,USA,Massachusetts,boston,subway_car,Lechmere,Green,,42.3713046,-71.0776186,Grip,polyvinyl chloride,,,
CSD16-BOS-062,62,6/21/16,team2,USA,Massachusetts,boston,subway_car,Lechmere,Green,,42.3712256,-71.0774793,Grip,polyvinyl chloride,,,
CSD16-BOS-063,63,6/21/16,team2,USA,Massachusetts,boston,subway_car,Lechmere,Green,,42.37118849,-71.07750842,Wall,"engineered wood, extruded thermoplastic, fiber-reinforced plastic, aluminum honeycomb panel, melamine-finished aluminum panels reinforced with Kevlar",,,
CSD16-BOS-064,64,6/21/16,team2,USA,Massachusetts,boston,subway_car,Lechmere,Green,,42.37118849,-71.07750842,Wall,"engineered wood, extruded thermoplastic, fiber-reinforced plastic, aluminum honeycomb panel, melamine-finished aluminum panels reinforced with Kevlar",,,
Test,,6/20/16,,USA,Massachusetts,boston,subway_car,Lechmere,Green,,42.3738437,-71.1119401,,,23.33333333,,
,,,,,,,,,,,,,,,,,
Controls,,6/21/16,,USA,Massachusetts,boston,control,Cup negative control,,,,,Control,Control,,,
Controls,,6/21/16,,USA,Massachusetts,boston,control,Air swab control,,,,,Control,Control,,,
Controls,,6/21/16,,USA,Massachusetts,boston,control,Air swab control,,,,,Control,Control,,,
Controls,,6/21/16,,USA,Massachusetts,boston,control,Air swab control,,,,,Control,Control,,,
Controls,,6/21/16,,USA,Massachusetts,boston,control,Zymo aliquot,,,,,Control,Control,,,
Controls,,6/21/16,,USA,Massachusetts,boston,control,Cup negative control,,,,,Control,Control,,,
Controls,,6/21/16,,USA,Massachusetts,boston,control,Air swab control,,,,,Control,Control,,,
Controls,,6/21/16,,USA,Massachusetts,boston,control,Air swab control,,,,,Control,Control,,,
Controls,,6/21/16,,USA,Massachusetts,boston,control,Air swab control,,,,,Control,Control,,,
Controls,,6/21/16,,USA,Massachusetts,boston,control,Zymo aliquot,,,,,Control,Control,,,
Controls,,6/21/16,,USA,Massachusetts,boston,control,"Extraction control (take water, extract, and use to construct library)",,,,,Control,Control,,,
Controls,,6/21/16,,USA,Massachusetts,boston,control,"Extraction control (take water, extract, and use to construct library)",,,,,Control,Control,,,
Controls,,6/21/16,,USA,Massachusetts,boston,control,PCR controls if doing 16S library,,,,,Control,Control,,,
Controls,,6/21/16,,USA,Massachusetts,boston,control,PCR controls if doing 16S library,,,,,Control,Control,,,
Controls,,6/21/16,,USA,Massachusetts,boston,control,Library control (start from water when constructing library),,,,,Control,Control,,,
Controls,,6/21/16,,USA,Massachusetts,boston,control,Library control (start from water when constructing library),,,,,Control,Control,,,
