,,FID,sample_number,,photo,place_type,building_setting,surface_material,surface_type,line,subway_station_autofill,car_or_station,subway_station_surface,subway_car_surface,car_location,occupancy,taxi,airport,park_surface,bus_surface,light_type,traffic,number_of_air_vents,place_name,notes,audio,longitude,latitude,time,city
Mattia Bosio,Lesseps,13,CDS16-BCN-024,21.06.2016,mdc_photo_mdc_285c60_1466508288560_1466508389944.jpg,sub_line,urban,Metal,Handrail,,Lesseps,subway_station,,,,,,,,,electric_light,,,,,,2.15049E+12,4.14058E+13,,Barcelona
Mattia Bosio,Lesseps,15,CDS16-BCN-025,21.06.2016,mdc_photo_mdc_c87eba_1466508712796_1466508883338.jpg,sub_line,urban,Rubber,Escalator,,Lesseps,subway_station,,,,,,,,,electric_light,,,,mechanical stairs material metal and plastic ,,2.15049E+12,4.14058E+13,,Barcelona
Mattia Bosio,Lesseps,16, CDS16-BCN-026,21.06.2016,mdc_photo_mdc_b82600_1466509385205_1466509395593.jpg,sub_line,urban,Air,Air,,Lesseps,subway_station,,,,,,,,,electric_light,,,,air in station ,,2.15049E+12,4.14058E+13,,Barcelona
Mattia Bosio,Lesseps,21,CDS16-BCN-027,21.06.2016,mdc_photo_mdc_27ddb0_1466510194534_1466510302216.jpg,sub_line,urban,Metal,Poll,,Lesseps,subway_car,,,last,,,,,,electric_light,60,,,,,2.15049E+12,4.14058E+13,,Barcelona
,Lesseps,33,CDS16-BCN-028,21.06.2016,mdc_photo_mdc_aec504_1466510599996_1466510861503.jpg,sub_line,urban,Plastic,Seats,,Lesseps,subway_car,,Seat near door,last,,,,,,electric_light,60,,,,,2.15049E+12,4.14058E+13,,Barcelona
Mattia Bosio,Lesseps,34,CDS16-BCN-029,21.06.2016,mdc_photo_mdc_0cef70_1466510913595_1466511080185.jpg,sub_line,urban,Air,Air,,Lesseps,subway_car,,Other,last,,,,,,,60,,,air inside the train,,2.15049E+12,4.14058E+13,,Barcelona
Jonas,Parc Nou/Catalunya,,CDS16-BCN-043,21.06.2016,CDS16-BCN-043.jpeg,sub_line,urban,Glass,Kiosk,,Parc Nou,subway_station,,,,,,,,,,,,,,,2087759,41316729,,Barcelona
Jonas,Parc Nou/Catalunya,,CDS16-BCN-044,21.06.2016,CDS16-BCN-044.jpeg,sub_line,urban,Rubber,Escalator,,Catalunya,subway_station,,,,,,,,,,,,,,,2169538,41387438,,Barcelona
Jonas,Parc Nou/Catalunya,,CDS16-BCN-045,21.06.2016,CDS16-BCN-045.jpeg,sub_line,urban,Metal,Handrail,,Catalunya,subway_station,,,,,,,,,,,,,,,2169538,41387438,,Barcelona
Jonas,Parc Nou/Catalunya,,CDS16-BCN-046,21.06.2016,CDS16-BCN-046.jpeg,sub_line,urban,Metal,Turnstile,,Catalunya,subway_station,,,,,,,,,,,,,,,2169538,41387438,,Barcelona
Jonas,Parc Nou/Catalunya,,CDS16-BCN-047,21.06.2016,CDS16-BCN-047.jpeg,sub_line,urban,Air,Air,,Catalunya,subway_station,,,,,,,,,,,,,air inside the station,,2169538,41387438,,Barcelona
Jonas,Parc Nou/Catalunya,,CDS16-BCN-048,21.06.2016,no pic,sub_line,urban,Plastic,Seats,,Catalunya,subway_car,,,,,,,,,,,,,no seat / no sample,,2169538,41387438,,Barcelona
Jonas,Parc Nou/Catalunya,,CDS16-BCN-049,21.06.2016,no pic ,sub_line,urban,Metal,Poll,,Catalunya,Subway_car,,,,,,,,,,,,,L1,,2169538,41387438,,Barcelona
Jonas,Parc Nou/Catalunya,,CDS16-BCN-050,21.06.2016,no pic ,sub_line,urban,Air,Air,,Catalunya,subway_car,,,,,,,,,,,,,air inside the train,,2169538,41387438,,Barcelona
Jonas,Parc Nou/Catalunya,,CDS16-BCN-053,21.06.2016,no pic,sub_line,urban,Glass,Kiosk,,Parc Nou,Subway_station,,,,,,,,,,,,,,,2087759,41316729,,Barcelona
Jonas,Parc Nou/Catalunya,,CDS16-BCN-054,21.06.2016,CDS16-BCN-054.jpeg,sub_line,urban,Rubber,Escalator,,Parc Nou,Subway_station,,,,,,,,,,,,,,,2087759,41316729,,Barcelona
Jonas,Parc Nou/Catalunya,,CDS16-BCN-055,21.06.2016,no pic,sub_line,urban,Metal,Handrail,,Parc Nou,Subway_station,,,,,,,,,,,,,,,2087759,41316729,,Barcelona
Jonas,Parc Nou/Catalunya,,CDS16-BCN-056,21.06.2016,CDS16-BCN-056.jpeg,sub_line,urban,Metal,Turnstile,,Parc Nou,Subway_station,,,,,,,,,,,,,,,2087759,41316729,,Barcelona
Jonas,Parc Nou/Catalunya,,CDS16-BCN-057,21.06.2016,CDS16-BCN-057.jpeg,sub_line,urban,Air,Air,,Parc Nou,Subway_station,,,,,,,,,,,,,Air inside station,,2087759,41316729,,Barcelona
