Sample Number,Site,Surface,Collector,Date of Collection,Notes,
W0611,6 - 3 Ave/138 St,Ceiling Rail,,,,
W0612,6 - 3 Ave/138 St,Ceiling Rail,,,,
W0613,6 - Brook Ave,Ceiling Rail,,,,
W0614,6 - Brook Ave,Ceiling Rail,,,,
W0615,6 - Cypress Ave,Ceiling Rail,,,,
W0616,6 - Cypress Ave,Ceiling Rail,,,,
W0617,6 - East 149 St,Ceiling Rail,,,,
W0618,6 - East 149 St,Ceiling Rail,,,,
W0619,6 - Hunts Point Ave,Ceiling Rail,,,,
W0620,6 - Hunts Point Ave,Ceiling Rail,,,,
W0621,6 - Elder Ave,Ceiling Rail,,,,
W0622,6 - Elder Ave,Ceiling Rail,,,,
W0623,6 - Saint Lawrence Ave,Ceiling Rail,,,,
W0624,6 - Saint Lawrence Ave,Ceiling Rail,,,,
W0625,6 - Zerega Ave,Ceiling Rail,,,,
W0626,6 - Zerega Ave,Ceiling Rail,,,,
W0627,6 - Buhre Ave,Ceiling Rail,,,,
W0628,6 - Buhre Ave,Ceiling Rail,,,,
W0629,6 - Pelham Bay Park,Ceiling Rail,,,,
W0630,6 - Pelham Bay Park,Ceiling Rail,,,,
W0631,6 Train,Ceiling Rail,,,,
W0632,6 Train,Ceiling Rail,,,,
W0633,6 Train,Ceiling Rail,,,,
W0634,6 Train,Ceiling Rail,,,,
W0635,6 Train,Ceiling Rail,,,,
W0636,6 Train,Ceiling Rail,,,,
W0637,6 Train,Ceiling Rail,,,,
W0638,6 Train,Ceiling Rail,,,,
W0639,6 Train,Ceiling Rail,,,,
W0640,6 Train,Ceiling Rail,,,,
W0641,,Ceiling Rail,,,,
W0642,,,,,,
W0643,,,,,,
W0644,,,,,,
W0645,,,,,,
W0646,,,,,,
W0647,,,,,,
W0648,,,,,,
W0649,,,,,,
W0650,,,,,,
W0651,,,,,,
W0652,,,,,,
W0653,,,,,,
W0654,,,,,,
W0655,,,,,,
W0656,,,,,,
W0657,,,,,,
W0658,,,,,,
W0659,,,,,,
W0660,,,,,,
W0661,,,,,,
W0662,,,,,,
W0663,,,,,,
W0664,,,,,,
W0665,,,,,,
W0666,,,,,,
W0667,,,,,,
W0668,,,,,,
W0669,,,,,,
W0670,,,,,,
W0671,,,,,,
W0672,,,,,,
W0673,,,,,,
W0674,,,,,,
W0675,,,,,,
W0676,,,,,,
W0677,,,,,,
W0678,,,,,,
W0679,,,,,,
W0680,,,,,,
W0681,6 - Westchester Sq-East Tremont Ave,Other,,,,
W0682,6 - Westchester Sq-East Tremont Ave,Seat near door,,,,
W0683,6 - Parkchester ,Other,,,,
W0684,6 - Parkchester ,Pole,,,,
W0685,6 - Morrison-Sound View Ave,Other,,,,
W0686,6 - Morrison-Sound View Ave,Seat near door,,,,
W0687,6 - Whitlock Ave,Wooden Bench,,,,
W0688,6 - Whitlock Ave,Wooden Bench,,,,
W0689,6 - Longwood Ave ,Turnstile,,,,
W0690,6 - Longwood Ave ,Pole,,,,
W0691,6 - East 143 St/Saint Mary's St ,Other,,,,
W0692,6 - East 143 St/Saint Mary's St ,Ceiling Rail,,,,
W0693,6 - 116 St,Other,,,,
W0694,6 - 116 St,Seat near door,,,,
W0695,6 - 103 St,Stairwell Railing,,,,
W0696,6 - 103 St,,,,,
W0697,6 - 86 St ,Other,,,,
W0698,6 - 86 St ,Pole,,,,
W0699,6 - 68 St Hunter College,Wooden Bench,,,,
W0700,6 - 68 St Hunter College,Doors,,,,
W0701,6 Train,Doors,,,,
W0702,6 Train,Doors,,,,
W0703,6 Train,Doors,,,,
W0704,6 Train,Doors,,,,
W0705,6 Train,Doors,,,,
W0706,6 Train,Doors,,,,
W0707,6 Train,Doors,,,,
W0708,6 Train,Doors,,,,
W0709,6 Train,Doors,,,,
W0710,6 Train,Doors,,,,
W0711,6 - 77 St ,Doors,EA,2/17/14,Culture Experiment ,
W0712,E - 5th Ave and 53 St,Doors,EA,2/17/14,Culture Experiment ,
W0713,E - 42 St Times Square,Doors,EA,2/17/14,Culture Experiment ,
W0714,E - 42 St Times Square,Doors,EA,2/17/14,Culture Experiment ,
W0715,E - 34 St Penn Station,Doors,EA,2/17/14,Culture Experiment ,
W0716,E - 34 St Penn Station,Doors,EA,2/17/14,Culture Experiment ,
W0717,E - 23 St,Doors,EA,2/17/14,Culture Experiment ,
W0718,E - Spring St ,Doors,EA,2/17/14,Culture Experiment ,
W0719,2/5 - Simpson St ,Wooden Bench,,,,
W0720,2/5 - Simpson St ,Other,,,,
W0721,2/5 - 174 St,Kiosk,,,,
W0722,2/5 - 174 St,Other,,,,
W0723,2/5 - Bronx Park East ,Turnstile,,,,
W0724,2/5 - Bronx Park East ,Other,,,,
W0725,2/5 - Pelham Pkwy,Other,,,,
W0726,2/5 - Pelham Pkwy,Other,,,,
W0727,2/5 - Burke Ave ,Wooden Bench,,,,
W0728,2/5 - Burke Ave ,Other,,,,
W0729,2/5 - 219 St,Turnstile,,,,
W0730,2/5 - 219 St,Stairwell Railing,,,,
W0731,2/5 - 225 St,Wooden Bench,,,,
W0732,2/5 - 225 St,Other,,,,
W0733,2/5 - 233 St ,Turnstile,,,,
W0734,2/5 - 233 St ,Other,,,,
W0735,2/5 - Nereid St,Wooden Bench,,,,
W0736,2/5 - Nereid St,Stairwell Railing,,,,
W0737,2 -  Wakefield St ,Turnstile,,,,
W0738,2 - Wakefield St ,Kiosk,,,,
W0739,On 2 or 5 train,Doors,,,,
W0740,On 2 or 5 train,Seat near door,,,,
W0741,On 2 or 5 train,Seat near door,,,,
W0742,On 2 or 5 train,Ceiling Rail,,,,
W0743,On 2 or 5 train,Seat near door,,,,
W0744,On 2 or 5 train,Doors,,,,
W0745,On 2 or 5 train,Seat near door,,,,
W0746,On 2 or 5 train,Pole,,,,
W0747,On 2 or 5 train,Ceiling Rail,,,,
W0748,On 2 or 5 train,Pole,,,,
W0749,"2,5 - Newkirk Ave",Turnstile,,,,
W0750,"2,5 - Newkirk Ave",Wooden Bench,,,,
W0751,"2,5 - Church Ave",Other,,,,
W0752,"2,5 - Church Ave",Turnstile,,,,
W0753,"2,5 - Sterling St",Stairwell Railing,,,,
W0754,"2,5 - Sterling St",Turnstile,,,,
W0755,"2,3,4,5- Franklin Ave",Doors,,,,
W0756,"2,3,4,5- Franklin Ave",Other,,,,
W0757,3 - Nostrand Ave,Wooden Bench,,,,
W0758,3 - Nostrand Ave,Other,,,,
W0759,3 - Saratoga Ave,Other,,,,
W0760,3 - Saratoga Ave,Turnstile,,,,
W0761,3 - Junius St,Wooden Bench,,,,
W0762,3 - Junius St,Other,,,,
W0763,3 - Van Siclen Ave,Wooden Bench,,,,
W0764,3 - Van Siclen Ave,Stairwell Railing,,,,
W0765,"3,4 - Crown Hts Utica Ave",Stairwell Railing,,,,
W0766,"3,4 - Crown Hts Utica Ave",Other,,,,
W0767,"2,3 - Grand Army Plaza",Other,,,,
W0768,"2,3 - Grand Army Plaza",Other,,,,
W0769,"2,3,4,5 - Atlantic Ave Barclay Ctr",Stairwell Railing,,,,
W0770,"2,3,4,5 - Atlantic Ave Barclay Ctr",Other,,,,
W0771,"2,3 - Clark St ",Other,,,,
W0772,"2,3 - Clark St ",Wooden Bench,,,,
W0773,2 or 5 Train,Pole,,,,
W0774,2 or 5 Train,Seat near door,,,,
W0775,2 or 5 Train,Seat near door,,,,
W0776,2 or 5 Train,Seat Rail,,,,
W0777,2 or 5 Train,Doors,,,,
W0778,2 or 5 Train,Center seat,,,,
W0779,3 Train,Seat Rail,,,,
W0780,3 Train,Seat near door,,,,
W0781,3 Train,OtherDoors,,,,
W0782,3 Train,Seat near door,,,,
W0783,3 Train,Doors,,,,
W0784,3 Train,Center seat,,,,
W0785,B/Q - Brighton Beach,Other,,,,
W0786,B/Q - Brighton Beach,Other,,,,
W0787,Q - Neck Road,Stairwell Railing,,,,
W0788,Q - Neck Road,OtherDoors,,,,
W0789,B/Q - Kings Hwy ,Other,,,,
W0790,B/Q - Kings Hwy ,Other,,,,
W0791,Q - Avenue J,Kiosk,,,,
W0792,Q - Avenue J,Other,,,,
W0793,B/Q - Newkirk Plaza,Other,,,,
W0794,B/Q - Newkirk Plaza,Wooden Bench,,,,
W0795,Q - Beverley Road,Other,,,,
W0796,Q - Beverley Road,Other,,,,
W0797,Q - Parkside Ave,Other,,,,
W0798,Q - Parkside Ave,Other,,,,
W0799,Q - 7 Ave,Other,,,,
W0800,Q - 7 Ave,Wooden Bench,,,,
W0801,B or Q Train,Center seat,,,,
W0802,B or Q Train,Pole,,,,
W0803,B or Q Train,Doors,,,,
W0804,B or Q Train,Doors,,,,
W0805,Q Train,Seat near door,,,,
W0806,Q Train,Ceiling Rail,,,,
W0807,Q Train,Seat near door,,,,
W0808,Q Train,Pole,,,,
W0809,F - Neptune Ave,Turnstile,,,,
W0810,F - Neptune Ave,Turnstile,,,,
W0811,F - Avenue U,Wooden Bench,,,,
W0812,F - Avenue U,Other,,,,
W0813,F - Avenue P,Other,,,,
W0814,F - Avenue P,Other,,,,
W0815,F - Bay Parkway,Other,,,,
W0816,F - Bay Parkway,Other,,,,
W0817,F - 18 Ave,Stairwell Railing,,,,
W0818,F - 18 Ave,Other,,,,
W0819,F/G - Church Ave,Other,,,,
W0820,F/G - Church Ave,Wooden Bench,,,,
W0821,F/G - 15 St Prospect Park,Other,,,,
W0822,F/G - 15 St Prospect Park,Other,,,,
W0823,F/G - 4 Ave,Stairwell Railing,,,,
W0824,F/G - 4 Ave,Other,,,,
W0825,F/G - Carroll St,Other,,,,
W0826,F/G - Carroll St,Wooden Bench,,,,
W0827,F - York Ave,Other,,,,
W0828,F - York Ave,Other,,,,
W0829,Brooklyn College,,,,,
W0830,Brooklyn College,,,,,
W0831,Brooklyn College,,,,,
W0832,Brooklyn College,,,,,
W0833,Brooklyn College,,,,,
W0834,Brooklyn College,,,,,
W0835,Brooklyn College,,,,,
W0836,Brooklyn College,,,,,
W0837,Brooklyn College,,,,,
W0838,Brooklyn College,,,,,
W0839,D - 205 St ,Turnstile,,,,
W0840,D - 205 St ,Wooden Bench,,,,
W0841,B/D - 145 St,Turnstile,,,,
W0842,B/D - 145 St,Stairwell Railing,,,,
W0843,D - 7th Ave,Other,,,,
W0844,D - 7th Ave,Other,,,,
W0845,B/D - Rockefeller Center ,Turnstile,,,,
W0846,B/D - Rockefeller Center ,Other,,,,
W0847,B/D - 34 St/Herald Square,Turnstile,,,,
W0848,B/D - 34 St/Herald Square,Wooden Bench,,,,
W0849,B/D - Grand St,Stairwell Railing,,,,
W0850,B/D - Grand St ,Other,,,,
W0851,B/D - Broadway Lafayette St,Wooden Bench,,,,
W0852,B/D - Broadway Lafayette St,Stairwell Railing,,,,
W0853,6 - 28 St,Turnstile,,,,
W0854,6 - 28 St,Wooden Bench,,,,
W0855,6 - 33 St,Other,,,,
W0856,6 - 33 St ,Other,,,,
W0857,6 - 77 St ,Turnstile,,,,
W0858,6 - 77 St ,Other,,,,
W0859,B or D Train ,Ceiling Rail,,,,
W0860,B or D Train ,Pole,,,,
W0861,B or D Train ,Doors,,,,
W0862,B or D Train ,Seat near door,,,,
W0863,B or D Train ,Doors,,,,
W0864,B or D Train ,Pole,,,,
W0865,B or D Train ,Steel BenchCeiling Rail,,,,
W0866,6 Train,Pole,,,,
W0867,6 Train,Doors,,,,
W0868,A - Inwood-207 St,Other,,,,
W0869,A - Inwood-207 St,Stairwell Railing,,,,
W0870,A - Dyckman St,Wooden Bench,,,,
W0871,A - Dyckman St,Turnstile,,,,
W0872,A - 190 St,Wooden Bench,,,,
W0873,A - 190 St,Stairwell Railing,,,,
W0874,A - 181 St,Turnstile,,,,
W0875,A - 181 St,Other,,,,
W0876,A - 175 St,Turnstile,,,,
W0877,A - 175 St,Wooden Bench,,,,
W0878,A - Wash Hts 168 St,Other,,,,
W0879,A - Wash Hts 168 St,Other,,,,
W0880,C - 116 St ,Other,,,,
W0881,C - 116 St ,Turnstile,,,,
W0882,C - 103 St,Stairwell Railing,,,,
W0883,C - 103 St,Wooden Bench,,,,
W0884,C - 86 St ,Other,,,,
W0885,C - 86 St ,Wooden Bench,,,,
W0886,C - 72 St ,Stairwell Railing,,,,
W0887,C - 72 St ,Other,,,,
W0888,A Train,Center seat,,,,
W0889,A Train,Pole,,,,
W0890,A Train,Doors,,,,
W0891,A Train,Doors,,,,
W0892,A Train,Pole,,,,
W0893,A Train,Seat near door,,,,
W0894,C Train,Pole,,,,
W0895,C Train,Doors,,,,
W0896,C Train,Pole,,,,
W0897,C Train,Doors,,,,
W0898,1 - Van Cortlandt Park 242 St,Kiosk,,,,
W0899,1 - Van Cortlandt Park 242 St,Wooden Bench,,,,
W0900,1 - 238 St,Wooden Bench,,,,
W0901,1 - 238 St,Wooden Bench,,,,
W0902,1 - 231 St,Wooden Bench,,,,
W0903,1 - 231 St,Wooden Bench,,,,
W0904,1 - Marble Hill 225 St,Wooden Bench,,,,
W0905,1 - Marble Hill 225 St,Wooden Bench,,,,
W0906,1 - 215 St,Wooden Bench,,,,
W0907,1 - 215 St,Wooden Bench,,,,
W0908,1 - 207 St,Wooden Bench,,,,
W0909,1 - 207 St,Wooden Bench,,,,
W0910,1 - Dyckman,Stairwell Railing,,,,
W0911,1 - Dyckman,Steel Bench,,,,
W0912,1 - 191 St,Turnstile,,,,
W0913,1 - 191 St,Wooden Bench,,,,
W0914,1 - 181 St,Other,,,,
W0915,1 - 181 St,Stairwell Railing,,,,
W0916,1 - 157 St,Wooden Bench,,,,
W0917,1 - 157 St,Other,,,,
W0918,1 Train,Pole,,,,
W0919,1 Train,Seat near door,,,,
W0920,1 Train,Doors,,,,
W0921,1 Train,Doors,,,,
W0922,1 Train,Ceiling Rail,,,,
W0923,1 Train,Seat near door,,,,
W0924,1 Train,Pole,,,,
W0925,1 Train,Pole,,,,
W0926,1 Train,Doors,,,,
W0927,1 Train,Seat near door,,,,
W0928,68 St Hunter College ,Seat near door,EA,3/26/14,Culture Experiment ,
W0929,68 St Hunter College ,Seat near door,EA,3/26/14,Culture Experiment ,
W0930,77 st ,Seat near door,EA,3/26/14,Culture Experiment ,
W0931,77 st ,Seat near door,EA,3/26/14,Culture Experiment ,
W0932,Grand Central 42 St,Seat near door,EA,3/26/14,Culture Experiment ,
W0933,Grand Central 42 St,Seat near door,EA,3/26/14,Culture Experiment ,
W0934,Grand Central 42 St,Seat near door,EA,3/26/14,Culture Experiment ,
W0935,Grand Central 42 St,Seat near door,EA,3/26/14,Culture Experiment ,
W0936,Times Square 42 St,Seat near door,EA,3/26/14,Culture Experiment ,
W0937,Times Square 42 St,Seat near door,EA,3/26/14,Culture Experiment ,
W0938,Times Square 42 St,Seat near door,EA,3/26/14,Culture Experiment ,
W0939,Times Square 42 St ,Seat near door,EA,3/26/14,Culture Experiment ,
W0940,50 St/8 Ave,Seat near door,EA,3/26/14,Culture Experiment ,
W0941,50 St/8 Ave,Seat near door,EA,3/26/14,Culture Experiment ,
W0942,5 Ave/53 St,Seat near door,EA,3/26/14,Culture Experiment ,
W0943,5 Ave/53 St,Seat near door,EA,3/26/14,Culture Experiment ,
