Sample_ID,Date_Collected,Sample_Collector_Name,Country,State,City,Subway/Bus/Station,Description,Line(Station Only),Average Ridership (2016),Latitude,Longitude,Object_Swabbed,Surface_Material,Temperature_C,,,,
CSD16_ZRH_051,6/21/16 20:13,,Switzerland,N/A,Zurich,subway_car,Depot Kalkbreite,4,,47.37352075,8.521485329,railing,Metal,,,,,
CSD_16_ZRH_054,6/21/16 20:13,,Switzerland,N/A,Zurich,subway_car,Depot Kalkbreite,8,,47.37364186,8.521199171,seat,Other,,,,,
CSD16_ZRH_052,6/21/16 20:18,,Switzerland,N/A,Zurich,subway_car,Depot Kalkbreite,4,,47.37352075,8.521485329,seat,Other,,,,,
CSD16_ZRH_055,6/21/16 20:21,,Switzerland,N/A,Zurich,subway_car,Depot Kalkbreite,8,,47.37374953,8.520994401,railing,Metal,,,,,
CSD16_ZRH_056,6/21/16 20:27,,Switzerland,N/A,Zurich,subway_car,Depot Kalkbreite,8,,47.37374953,8.520994401,seat,Other,,,,,
CSD16_ZRH_062,6/21/16 20:45,,Switzerland,N/A,Zurich,subway_car,Depot Kalkbreite,17,,47.37360503,8.520740513,seat,Wood,,,,,
CSD16_ZRH_063,6/22/16 10:32,,Switzerland,N/A,Zurich,subway_car,Bahnhofplatz / HB,9,,47.4192641,8.54683321,railing,Metal,,,,,
CSD16_ZRH_064,6/21/16 20:45,,Switzerland,N/A,Zurich,subway_car,Depot Kalkbreite,17,,47.37355331,8.52097638,seat,Wood,,,,,
CSD16_ZRH_042,6/21/16 20:45,,Switzerland,N/A,Zurich,subway_car,Depot Kalkbreite,2,,47.37358034,8.52094017,seat,Plastic,,,,,
CSD16_ZRH_044,6/21/16 20:45,,Switzerland,N/A,Zurich,subway_car,Depot Kalkbreite,2,,47.37310773,8.52164316,seat,Wood,,,,,
CSD16_ZRH_066,6/21/16 20:45,,Switzerland,N/A,Zurich,subway_car,Depot Kalkbreite,17,,47.37354975,8.521531178,seat,Plastic,,,,,
CSD16_ZRH_063,6/21/16 20:45,,Switzerland,N/A,Zurich,subway_car,Depot Kalkbreite,17,,47.37346819,8.520971434,railing,Metal,,,,,
CSD16_ZRH_043,6/21/16 20:45,,Switzerland,N/A,Zurich,subway_car,Depot Kalkbreite,2,,47.37307294,8.521842146,railing,Metal,,,,,
CSD16_ZRH_061,6/21/16 20:45,,Switzerland,N/A,Zurich,subway_car,Depot Kalkbreite,17,,47.37352858,8.520846125,railing,Metal,,,,,
CSD16_ZRH_065,6/21/16 20:45,,Switzerland,N/A,Zurich,subway_car,Depot Kalkbreite,17,,47.37343261,8.521749442,seat,Metal,,,,,
CSD16_ZRH_041,6/21/16 20:45,,Switzerland,N/A,Zurich,subway_car,Depot Kalkbreite,2,,47.37355285,8.520985767,railing,Metal,,,,,
CSD16_ZRH_005,6/21/16 10:13,,Switzerland,N/A,Zurich,subway_station,Bahnhof Wiedikon,11,,47.3712229,8.5240107,railing,Plastic,,,,,
CSD16_ZRH_008,6/21/16 10:48,,Switzerland,N/A,Zurich,subway_station,Bellevue,11,,47.3671513,8.544746,seat,Wood,,,,,
CSD16_ZRH_019,6/21/16 13:26,,Switzerland,N/A,Zurich,subway_station,Depot Oerlikon,15,,47.41027778,8.54611111,railing,Metal,,,,,
CSD16_ZRH_020,6/21/16 13:32,,Switzerland,N/A,Zurich,subway_station,Depot Oerlikon,15,,47.41027778,8.54611111,seat,Wood,,,,,
CSD16_ZRH_021,6/21/16 18:46,,Switzerland,N/A,Zurich,subway_station,Milchbuck,10,,47.3979379,8.541928,railing,Other,20,,,,
CSD16_ZRH_022,6/21/16 18:46,,Switzerland,N/A,Zurich,subway_station,Milchbuck,10,,47.3979418,8.541860729,seat,Wood,,,,,
CSD16_ZRH_023,6/22/16 18:46,,Switzerland,N/A,Zurich,subway_station,Paradeplatz,10,,47.36972222,8.53916667,railing,Metal,,,,,
CSD16_ZRH_024,6/21/16 19:12,,Switzerland,N/A,Zurich,subway_station,Universität Irchel,10,,47.39514238,8.544132055,seat,Wood,,,,,
CSD16_ZRH_103,6/21/16 19:15,,Switzerland,N/A,Zurich,subway_station,Sternen Oerlikon,10,,47.40936725,8.54778246,railing,Metal,,,,,
CSD16_ZRH_104,6/21/16 19:21,,Switzerland,N/A,Zurich,subway_car,Sternen Oerlikon,10,,47.40939374,8.547806349,seat,Other,,,,,
CSD_16_ZRH_102,6/21/16 19:22,,Switzerland,N/A,Zurich,subway_car,Sternen Oerlikon,14,,47.40948846,8.547743065,seat,Other,,,,,
CSD16_ZRH_101,6/21/16 19:22,,Switzerland,N/A,Zurich,subway_car,Sternen Oerlikon,14,,47.40944018,8.547742562,railing,Metal,,,,,
CSD16_ZRH_105,6/21/16 19:31,,Switzerland,N/A,Zurich,subway_car,Sternen Oerlikon,11,,47.40911399,8.548217649,railing,Metal,,,,,
