Sample_#,Date_Collected,Bus_Number,Bus_Line,Area,Material,Label
CSD16-FAI-0468,,,,water fountain by gate 4,,Airport water fountain by gate 2_28_TSA_none
CSD16-FAI-0469,,,,water fountain by gate 5,,Airport water fountain by gate 3_28_TSA_amp
CSD16-FAI-0470,,,,water fountain by gate 6,,Airport water fountain by gate 4_28_TSA_kan
CSD16-FAI-0471,,,,Starbucks table,,Airport water fountain by gate 5_28_TSA_strep
CSD16-FAI-0472,,,,Starbucks table,,Airport water fountain by gate 6_28_TSA_tet
CSD16-FAI-0473,,,,Starbucks table,,Airport Starbucks table_28_TSA_none
CSD16-FAI-0474,,,,Starbucks chair,,Airport Starbucks table_28_TSA_amp
CSD16-FAI-0475,,,,Starbucks chair,,Airport Starbucks table_28_TSA_strep
CSD16-FAI-0476,,,,Starbucks chair,,Airport Starbucks chair_28_TSA_none
CSD16-FAI-0477,,,,Starbucks chair,,Airport Starbucks chair_28_TSA_amp
CSD16-FAI-0478,,,,Women's Bathroom (handicapped stall) seat,,Airport Starbucks chair_28_TSA_kan
CSD16-FAI-0479,,,,Women's Bathroom (handicapped stall) seat,,Airport Starbucks chair_28_TSA_tet
CSD16-FAI-0480,,,,Women's bathroom (wash basin) and sink counter,,Airport Women's Bathroom (handicapped stall) seat_28_TSA_none
CSD16-FAI-0481,,,,Women's bathroom (wash basin) and sink counter,,Airport Women's Bathroom (handicapped stall) seat_28_TSA_tet
CSD16-FAI-0482,,,,Women's bathroom (wash basin) and sink counter,,Airport Women's bathroom (wash basin) and sink counter_28_TSA_none
CSD16-FAI-0483,,,,Women's bathroom (wash basin) and sink counter,,Airport Women's bathroom (wash basin) and sink counter_28_TSA_amp
CSD16-FAI-0484,,,,Women's bathroom (wash basin) and sink counter,,Airport Women's bathroom (wash basin) and sink counter_28_TSA_kan
CSD16-FAI-0485,,,,Family restroom wooden bench (prob used for bags or to sit kids),,Airport Women's bathroom (wash basin) and sink counter_28_TSA_strep
CSD16-FAI-0486,,,,Family restroom wooden bench (prob used for bags or to sit kids),,Airport Women's bathroom (wash basin) and sink counter_28_TSA_tet
CSD16-FAI-0487,,,,Family restroom wooden bench (prob used for bags or to sit kids),,Airport Family restroom wooden bench (prob used for bags or to sit kids)_28_TSA_amp
CSD16-FAI-0488,,,,Men's bathroom urinal (composite of 3),,Airport Family restroom wooden bench (prob used for bags or to sit kids)_28_TSA_kan
CSD16-FAI-0489,,,,Men's bathroom urinal (composite of 3),,Airport Family restroom wooden bench (prob used for bags or to sit kids)_28_TSA_strep
CSD16-FAI-0490,,,,Men's bathroom urinal (composite of 3),,Airport Men's bathroom urinal (composite of 3)_28_TSA_none
CSD16-FAI-0491,,,,Men's bathroom urinal (composite of 3),,Airport Men's bathroom urinal (composite of 3)_28_TSA_amp
CSD16-FAI-0492,,,,Men's bathroom urinal (composite of 3),,Airport Men's bathroom urinal (composite of 3)_28_TSA_kan
CSD16-FAI-0493,,,,Jetway 2 floor (right after above area),,Airport Men's bathroom urinal (composite of 3)_28_TSA_strep
CSD16-FAI-0494,,,,Jetway 2 floor (right after above area),,Airport Men's bathroom urinal (composite of 3)_28_TSA_tet
CSD16-FAI-0495,,,,Jetway 2 floor (right after above area),,Airport Jetway 2 floor (right after above area)_28_TSA_none
CSD16-FAI-0496,,,,Jetway 2 floor (right after above area),,Airport Jetway 2 floor (right after above area)_28_TSA_kan
CSD16-FAI-0497,,,,Escalator going down to exit,,Airport 28_TSA_none
CSD16-FAI-0498,,,,Escalator going down to exit,,Airport 28_TSA_kan
CSD16-FAI-0499,,,,Escalator going down to exit,,Airport 28_TSA_strep
CSD16-FAI-0500,,,,Baggage belt (main one/there is only 1 main one),,Airport 28_TSA_tet
CSD16-FAI-0501,,,,Bench by entrance/exit (indoors),,Airport 28_TSA_none
CSD16-FAI-0502,,,,Kiosk (composite of 3),,Airport 28_TSA_none
CSD16-FAI-0503,,,,Bench by entrance/exit (indoors),,Airport 37_LB_strep
CSD16-FAI-0504,,,,Jetway 2 floor (as soon as step out of plane),,Airport 28_LB_amp
CSD16-FAI-0505,,,,Jetway 2 floor (as soon as step out of plane),,Airport 28_LB_kan
CSD16-FAI-0506,,,,Jetway 1 floor (as soon as step out of plane),,Airport 28_LB_strep
CSD16-FAI-0507,,,,In front of Gate 1 carpet (by seating area),,Airport 28_LB_amp
CSD16-FAI-0508,,,,In front of Gate 1 carpet (by seating area),,Airport 28_LB_kan
CSD16-FAI-0509,,,,Starbucks chair,,Airport 28_LB_tet
CSD16-FAI-0510,,,,Family restroom sink counter,,Airport 28_LB_tet
CSD16-FAI-0511,,,,Baggage belt (main one/there is only 1 main one),,Airport 28_LB_strep
CSD16-FAI-0512,,,,Bench by entrance/exit (indoors),,Airport 28_LB_strep
CSD16-FAI-0513,,,,Jetway 2 handrail,,Airport 37_TSA_none
CSD16-FAI-0514,,,,In front of Gate 1 carpet (by seating area),,Airport 37_TSA_strep
CSD16-FAI-0515,,,,In front of Gate 1 carpet (by seating area),,Airport 37_TSA_tet
CSD16-FAI-0516,,,,Family restroom floor,,Airport 37_TSA_none
CSD16-FAI-0517,,,,Kiosk (composite of 3),,Airport 37_TSA_amp
CSD16-FAI-0518,,,,Jetway 2 handrail,,Airport 28_TSA_none
CSD16-FAI-0519,,,,Jetway 2 handrail,,Airport 28_TSA_tet
CSD16-FAI-0520,,,,Jetway 1 seats waiting area,,Airport 28_TSA_none
CSD16-FAI-0521,,,,In front of Gate 1 carpet (by seating area),,Airport 28_TSA_tet
CSD16-FAI-0522,,,,Starbucks chair,,Airport 28_TSA_strep
CSD16-FAI-0523,,,,Family restroom wooden bench (prob used for bags or to sit kids),,Airport 28_TSA_none
CSD16-FAI-0524,,,,Jetway 2 floor (right after above area),,Airport 28_TSA_amp
CSD16-FAI-0525,,,,Baggage belt (main one/there is only 1 main one),,Airport 28_TSA_none
CSD16-FAI-0526,,,,Baggage belt (main one/there is only 1 main one),,Airport 28_TSA_kan
CSD16-FAI-0527,,,,Jetway 2 floor (as soon as step out of plane),,Airport 28_LB_strep
CSD16-FAI-0528,,,,Jetway 2 handrail,,Airport 28_LB_strep
CSD16-FAI-0529,,,,Jetway 1 seats waiting area,,Airport 28_LB_kan
CSD16-FAI-0530,,,,Jetway 1 seats waiting area,,Airport 28_LB_tet
CSD16-FAI-0531,,,,Jetway 1 floor (next to rubber floor area),,Airport 28_LB_kan
CSD16-FAI-0532,,,,Jetway 1 floor (next to rubber floor area),,Airport 28_LB_tet
CSD16-FAI-0533,,,,Jetway 1 floor (as soon as step out of plane),,Airport 28_LB_amp
CSD16-FAI-0534,,,,In front of Gate 1 carpet (by seating area),,Airport 28_LB_strep
CSD16-FAI-0535,,,,Baggage belt (main one/there is only 1 main one),,Airport 28_LB_amp
CSD16-FAI-0536,,,,Kiosk (composite of 3),,Airport 28_LB_amp
CSD16-FAI-0537,,,,Kiosk (composite of 3),,Airport 28_LB_tet
CSD16-FAI-0538,,,,Men's bathroom sink counter ,,Airport 28_LB_tet
CSD16-FAI-0539,,,,Jetway 2 floor (as soon as step out of plane),,Airport 28_TSA_amp
CSD16-FAI-0540,,,,Jetway 1 floor (next to rubber floor area),,Airport 28_TSA_amp
CSD16-FAI-0541,,,,Jetway 1 floor (next to rubber floor area),,Airport 28_TSA_kan
CSD16-FAI-0542,,,,Jetway 1 floor (next to rubber floor area),,Airport 28_TSA_strep
CSD16-FAI-0543,,,,Jetway 1 floor (as soon as step out of plane),,Airport 28_TSA_amp
CSD16-FAI-0544,,,,Jetway 1 floor (as soon as step out of plane),,Airport 28_TSA_kan
CSD16-FAI-0545,,,,Jetway 1 floor (as soon as step out of plane),,Airport 28_TSA_strep
CSD16-FAI-0546,,,,In front of Gate 1 carpet (by seating area),,Airport 28_TSA_amp
CSD16-FAI-0547,,,,In front of Gate 1 carpet (by seating area),,Airport 28_TSA_strep
CSD16-FAI-0548,,,,Baggage belt (main one/there is only 1 main one),,Airport 28_TSA_strep
CSD16-FAI-0549,,,,Bench by entrance/exit (indoors),,Airport 28_TSA_strep
CSD16-FAI-0550,,,,BRD,,Airport RT_bread_none
CSD16-FAI-0551,,,,Jetway 1 seats waiting area,,Airport 28_TSA_amp
CSD16-FAI-0552,,,,Jetway 1 seats waiting area,,Airport 28_TSA_tet
CSD16-FAI-0553,,,,Jetway 1 floor (as soon as step out of plane),,Airport 28_TSA_tet
CSD16-FAI-0554,,,,Starbucks table,,Airport 28_TSA_kan
CSD16-FAI-0555,,,,Family restroom sink counter,,Airport 28_TSA_none
CSD16-FAI-0556,,,,Family restroom sink counter,,Airport 28_TSA_amp
CSD16-FAI-0557,,,,Family restroom sink counter,,Airport 28_TSA_kan
CSD16-FAI-0558,,,,Family restroom sink counter,,Airport 28_TSA_strep
CSD16-FAI-0559,,,,Bench by entrance/exit (indoors),,Airport 28_TSA_kan
CSD16-FAI-0560,,,,Kiosk (composite of 3),,Airport 28_TSA_strep
CSD16-FAI-0561,,,,Jetway 2 handrail,,Airport 28_LB_amp
CSD16-FAI-0562,,,,Jetway 1 seats waiting area,,Airport 28_LB_amp
CSD16-FAI-0563,,,,Jetway 1 seats waiting area,,Airport 28_LB_strep
CSD16-FAI-0564,,,,Jetway 1 floor (next to rubber floor area),,Airport 28_LB_strep
CSD16-FAI-0565,,,,water fountain by gate 2,,Airport 28_LB_tet
CSD16-FAI-0566,,,,Starbucks table,,Airport 28_LB_strep
CSD16-FAI-0567,,,,Women's Bathroom (handicapped stall) seat,,Airport 28_TSA_amp
CSD16-FAI-0568,,,,Jetway 2 handrail,,Airport 28_TSA_kan
CSD16-FAI-0569,,,,Jetway 1 seats waiting area,,Airport 28_TSA_strep
CSD16-FAI-0570,,,,Family restroom sink counter,,Airport 28_TSA_tet
CSD16-FAI-0571,,,,Family restroom wooden bench (prob used for bags or to sit kids),,Airport 28_TSA_tet
CSD16-FAI-0572,,,,Baggage belt (main one/there is only 1 main one),,Airport 28_TSA_amp
CSD16-FAI-0573,,,,Bench by entrance/exit (indoors),,Airport 28_TSA_amp
CSD16-FAI-0574,,,,Bench by entrance/exit (indoors),,Airport 28_TSA_tet
CSD16-FAI-0575,,,,Kiosk (composite of 3),,Airport 28_TSA_amp
CSD16-FAI-0576,,,,Kiosk (composite of 3),,Airport 28_TSA_kan
CSD16-FAI-0577,,,,Kiosk (composite of 3),,Airport 28_TSA_tet
CSD16-FAI-0601,20160226,78,yellow,pole,,Bus 78_yellow_pole
CSD16-FAI-0602,20160226,78,yellow,seat,,Bus 78_yellow_seat
CSD16-FAI-0603,20160226,78,yellow,front bar,,Bus 78_yellow_front bar
CSD16-FAI-0604,20160226,71,blue,pole,,Bus 71_blue_pole
CSD16-FAI-0605,20160226,71,blue,seat,,Bus 71_blue_seat
CSD16-FAI-0606,20160226,71,blue,front bar,,Bus 71_blue_front bar
CSD16-FAI-0607,20160226,77,gold,pole,,Bus 77_gold_pole
CSD16-FAI-0608,20160226,77,gold,seat,,Bus 77_gold_seat
CSD16-FAI-0609,20160226,77,gold,front bar,,Bus 77_gold_front bar
CSD16-FAI-0610,20160226,141,red,pole (right side of door),,Bus 141_red_pole (right side of door)
CSD16-FAI-0611,20160226,141,red,seat,,Bus 141_red_seat
CSD16-FAI-0612,20160226,141,red,front bar,,Bus 141_red_front bar
CSD16-FAI-0613,20160226,141,red,yellow tape,,Bus 141_red_yellow tape
CSD16-FAI-0614,20160226,73,purple,pole,,Bus 73_purple_pole
CSD16-FAI-0615,20160226,73,purple,seat,,Bus 73_purple_seat
CSD16-FAI-0616,20160226,73,purple,front bar,,Bus 73_purple_front bar
CSD16-FAI-0617,20160226,73,purple,yellow tape,,Bus 73_purple_yellow tape
CSD16-FAI-0618,20160226,73,purple,Purrell box,,Bus 73_purple_Purrell box
CSD16-FAI-0619,20160226,75,yellow/red,pole,,Bus 75_yellow/red_pole
CSD16-FAI-0620,20160226,75,yellow/red,seat,,Bus 75_yellow/red_seat
CSD16-FAI-0621,20160226,75,yellow/red,front bar,,Bus 75_yellow/red_front bar
CSD16-FAI-0622,20160226,76,orange,pole,,Bus 76_orange_pole
CSD16-FAI-0623,20160226,76,orange,seat,,Bus 76_orange_seat
CSD16-FAI-0624,20160226,76,orange,front bar,,Bus 76_orange_front bar
CSD16-FAI-0625,20160226,143,green,pole,,Bus 143_green_pole
CSD16-FAI-0626,20160226,143,green,seat,,Bus 143_green_seat
CSD16-FAI-0627,20160226,143,green,front bar,,Bus 143_green_front bar
CSD16-FAI-0628,20160226,73,purple,front bar,,Bus 73_purple_front bar
CSD16-FAI-0629,20160226,73,purple,seat ,,Bus 73_purple_seat
CSD16-FAI-0630,20160226,141,red,front bar ,,Bus 141_red_front bar
CSD16-FAI-0631,20160226,141,red ,Purell box,,Bus 141_red _Purell box
CSD16-FAI-0632,20160226,141,red,Purrell box,,Bus 141_red_Purrell box
CSD16-FAI-0633,20160226,73,purple,yellow tape,,Bus 73_purple_yellow tape
CSD16-FAI-0634,20160226,141,red,pole,,Bus 141_red_pole
CSD16-FAI-0635,20160226,141,red,yellow tape,,Bus 141_red_yellow tape
CSD16-FAI-0636,20160226,73,purple,Purrell box,,Bus 73_purple_Purrell box
CSD16-FAI-0637,20160226,71,blue,seat,,Bus 71_blue_seat
CSD16-FAI-0638,20160226,141,red,seat,,Bus 141_red_seat
CSD16-FAI-0639,20160226,71,blue,front bar,,Bus 71_blue_front bar
CSD16-FAI-0640,20160226,bus stop,Wood Center,bench,,Bus bus stop_Wood Center_bench
CSD16-FAI-0641,20160226,bus stop,Wood Center,bench,,Bus bus stop_Wood Center_bench
CSD16-FAI-0642,20160226,bus stop,Pioneer Park,bench,,Bus bus stop_Pioneer Park_bench
CSD16-FAI-0643,20160226,bus stop,Pioneer Park,bench,,Bus bus stop_Pioneer Park_bench
CSD16-FAI-0644,20160226,bus stop,Noel Library,bench,,Bus bus stop_Noel Library_bench
CSD16-FAI-0645,20160226,bus stop,Noel Library,bench,,Bus bus stop_Noel Library_bench
CSD16-FAI-0181,20160720,71,red,seat,fabric,Bus 71_red_seat_fabric
CSD16-FAI-0182,20160720,71,red,plastic bag area,plastic,Bus 71_red_plastic bag area_plastic
CSD16-FAI-0183,20160720,71,red,floor,rubber,Bus 71_red_floor_rubber
CSD16-FAI-0184,20160720,71,red,yellow tape,plastic,Bus 71_red_yellow tape_plastic
CSD16-FAI-0185,20160720,71,red,Purrell Box,plastic,Bus 71_red_Purrell Box_plastic
CSD16-FAI-0186,20160720,141,blue,seat,fabric,Bus 141_blue_seat_fabric
CSD16-FAI-0187,20160720,141,blue,plastic bag area,plastic,Bus 141_blue_plastic bag area_plastic
CSD16-FAI-0188,20160720,141,blue,floor,rubber,Bus 141_blue_floor_rubber
CSD16-FAI-0189,20160720,141,blue,yellow tape,plastic,Bus 141_blue_yellow tape_plastic
CSD16-FAI-0190,20160720,141,blue,Purrell Box,plastic,Bus 141_blue_Purrell Box_plastic
CSD16-FAI-0191,20160720,71,red,air sample,air,Bus 71_red_air sample_air
CSD16-FAI-0192,20160720,141,blue,air sample,air,Bus 141_blue_air sample_air
CSD16-FAI-0193,20160720,Pioneer Park,bus stop,air sample,air,Bus Pioneer Park_bus stop_air sample_air
CSD16-FAI-0194,20160720,McDonald's,bus stop,air sample,air,Bus McDonald's_bus stop_air sample_air
CSD16-FAI-0195,20160720,Pioneer Park,bus stop,bench,wood,Bus Pioneer Park_bus stop_bench_wood
CSD16-FAI-0196,20160720,McDonald's (Geist Rd.),bust stop,bench,wood,Bus McDonald's (Geist Rd.)_bust stop_bench_wood
CSD16-FAI-0197,20160721,,,,air,Bus ___air
CSD16-FAI-0198,20160720,,,neg control cup,plastic,Bus __neg control cup_plastic
CSD16-FAI-0199,20160720,,,neg control (eSwab lab air 1),air,Bus __neg control (eSwab lab air 1)_air
CSD16-FAI-0200,20160720,,,neg control (eSwab lab air 2),air,Bus __neg control (eSwab lab air 2)_air
CSD16-FAI-0201,20160720,,,neg control (eSwab lab air 3),air,Bus __neg control (eSwab lab air 3)_air
CSD16-FAI-0202,20160720,,,pos control Zymo microb community stnd,air,Bus __pos control Zymo microb community stnd_air
CSD16-FAI-0001,20160620,76,purple/brown,handrail by entrance,,Bus 76_purple/brown_handrail by entrance
CSD16-FAI-0002,20160620,76,purple/brown,coin drop,,Bus 76_purple/brown_coin drop
CSD16-FAI-0003,20160620,76,purple/brown,backseat,,Bus 76_purple/brown_backseat
CSD16-FAI-0004,20160620,76,purple/brown,yellow tape,,Bus 76_purple/brown_yellow tape
CSD16-FAI-0005,20160620,76,purple/brown,Purrell box,,Bus 76_purple/brown_Purrell box
CSD16-FAI-0006,20160620,79,yellow,coin drop,,Bus 79_yellow_coin drop
CSD16-FAI-0007,20160620,79,yellow,door handle,,Bus 79_yellow_door handle
CSD16-FAI-0008,20160620,79,yellow,Purrel box,,Bus 79_yellow_Purrel box
CSD16-FAI-0009,20160620,79,yellow,seat,,Bus 79_yellow_seat
CSD16-FAI-0010,20160620,79,yellow,yellow tape,,Bus 79_yellow_yellow tape
CSD16-FAI-0011,20160620,710,red/blue,door handle,,Bus 710_red/blue_door handle
CSD16-FAI-0012,20160620,710,red/blue,coin drop,,Bus 710_red/blue_coin drop
CSD16-FAI-0013,20160620,710,red/blue,seat,,Bus 710_red/blue_seat
CSD16-FAI-0014,20160620,710,red/blue,Purrel box,,Bus 710_red/blue_Purrel box
CSD16-FAI-0015,20160620,710,red/blue,yellow tape,,Bus 710_red/blue_yellow tape
CSD16-FAI-0016,20160620,78,orange,door handle,,Bus 78_orange_door handle
CSD16-FAI-0017,20160620,78,orange,coin drop,,Bus 78_orange_coin drop
CSD16-FAI-0018,20160620,78,orange,yellow tape,,Bus 78_orange_yellow tape
CSD16-FAI-0019,20160620,78,orange,seat,,Bus 78_orange_seat
CSD16-FAI-0020,20160620,78,orange,Purrel box,,Bus 78_orange_Purrel box
CSD16-FAI-0021,20160620,71,blue,door handle,,Bus 71_blue_door handle
CSD16-FAI-0022,20160620,71,blue,coin drop,,Bus 71_blue_coin drop
CSD16-FAI-0023,20160620,71,blue,yellow tape,,Bus 71_blue_yellow tape
CSD16-FAI-0024,20160620,71,blue,seat,,Bus 71_blue_seat
CSD16-FAI-0025,20160620,71,blue,Purrell box,,Bus 71_blue_Purrell box
CSD16-FAI-0026,20160620,72,red,Purrel box,,Bus 72_red_Purrel box
CSD16-FAI-0027,20160620,72,red,coin drop,,Bus 72_red_coin drop
CSD16-FAI-0028,20160620,72,red,door handle,,Bus 72_red_door handle
CSD16-FAI-0029,20160620,72,red,yellow tape,,Bus 72_red_yellow tape
CSD16-FAI-0030,20160620,72,red,seat,,Bus 72_red_seat
CSD16-FAI-0031,20160620,142,green,coin drop,,Bus 142_green_coin drop
CSD16-FAI-0032,20160620,142,green,door handle,,Bus 142_green_door handle
CSD16-FAI-0033,20160620,142,green,seat,,Bus 142_green_seat
CSD16-FAI-0034,20160620,142,green,yellow tape,,Bus 142_green_yellow tape
CSD16-FAI-0035,20160620,142,green,Purrell box,,Bus 142_green_Purrell box
CSD16-FAI-0036,20160620,142,green,floor,,Bus 142_green_floor
CSD16-FAI-0037,20160620,75,gold,coin drop,,Bus 75_gold_coin drop
CSD16-FAI-0038,20160620,75,gold,door handle,,Bus 75_gold_door handle
CSD16-FAI-0039,20160620,75,gold,Purrell box,,Bus 75_gold_Purrell box
CSD16-FAI-0040,20160620,75,gold,seat,,Bus 75_gold_seat
CSD16-FAI-0041,20160620,75,gold,yellow tape,,Bus 75_gold_yellow tape
CSD16-FAI-0042,20160620,73,purple,seat,,Bus 73_purple_seat
CSD16-FAI-0043,20160620,73,purple,coin drop,,Bus 73_purple_coin drop
CSD16-FAI-0044,20160620,73,purple,yellow tape,,Bus 73_purple_yellow tape
CSD16-FAI-0045,20160620,73,purple,Purrell box,,Bus 73_purple_Purrell box
CSD16-FAI-0046,20160620,73,purple,door handle,,Bus 73_purple_door handle
CSD16-FAI-0047,20160620,141,blue,coin drop,,Bus 141_blue_coin drop
CSD16-FAI-0048,20160620,141,,seat,,Bus 141__seat
CSD16-FAI-0049,20160620,141,,door handle,,Bus 141__door handle
CSD16-FAI-0050,20160620,141,,floor,,Bus 141__floor
CSD16-FAI-0051,20160620,141,blue,Purrell box,,Bus 141_blue_Purrell box
CSD16-FAI-0052,20160620,141,blue,yellow tape,,Bus 141_blue_yellow tape
CSD16-FAI-0053,20160620,141,blue,around the bus (outside),,Bus 141_blue_around the bus (outside)
CSD16-FAI-0054,20160620,T12,grey,door handle,,Bus T12_grey_door handle
CSD16-FAI-0055,20160620,T12,grey,seat,,Bus T12_grey_seat
CSD16-FAI-0056,20160620,T12,grey,stiring wheel,,Bus T12_grey_stiring wheel
CSD16-FAI-0057,20160621,Wood Center,,bench,,Bus Stop_Wood Center__bench
CSD16-FAI-0058,20160621,Wien Elementary School,,wooden pillar,,Bus Stop_Wien Elementary School__wooden pillar
CSD16-FAI-0059,20160621,Thompson Visitor Center,,metal bench,,Bus Stop_Thompson Visitor Center__metal bench
CSD16-FAI-0060,20160621,Noel Library-northbound,,metal bench,,Bus Stop_Noel Library-northbound__metal bench
CSD16-FAI-0061,20160621,Pioneer Park,,wood bench,,Bus Stop_Pioneer Park__wood bench
CSD16-FAI-0062,20160621,McDonald's (Geist Rd),,metal bench,,Bus Stop_McDonald's (Geist Rd)__metal bench
CSD16-FAI-0063,20160620,710,red/blue line,air only-neg control,,Bus_710_red/blue line_air only-neg control
CSD16-FAI-0064,20160620,71,blue,plastic bag area in fornt of bus,,Bus_71_blue_plastic bag area in fornt of bus
CSD16-FAI-0065,,71,,door handle,,Bus 71_door handle_TSA_amp
CSD16-FAI-0066,,71,,door handle,,Bus 71_door handle_R2A_none
CSD16-FAI-0067,,71,,coin drop,,Bus 71_coin drop_TSA_none
CSD16-FAI-0068,,71,,coin drop,,Bus 71_coin drop_TSA_chloram
CSD16-FAI-0069,,71,,coin drop,,Bus 71_coin drop_TSA_kan
CSD16-FAI-0070,,71,,coin drop,,Bus 71_coin drop_TSA_tet
CSD16-FAI-0071,,71,,coin drop,,Bus 71_coin drop_R2A_none
CSD16-FAI-0072,,71,,Bag area (plastic),,Bus 71_Bag area (plastic)_TSA_none
CSD16-FAI-0073,,71,,Bag area (plastic),,Bus 71_Bag area (plastic)_TSA_amp
CSD16-FAI-0074,,71,,Bag area (plastic),,Bus 71_Bag area (plastic)_TSA_chloram
CSD16-FAI-0075,,71,,Bag area (plastic),,Bus 71_Bag area (plastic)_TSA_kan
CSD16-FAI-0076,,71,,Bag area (plastic),,Bus 71_Bag area (plastic)_TSA_strep
CSD16-FAI-0077,,71,,Bag area (plastic),,Bus 71_Bag area (plastic)_TSA_tet
CSD16-FAI-0079,,71,,yellow tape,,Bus 71_yellow tape_TSA_none
CSD16-FAI-0080,,71,,yellow tape (change 80 to 79),,Bus 71_yellow tape (change 80 to 79)_TSA_chloram
CSD16-FAI-0081,,71,,yellow tape (change 81 to 80),,Bus 71_yellow tape (change 81 to 80)_TSA_tet
CSD16-FAI-0082,,71,,yellow tape,,Bus 71_yellow tape_R2A_none
CSD16-FAI-0083a,,71,,seat ,,Bus 71_seat _TSA_none
CSD16-FAI-0083b,,71,,seat ,,Bus 71_seat _TSA_none
CSD16-FAI-0084,,71,,seat ,,Bus 71_seat _TSA_amp
CSD16-FAI-0085,,71,,seat,,Bus 71_seat_TSA_chloram
CSD16-FAI-0086,,71,,seat,,Bus 71_seat_TSA_strep
CSD16-FAI-0087,,71,,seat,,Bus 71_seat_TSA_tet
CSD16-FAI-0088,,71,,seat,,Bus 71_seat_R2A_none
CSD16-FAI-0089,,71,,Purrell Box,,Bus 71_Purrell Box_TSA_none
CSD16-FAI-0090,,71,,Purrell Box,,Bus 71_Purrell Box_TSA_amp
CSD16-FAI-0091,,71,,Purrell Box,,Bus 71_Purrell Box_TSA_chloram
CSD16-FAI-0092,,71,,Purrell Box,,Bus 71_Purrell Box_R2A_none
CSD16-FAI-0093,,73,,door handle,,Bus 73_door handle_R2A_none
CSD16-FAI-0094,,73,,coin drop,,Bus 73_coin drop_TSA_none
CSD16-FAI-0095,,73,,coin drop,,Bus 73_coin drop_TSA_amp
CSD16-FAI-0096,,73,,coin drop,,Bus 73_coin drop_TSA_chloram
CSD16-FAI-0097,,73,,coin drop,,Bus 73_coin drop_R2A_none
CSD16-FAI-0098,,73,,seats,,Bus 73_seats_TSA_none
CSD16-FAI-0099,,73,,seats,,Bus 73_seats_TSA_amp
CSD16-FAI-0100,,73,,seats,,Bus 73_seats_TSA_chloram
CSD16-FAI-0101,,73,,seats,,Bus 73_seats_TSA_kan
CSD16-FAI-0102,,73,,seats,,Bus 73_seats_TSA_strep
CSD16-FAI-0103,,73,,seats,,Bus 73_seats_TSA_tet
CSD16-FAI-0104,,73,,seats,,Bus 73_seats_R2A_none
CSD16-FAI-0105,,73,,floor,,Bus 73_floor_TSA_none
CSD16-FAI-0106,,73,,floor,,Bus 73_floor_TSA_amp
CSD16-FAI-0107,,73,,floor,,Bus 73_floor_TSA_chloram
CSD16-FAI-0108,,73,,floor,,Bus 73_floor_TSA_kan
CSD16-FAI-0109,,73,,floor,,Bus 73_floor_TSA_strep
CSD16-FAI-0110,,73,,floor,,Bus 73_floor_TSA_tet
CSD16-FAI-0111,,73,,floor,,Bus 73_floor_R2A_none
CSD16-FAI-0112a,,141,,floor,,Bus 141_floor_TSA_none
CSD16-FAI-0112b,,141,,floor,,Bus 141_floor_TSA_none
CSD16-FAI-0113,,141,,floor,,Bus 141_floor_TSA_amp
CSD16-FAI-0114,,141,,floor,,Bus 141_floor_TSA_chloram
CSD16-FAI-0115,,141,,floor,,Bus 141_floor_TSA_kan
CSD16-FAI-0116,,141,,floor,,Bus 141_floor_TSA_strep
CSD16-FAI-0117,,141,,floor,,Bus 141_floor_TSA_tet
CSD16-FAI-0118,,MISSING TUBE OR NUMBER!!!,,,,Bus MISSING TUBE OR NUMBER!!!___
CSD16-FAI-0119a,,141,,around the bus,,Bus 141_around the bus_TSA_none
CSD16-FAI-0119b,,141,,around the bus,,Bus 141_around the bus_TSA_none
CSD16-FAI-0120a,,141,,around the bus,,Bus 141_around the bus_TSA_amp
CSD16-FAI-0120b,,141,,around the bus,,Bus 141_around the bus_TSA_amp
CSD16-FAI-0121,,141,,around the bus,,Bus 141_around the bus_TSA_chloram
CSD16-FAI-0122,,141,,around the bus,,Bus 141_around the bus_TSA_kan
CSD16-FAI-0123,,141,,around the bus,,Bus 141_around the bus_TSA_strep
CSD16-FAI-0124,,141,,around the bus,,Bus 141_around the bus_R2A_none
CSD16-FAI-0125,,710,,door handle,,Bus 710_door handle_TSA_none
CSD16-FAI-0126,,710,,door handle,,Bus 710_door handle_TSA_chloram
CSD16-FAI-0127,,710,,door handle,,Bus 710_door handle_TSA_strep
CSD16-FAI-0128,,710,,door handle,,Bus 710_door handle_R2A_none
CSD16-FAI-0129,,710,,coin drop,,Bus 710_coin drop_TSA_none
CSD16-FAI-0130,,710,,coin drop,,Bus 710_coin drop_TSA_amp
CSD16-FAI-0131,,710,,coin drop,,Bus 710_coin drop_TSA_chloram
CSD16-FAI-0132,,710,,coin drop,,Bus 710_coin drop_TSA_kan
CSD16-FAI-0133,,710,,coin drop,,Bus 710_coin drop_TSA_strep
CSD16-FAI-0134,,710,,coin drop,,Bus 710_coin drop_R2A_none
CSD16-FAI-0135,,710,,yellow tape,,Bus 710_yellow tape_TSA_none
CSD16-FAI-0136,,710,,yellow tape,,Bus 710_yellow tape_TSA_tet
CSD16-FAI-0137,,710,,yellow tape,,Bus 710_yellow tape_R2A_none
CSD16-FAI-0138,,710,,seat,,Bus 710_seat_TSA_none
CSD16-FAI-0139,,710,,seat,,Bus 710_seat_TSA_chloram
