Sample_#,Date_Collected,Bus_Number,Bus_Line,Area,Material,Label
CSD16-FAI-0295,,,,Women's Bathroom (handicapped stall) seat,,Airport Women's Bathroom (handicapped stall) seat_37_LB_none
CSD16-FAI-0296,,,,Women's Bathroom (handicapped stall) seat,,Airport Women's Bathroom (handicapped stall) seat_37_LB_strep
CSD16-FAI-0297,,,,Women's bathroom (wash basin) and sink counter,,Airport Women's bathroom (wash basin) and sink counter_37_LB_none
CSD16-FAI-0298,,,,Women's bathroom (wash basin) and sink counter,,Airport Women's bathroom (wash basin) and sink counter_37_LB_amp
CSD16-FAI-0299,,,,Women's bathroom (wash basin) and sink counter,,Airport Women's bathroom (wash basin) and sink counter_37_LB_kan
CSD16-FAI-0300,,,,Women's bathroom (wash basin) and sink counter,,Airport Women's bathroom (wash basin) and sink counter_37_LB_strep
CSD16-FAI-0301,,,,Women's bathroom (wash basin) and sink counter,,Airport Women's bathroom (wash basin) and sink counter_37_LB_tet
CSD16-FAI-0302,,,,Family restroom sink counter,,Airport Family restroom sink counter_37_LB_none
CSD16-FAI-0303,,,,Family restroom sink counter,,Airport Family restroom sink counter_37_LB_kan
CSD16-FAI-0304,,,,Family restroom sink counter,,Airport Family restroom sink counter_37_LB_strep
CSD16-FAI-0305,,,,Family restroom sink counter,,Airport Family restroom sink counter_37_LB_tet
CSD16-FAI-0306,,,,Family restroom wooden bench (prob used for bags or to sit kids),,Airport Family restroom wooden bench (prob used for bags or to sit kids)_37_LB_none
CSD16-FAI-0307,,,,Family restroom wooden bench (prob used for bags or to sit kids),,Airport Family restroom wooden bench (prob used for bags or to sit kids)_37_LB_kan
CSD16-FAI-0308,,,,Family restroom wooden bench (prob used for bags or to sit kids),,Airport Family restroom wooden bench (prob used for bags or to sit kids)_37_LB_tet
CSD16-FAI-0309,,,,Family restroom floor,,Airport Family restroom floor_37_LB_none
CSD16-FAI-0310,,,,Family restroom floor,,Airport Family restroom floor_37_LB_amp
CSD16-FAI-0311,,,,Family restroom floor,,Airport Family restroom floor_37_LB_tet
CSD16-FAI-0312,,,,Men's bathroom urinal (composite of 3),,Airport Men's bathroom urinal (composite of 3)_37_LB_none
CSD16-FAI-0313,,,,Men's bathroom urinal (composite of 3),,Airport Men's bathroom urinal (composite of 3)_37_LB_amp
CSD16-FAI-0314,,,,Men's bathroom urinal (composite of 3),,Airport Men's bathroom urinal (composite of 3)_37_LB_kan
CSD16-FAI-0315,,,,Men's bathroom urinal (composite of 3),,Airport Men's bathroom urinal (composite of 3)_37_LB_strep
CSD16-FAI-0316,,,,Men's bathroom urinal (composite of 3),,Airport Men's bathroom urinal (composite of 3)_37_LB_tet
CSD16-FAI-0317,,,,Family restroom wooden bench (prob used for bags or to sit kids),,Airport Family restroom wooden bench (prob used for bags or to sit kids)_37_LB_amp
CSD16-FAI-0318,,,,Jetway 2 floor (right after above area),,Airport Jetway 2 floor (right after above area)_37_LB_none
CSD16-FAI-0319,,,,Jetway 2 floor (right after above area),,Airport Jetway 2 floor (right after above area)_37_LB_tet
CSD16-FAI-0320,,,,Escalator going down to exit,,Airport Escalator going down to exit_37_LB_none
CSD16-FAI-0321,,,,Escalator going down to exit,,Airport Escalator going down to exit_37_LB_kan
CSD16-FAI-0322,,,,Baggage belt (main one/there is only 1 main one),,Airport Baggage belt (main one/there is only 1 main one)_37_LB_none
CSD16-FAI-0323,,,,Baggage belt (main one/there is only 1 main one),,Airport Baggage belt (main one/there is only 1 main one)_37_LB_kan
CSD16-FAI-0324,,,,Bench by entrance/exit (indoors),,Airport Bench by entrance/exit (indoors)_37_LB_none
CSD16-FAI-0325,,,,Bench by entrance/exit (indoors),,Airport Bench by entrance/exit (indoors)_37_LB_amp
CSD16-FAI-0326,,,,Bench by entrance/exit (indoors),,Airport Bench by entrance/exit (indoors)_37_LB_kan
CSD16-FAI-0327,,,,Bench by entrance/exit (indoors),,Airport Bench by entrance/exit (indoors)_37_LB_tet
CSD16-FAI-0328,,,,Kiosk (composite of 3),,Airport Kiosk (composite of 3)_37_LB_none
CSD16-FAI-0329,,,,Kiosk (composite of 3),,Airport Kiosk (composite of 3)_37_LB_amp
CSD16-FAI-0330,,,,Kiosk (composite of 3),,Airport Kiosk (composite of 3)_37_LB_kan
