city,barcode,setting,ground_level,traffic,latitude,longitude,material,sample_place,,
baltimore,235161865,urban,under_ground,low,39.289539,-76.613969,metal_plastic,ticket_machine,,
baltimore,235162520,urban,under_ground,light,39.289539,-76.613926,metal_plastic,sensor,,
baltimore,235161908,urban,under_ground,moderate/high,39.298573,-76.594614,plastic,seat,,
baltimore,235162563,urban,under_ground,moderate/high,39.29854,-76.594614,other,handrail,,
baltimore,235162555,urban,under_ground,moderate/high,39.298573,-76.594614,metal_plastic,ticket_machine,,
baltimore,235161932,urban,under_ground,moderate/high,39.29854,-76.594635,metal_plastic,sensor,,
baltimore,235161897,urban,under_ground,moderate,39.289473,-76.606502,plastic,seat,,
baltimore,235162064,urban,under_ground,low,39.289456,-76.60648,metal_plastic,sensor,,
baltimore,235162048,urban,under_ground,low,39.289456,-76.60648,other,handrail,,
baltimore,235183938,urban,under_ground,low,39.289473,-76.606502,metal_plastic,ticket_machine,,
baltimore,235161878,urban,under_ground,moderate/high,39.289474,-76.61392,plastic,seat,,
bogota,235030857,urban,above_ground_closed,,4.64977048,-74.05672378,other,seat,,
bogota,235074110,urban,above_ground_mixed,,4.7218758,-74.042348,other,turnstile,,
bogota,235073042,urban,above_ground_open,a lot of people,4.754783503,-74.04549613,metal,turnstile,,
bogota,235073117,urban,above_ground_open,,4.754557043,-74.04564746,metal_plastic,map,,
bogota,235082332,urban,above_ground_mixed,"little people traffic, windy",4.7464788,-74.0945737,plastic,map,,
bogota,235075537,urban,above_ground_mixed,same,4.7464605,-74.0945081,metal,turnstile,,
bogota,235073104,urban,above_ground_closed,heavy,4.64726184,-74.07854265,plastic,seat,,
bogota,235082328,urban,above_ground_mixed,light,4.6447476,-74.0791898,metal,turnstile,,
bogota,235072724,urban,above_ground_mixed,light,4.6449503,-74.0791094,plastic,map,,
bogota,235073125,urban,above_ground_mixed,light,4.6439493,-74.0779392,metal,handrail,,
bogota,235082342,urban,above_ground_closed,,4.6663126,-74.0751858,glass,window,,
bogota,235082344,urban,above_ground_closed,high,4.67972574,-74.06541191,metal_plastic,pole,,
bogota,235081057,urban,above_ground_mixed,semi light,4.69058557,-74.06608016,metal,turnstile,,
bogota,235073103,urban,above_ground_mixed,light,4.6907991,-74.0660992,metal,handrail,,
bogota,235082319,urban,above_ground_closed,medium,4.60580129,-74.09845271,glass,window,,
bogota,235073107,urban,above_ground_closed,medium,4.6340441,-74.0792012,metal_plastic,pole,,
bogota,235081032,urban,above_ground_closed,medium,4.61654187,-74.08980335,plastic,seat,,
bogota,235078156,urban,above_ground_mixed,light,4.7465067,-74.0945164,metal,handrail,,
bogota,235074189,urban,above_ground_closed,semi lleno,4.7446536,-74.0937363,plastic,seat,,
bogota,235074171,urban,above_ground_closed,start light end high,4.69091744,-74.06576041,plastic,pole,,
bogota,235082338,urban,above_ground_closed,start light end heavy,4.6907474,-74.065973,glass,window,,
bogota,235074105,urban,above_ground_mixed,not many people,4.6911284,-74.0660074,plastic,map,,
bogota,235078167,urban,above_ground_mixed,medium,4.6309845,-74.1454547,plastic,map,,
bogota,235082298,urban,above_ground_mixed,med low,4.6312403,-74.1455694,metal,handrail,,
bogota,235081936,urban,above_ground_mixed,medium,4.6311149,-74.1468997,metal,turnstile,,
bogota,235074128,urban,above_ground_closed,medium,4.62751636,-74.10702985,metal_plastic,pole,,
bogota,235082304,urban,above_ground_closed,medium,4.6289333,-74.126462,plastic,seat,,
bogota,235074164,urban,above_ground_closed,medium,4.6318002,-74.1436427,glass,window,,
bogota,235074112,urban,above_ground_closed,medium heavy,4.6384186,-74.1587117,glass,window,,
bogota,235075577,urban,above_ground_closed,medium,4.6306332,-74.1676104,plastic,seat,,
bogota,235073126,urban,above_ground_mixed,light,4.6297893,-74.1733209,metal,turnstile,,
bogota,235081923,urban,above_ground_mixed,light,4.6298288,-74.1733438,metal,handrail,,
bogota,235074158,urban,above_ground_mixed,light  medium,4.6301813,-74.1717156,plastic,map,,
bogota,235073085,urban,above_ground_mixed,few people in the station after rush hour,4.5966113,-74.1695369,other,turnstile,,
bogota,235074136,urban,above_ground_mixed,few people after rush hour,4.5966113,-74.1695369,metal,turnstile,,
bogota,235074167,urban,above_ground_mixed,,4.5966044,-74.1695437,metal,handrail,,
bogota,235082281,urban,above_ground_closed,few people,4.59728874,-74.16875163,plastic,seat,,
bogota,235078219,urban,above_ground_closed,few people,4.59730377,-74.16877301,glass,window,,
bogota,235082274,urban,above_ground_closed,few people,4.59478396,-74.11784492,metal_plastic,pole,,
bogota,235082346,urban,above_ground_open,,4.59362743,-74.12938103,metal,turnstile,,
bogota,235072700,urban,above_ground_open,few people,4.59353156,-74.12954305,metal,handrail,,
bogota,235082295,urban,above_ground_open,few people,4.59355516,-74.12949701,plastic,map,,
bogota,235072703,urban,above_ground_closed,,4.59345463,-74.12907316,plastic,seat,,
bogota,235073127,urban,above_ground_closed,,4.59355355,-74.1295222,glass,window,,
bogota,235074154,urban,above_ground_closed,,4.59353421,-74.12950474,metal_plastic,pole,,
bogota,235082307,urban,above_ground_mixed,normal,4.61134679,-74.09376274,metal,turnstile,,
bogota,235082276,urban,above_ground_closed,high traffic,4.61169112,-74.09397596,metal,handrail,,
bogota,235074174,urban,above_ground_mixed,high traffic,4.61263546,-74.09316096,plastic,map,,
bogota,235072721,urban,above_ground_closed,high traffic,4.61211419,-74.09347433,plastic,seat,,
bogota,235074145,urban,above_ground_closed,high traffic,4.61210457,-74.09354525,glass,window,,
bogota,235082303,urban,above_ground_closed,,4.61147428,-74.09395983,metal_plastic,pole,,
