sample_id,CSD_ID_Corrected,barcode,Yield,Date Collected,Username,Country,State,CityCode,City,Location_Type,location,line,Average_Ridership (2016),Latitude,Longitude,Object Swabbed,surface_material,Temperature ℃,Duplicate,UUID,,
HKMTR3001ID,CSD16-HON-HKMTR3001ID,N/A,N/A,N/A,N/A,China,N/A,HKG,Hong Kong,Indoor Line,Tsuen Wan,MTR,N/A,N/A,N/A,N/A,Air,N/A,,,,
HKMTR3001OD,CSD16-HON-HKMTR3001OD,N/A,N/A,N/A,N/A,China,N/A,HKG,Hong Kong,Outdoor Line,East Rail,MTR,N/A,N/A,N/A,N/A,Air,N/A,,,,
HKMTR3002ID,CSD16-HON-HKMTR3002ID,N/A,N/A,N/A,N/A,China,N/A,HKG,Hong Kong,Indoor Line,Tsuen Wan,MTR,N/A,N/A,N/A,N/A,Air,N/A,,,,
HKMTR3002OD,CSD16-HON-HKMTR3002OD,N/A,N/A,N/A,N/A,China,N/A,HKG,Hong Kong,Outdoor Line,East Rail,MTR,N/A,N/A,N/A,N/A,Air,N/A,,,,
HKMTR3003ID,CSD16-HON-HKMTR3003ID,N/A,N/A,N/A,N/A,China,N/A,HKG,Hong Kong,Indoor Line,Tsuen Wan,MTR,N/A,N/A,N/A,N/A,Air,N/A,,,,
HKMTR3003OD,CSD16-HON-HKMTR3003OD,N/A,N/A,N/A,N/A,China,N/A,HKG,Hong Kong,Outdoor Line,East Rail,MTR,N/A,N/A,N/A,N/A,Air,N/A,,,,
HKMTR3004ID,CSD16-HON-HKMTR3004ID,N/A,N/A,N/A,N/A,China,N/A,HKG,Hong Kong,Indoor Line,Tsuen Wan,MTR,N/A,N/A,N/A,N/A,Air,N/A,,,,
HKMTR3004OD,CSD16-HON-HKMTR3004OD,N/A,N/A,N/A,N/A,China,N/A,HKG,Hong Kong,Outdoor Line,East Rail,MTR,N/A,N/A,N/A,N/A,Air,N/A,,,,
HKMTR4001,CSD16-HON-HKMTR4001,N/A,N/A,N/A,N/A,China,N/A,HKG,Hong Kong,Outdoor,Island,OUTDOOR,N/A,N/A,N/A,N/A,Air,N/A,,,,
HKMTR4002,CSD16-HON-HKMTR4002,N/A,N/A,N/A,N/A,China,N/A,HKG,Hong Kong,Outdoor,Tsuen Wan,OUTDOOR,N/A,N/A,N/A,N/A,Air,N/A,,,,
HKMTR4003,CSD16-HON-HKMTR4003,N/A,N/A,N/A,N/A,China,N/A,HKG,Hong Kong,Outdoor,Kwun Tong,OUTDOOR,N/A,N/A,N/A,N/A,Air,N/A,,,,
HKMTR4004,CSD16-HON-HKMTR4004,N/A,N/A,N/A,N/A,China,N/A,HKG,Hong Kong,Outdoor,East Rail,OUTDOOR,N/A,N/A,N/A,N/A,Air,N/A,,,,
HKMTR4005,CSD16-HON-HKMTR4005,N/A,N/A,N/A,N/A,China,N/A,HKG,Hong Kong,Outdoor,West Rail,OUTDOOR,N/A,N/A,N/A,N/A,Air,N/A,,,,
HKMTR4006,CSD16-HON-HKMTR4006,N/A,N/A,N/A,N/A,China,N/A,HKG,Hong Kong,Outdoor,Tseung Kwan O,OUTDOOR,N/A,N/A,N/A,N/A,Air,N/A,,,,
HKMTR4007,CSD16-HON-HKMTR4007,N/A,N/A,N/A,N/A,China,N/A,HKG,Hong Kong,Outdoor,Ma On Shan,OUTDOOR,N/A,N/A,N/A,N/A,Air,N/A,,,,
1,CSD16-STO-1,N/A,N/A,3/15/16,N/A,Sweden,N/A,STO,Stockholm,N/A,t. centralen,N/A,N/A,N/A,N/A,middle handrail,N/A,N/A,,,,
2,CSD16-STO-2,N/A,N/A,3/15/16,N/A,Sweden,N/A,STO,Stockholm,N/A,t. centralen,N/A,N/A,N/A,N/A,elevator blue cross-left,N/A,N/A,,,,
3,CSD16-STO-3,N/A,N/A,3/15/16,N/A,Sweden,N/A,STO,Stockholm,N/A,t. centralen,N/A,N/A,N/A,N/A,turnstile,N/A,N/A,,,,
4,CSD16-STO-4,N/A,N/A,3/15/16,N/A,Sweden,N/A,STO,Stockholm,N/A,t. centralen,N/A,N/A,N/A,N/A,seat stock-c end,N/A,N/A,,,,
5,CSD16-STO-5,N/A,N/A,3/15/16,N/A,Sweden,N/A,STO,Stockholm,N/A,Train to fruagen,N/A,N/A,N/A,N/A,seat middle of carriage,N/A,N/A,,,,
6,CSD16-STO-6,N/A,N/A,3/15/16,N/A,Sweden,N/A,STO,Stockholm,N/A,Fruägen,N/A,N/A,N/A,N/A,Black bench outdoor station ,N/A,N/A,,,,
7,CSD16-STO-7,N/A,N/A,3/15/16,N/A,Sweden,N/A,STO,Stockholm,N/A,Fruägen,N/A,N/A,N/A,N/A,staircase handrail top,N/A,N/A,,,,
8,CSD16-STO-8,N/A,N/A,3/15/16,N/A,Sweden,N/A,STO,Stockholm,N/A,Fruägen,N/A,N/A,N/A,N/A,ticket machine screen,  ,N/A,,,,
9,CSD16-STO-9,N/A,N/A,3/15/16,N/A,Sweden,N/A,STO,Stockholm,N/A,slussen,N/A,N/A,N/A,N/A,right side of bench on morby centrum side,next to trash,N/A,,,,
10,CSD16-STO-10,N/A,N/A,3/15/16,N/A,Sweden,N/A,STO,Stockholm,N/A,slussen,N/A,N/A,N/A,N/A,handrail,metal,N/A,,,,
11,CSD16-STO-11,N/A,N/A,3/15/16,N/A,Sweden,N/A,STO,Stockholm,N/A,slussen,N/A,N/A,N/A,N/A,turnstile neer stad museet side,4th from ticketor,N/A,,,,
