Sample_ID,Date_Collected,Collected_By,Country,State,City,Subway/Bus/Station,Description,Line(Station Only),Average_Ridership,Latitude,Longitude,Object_Swabbed,Surface_Material,Temperature ℃,Collection_Time,,,
CSD16-BOG-039,6/21/16,,Colombia,N/A,Bogota,Station,Portal El Dorado,K,,4.6822583000,-74.1220683000,Turnstile,Stainless steel,,3:11:00 PM,,,
CSD16-BOG-040,6/21/16,,Colombia,N/A,Bogota,Bus,,K,,4.6774889297,-74.1188418379,Seat ,Plastic,,3:27:00 PM,,,
CSD16-BOG-041,6/21/16,,Colombia,N/A,Bogota,Bus,,K,,4.6608860465,-74.1082295124,Window,Glass,,3:31:00 PM,,,
CSD16-BOG-042,6/21/16,,Colombia,N/A,Bogota,Bus,,K,,4.6496487701,-74.1009452686,Pole,Metal,,3:34:00 PM,,,
CSD16-BOG-043,6/21/16,,Colombia,N/A,Bogota,Station,Corferias,K,,4.6341400000,-74.0896483000,Map,Vinyl,,3:43:00 PM,,,
CSD16-BOG-044,6/21/16,,Colombia,N/A,Bogota,Station,Corferias,K,,4.6340800000,-74.0893983000,Railing,Stainless steel,,3:47:00 PM,,,
CSD16-BOG-045,6/21/16,,Colombia,N/A,Bogota,Station,Corferias,K,,4.6342616000,-74.0893050000,Turnstile,Stainless steel,,3:52:00 PM,,,
CSD16-BOG-046,6/21/16,,Colombia,N/A,Bogota,,,K,,4.6461303763,-74.0984857527,Seat ,Plastic,,4:01:00 PM,,,
CSD16-BOG-047,6/21/16,,Colombia,N/A,Bogota,,,K,,4.6610030159,-74.1079073121,Window,Glass,,4:06:00 PM,,,
CSD16-BOG-048,6/21/16,,Colombia,N/A,Bogota,,,K,,4.6795550000,-74.1197583000,Pole,Metal,,4:11:00 PM,,,
CSD16-BOG-049,6/21/16,,Colombia,N/A,Bogota,Bus,,J,,4.6790166000,-74.1197150000,Window,Glass,,4:21:00 PM,,,
CSD16-BOG-050,6/21/16,,Colombia,N/A,Bogota,Bus,,J,,4.6669483000,-74.1119499000,Seat,Plastic,,4:24:00 PM,,,
CSD16-BOG-051,6/21/16,,Colombia,N/A,Bogota,Bus,,J,,4.6402233000,-74.0949233000,Pole,Metal,,4:30:00 PM,,,
CSD16-BOG-052,6/21/16,,Colombia,N/A,Bogota,Station,Ricaurte,J,,4.6114342008,-74.0941108671,Railing,Stainless steel,,4:46:00 PM,,,
CSD16-BOG-053,6/21/16,,Colombia,N/A,Bogota,Station,Ricaurte,J,,4.6133752000,-74.0937326000,Map,Vinyl,,4:46:00 PM,,,
CSD16-BOG-054,6/21/16,,Colombia,N/A,Bogota,Station,Ricaurte,J,,4.6137916000,-74.0916066000,Turnstile,Stainless steel,,4:56:00 PM,,,
CSD16-BOG-055,6/21/16,,Colombia,N/A,Bogota,Bus,,J,,4.6068666000,-74.0835716000,Pole,Metal,,5:09:00 PM,,,
CSD16-BOG-056,6/21/16,,Colombia,N/A,Bogota,Bus,,J,,4.6068666000,-74.0835716000,Seat,Plastic,,5:11:00 PM,,,
CSD16-BOG-057,6/21/16,,Colombia,N/A,Bogota,Bus,,J,,4.6669483000,-74.1119499000,Window,Glass,,5:17:00 PM,,,
CSD16-BOG-058,6/21/16,,Colombia,N/A,Bogota,Station,Av. Jiménez,J,,4.6173325300,-74.0718519000,Railing,Stainless steel,,5:33:00 PM,,,
CSD16-BOG-059,6/21/16,,Colombia,N/A,Bogota,Station,Av. Jiménez,J,,4.6173325300,-74.0718519000,Turnstile,Stainless steel,,5:33:00 PM,,,
CSD16-BOG-060,6/21/16,,Colombia,N/A,Bogota,Station,Av. Jiménez,J,,4.6173325300,-74.0718519000,Map,Vinyl,,5:42:00 PM,,,
CSD16-BOG-061,6/21/16,,Colombia,N/A,Bogota,Bus,,L,,4.6402233000,-74.0949233000,Seat,Plastic,,6:16:00 PM,,,
CSD16-BOG-062,6/21/16,,Colombia,N/A,Bogota,Bus,,L,,4.6402233000,-74.0949233000,Pole,Metal,,6:18:00 PM,,,
CSD16-BOG-063,6/21/16,,Colombia,N/A,Bogota,Bus,,L,,4.5944169000,-74.1347696000,Window,Glass,,6:23:00 PM,,,
CSD16-BOG-064,6/21/16,,Colombia,N/A,Bogota,Station,Portal 20 de Julio,L,,4.6171936200,-74.0719242200,Map,Vinyl,,6:31:00 PM,,,
CSD16-BOG-065,6/21/16,,Colombia,N/A,Bogota,Station,Portal 20 de Julio,L,,4.6171936200,-74.0719242200,Railing,Stainless steel,,6:42:00 PM,,,
