INBOUND-DATASET,INBOUND-DATASET,INBOUND-DATASET,INBOUND-DATASET,INBOUND_OUTBOUND_METADATA,OUTBOUND,OUTBOUND,OUTBOUND,METADATA
inbound_17,inbound_17__E10,inbound_17,E10,235073060,bogota_columbia_1__B07,Bogota,Colombia,Bogota
inbound_17,inbound_17__E11,inbound_17,E11,235074174,bogota_columbia_1__B06,Bogota,Colombia,Bogota
inbound_17,inbound_17__E12,inbound_17,E12,235082346,bogota_columbia_2__G04,Bogota,Colombia,Bogota
inbound_17,inbound_17__F01,inbound_17,F01,235073117,bogota_columbia_1__G05,Bogota,Colombia,Bogota
inbound_17,inbound_17__F02,inbound_17,F02,235082306,bogota_columbia_1__G04,Bogota,Colombia,Bogota
inbound_17,inbound_17__F03,inbound_17,F03,235074142,bogota_columbia_1__G03,Bogota,Colombia,Bogota
inbound_17,inbound_17__F04,inbound_17,F04,235074129,bogota_columbia_1__G02,Bogota,Colombia,Bogota
inbound_17,inbound_17__F05,inbound_17,F05,235074147,bogota_columbia_1__G01,Bogota,Colombia,Bogota
inbound_17,inbound_17__F06,inbound_17,F06,235073125,bogota_columbia_2__E03,Bogota,Colombia,Bogota
inbound_17,inbound_17__F07,inbound_17,F07,235082344,bogota_columbia_2__B03,Bogota,Colombia,Bogota
inbound_17,inbound_17__F08,inbound_17,F08,235074158,bogota_columbia_2__C01,Bogota,Colombia,Bogota
inbound_17,inbound_17__F09,inbound_17,F09,235075577,bogota_columbia_2__F01,Bogota,Colombia,Bogota
inbound_17,inbound_17__F10,inbound_17,F10,235072664,bogota_columbia_1__A07,Bogota,Colombia,Bogota
inbound_17,inbound_17__F11,inbound_17,F11,235072721,bogota_columbia_1__A06,Bogota,Colombia,Bogota
inbound_17,inbound_17__F12,inbound_17,F12,235072700,bogota_columbia_2__H04,Bogota,Colombia,Bogota
inbound_17,inbound_17__G02,inbound_17,G02,235072657,bogota_columbia_1__F04,Bogota,Colombia,Bogota
inbound_17,inbound_17__G03,inbound_17,G03,235074149,bogota_columbia_1__F03,Bogota,Colombia,Bogota
inbound_17,inbound_17__G04,inbound_17,G04,235078189,bogota_columbia_1__F02,Bogota,Colombia,Bogota
inbound_17,inbound_17__G05,inbound_17,G05,235082347,bogota_columbia_1__F01,Bogota,Colombia,Bogota
inbound_17,inbound_17__G06,inbound_17,G06,235072724,bogota_columbia_2__F03,Bogota,Colombia,Bogota
inbound_17,inbound_17__G07,inbound_17,G07,235082342,bogota_columbia_2__C03,Bogota,Colombia,Bogota
inbound_17,inbound_17__G08,inbound_17,G08,235073107,bogota_columbia_2__H03,Bogota,Colombia,Bogota
inbound_17,inbound_17__G09,inbound_17,G09,235074112,bogota_columbia_2__G01,Bogota,Colombia,Bogota
inbound_17,inbound_17__G10,inbound_17,G10,235074172,bogota_columbia_1__H08,Bogota,Colombia,Bogota
inbound_17,inbound_17__G11,inbound_17,G11,235074145,bogota_columbia_1__H07,Bogota,Colombia,Bogota
inbound_17,inbound_17__G12,inbound_17,G12,235082295,bogota_columbia_1__H06,Bogota,Colombia,Bogota
inbound_17,inbound_17__H01,inbound_17,H01,235073042,bogota_columbia_1__E05,Bogota,Colombia,Bogota
inbound_17,inbound_17__H02,inbound_17,H02,235082329,bogota_columbia_1__E04,Bogota,Colombia,Bogota
inbound_17,inbound_17__H03,inbound_17,H03,235082300,bogota_columbia_1__E03,Bogota,Colombia,Bogota
inbound_17,inbound_17__H04,inbound_17,H04,235082302,bogota_columbia_1__E02,Bogota,Colombia,Bogota
inbound_17,inbound_17__H05,inbound_17,H05,235073113,bogota_columbia_1__E01,Bogota,Colombia,Bogota
inbound_17,inbound_17__H06,inbound_17,H06,235082328,bogota_columbia_2__G03,Bogota,Colombia,Bogota
inbound_17,inbound_17__H07,inbound_17,H07,235073104,bogota_columbia_2__D03,Bogota,Colombia,Bogota
inbound_17,inbound_17__H08,inbound_17,H08,235081032,bogota_columbia_2__A02,Bogota,Colombia,Bogota
inbound_17,inbound_17__H09,inbound_17,H09,235078192,bogota_columbia_2__H01,Bogota,Colombia,Bogota
inbound_17,inbound_17__H10,inbound_17,H10,235073133,bogota_columbia_1__F08,Bogota,Colombia,Bogota
inbound_17,inbound_17__H11,inbound_17,H11,235082303,bogota_columbia_1__G07,Bogota,Colombia,Bogota
inbound_17,inbound_17__H12,inbound_17,H12,235072703,bogota_columbia_1__G06,Bogota,Colombia,Bogota
inbound_10,inbound_10__A01,inbound_10,A01,235038924,brisbone_australia_1__A11,Brisbane,Australia,Brisbane
inbound_10,inbound_10__B01,inbound_10,B01,235062591,brisbone_australia_1__C11,Brisbane,Australia,Brisbane
inbound_10,inbound_10__C01,inbound_10,C01,235059165,brisbone_australia_1__B11,Brisbane,Australia,Brisbane
inbound_10,inbound_10__D01,inbound_10,D01,235059159,brisbone_australia_1__E11,Brisbane,Australia,Brisbane
inbound_10,inbound_10__E01,inbound_10,E01,235037789,brisbone_australia_1__D11,Brisbane,Australia,Brisbane
inbound_10,inbound_10__F01,inbound_10,F01,235062849,brisbone_australia_1__G11,Brisbane,Australia,Brisbane
inbound_10,inbound_10__G01,inbound_10,G01,235060755,brisbone_australia_1__F11,Brisbane,Australia,Brisbane
inbound_10,inbound_10__G02,inbound_10,G02,235062615,brisbone_australia_1__H12,Brisbane,Australia,Brisbane
inbound_10,inbound_10__H01,inbound_10,H01,235038956,brisbone_australia_1__H11,Brisbane,Australia,Brisbane
inbound_10,inbound_10__H02,inbound_10,H02,235040698,brisbone_australia_1__D12,Brisbane,Australia,Brisbane
inbound_10,inbound_10__H03,inbound_10,H03,235062602,brisbone_australia_1__G12,Brisbane,Australia,Brisbane
inbound_10,inbound_10__H04,inbound_10,H04,235062806,brisbone_australia_1__C12,Brisbane,Australia,Brisbane
inbound_10,inbound_10__H05,inbound_10,H05,235062644,brisbone_australia_1__H08,Brisbane,Australia,Brisbane
inbound_10,inbound_10__H06,inbound_10,H06,235062667,brisbone_australia_1__G10,Brisbane,Australia,Brisbane
inbound_10,inbound_10__H07,inbound_10,H07,235037754,brisbone_australia_1__F09,Brisbane,Australia,Brisbane
inbound_10,inbound_10__H08,inbound_10,H08,235059150,brisbone_australia_1__E10,Brisbane,Australia,Brisbane
inbound_10,inbound_10__H09,inbound_10,H09,235062777,brisbone_australia_1__C10,Brisbane,Australia,Brisbane
inbound_10,inbound_10__H10,inbound_10,H10,235038554,brisbone_australia_1__D10,Brisbane,Australia,Brisbane
inbound_10,inbound_10__H11,inbound_10,H11,235062629,brisbone_australia_1__B10,Brisbane,Australia,Brisbane
inbound_10,inbound_10__H12,inbound_10,H12,235038516,brisbone_australia_1__A08,Brisbane,Australia,Brisbane
control,negative_controls_inbound__C01,negative_controls_inbound,C01,235030337,\N,\N,\N,Denver
inbound_5,inbound_5__A02,inbound_5,A02,235040354,denver_colorado__1_real_2__A02,Denver,USA,Denver
inbound_5,inbound_5__A04,inbound_5,A04,235042329,denver_colorado__1_real_2__A04,Denver,USA,Denver
inbound_5,inbound_5__A05,inbound_5,A05,235041579,denver_colorado__1_real_2__A05,Denver,USA,Denver
inbound_5,inbound_5__B01,inbound_5,B01,235041586,denver_colorado__1_real_2__B01,Denver,USA,Denver
inbound_5,inbound_5__B02,inbound_5,B02,235041294,denver_colorado__1_real_2__B02,Denver,USA,Denver
inbound_5,inbound_5__B03,inbound_5,B03,235040382,denver_colorado__1_real_2__B03,Denver,USA,Denver
inbound_5,inbound_5__B03,inbound_5,B03,235040382,denver_colorado__1_real_2__B03,Denver,USA,Denver
inbound_5,inbound_5__B05,inbound_5,B05,235041455,denver_colorado__1_real_2__B05,Denver,USA,Denver
inbound_5,inbound_5__C01,inbound_5,C01,235040335,denver_colorado__1_real_2__C01,Denver,USA,Denver
inbound_5,inbound_5__C02,inbound_5,C02,235041349,denver_colorado__1_real_2__C02,Denver,USA,Denver
inbound_5,inbound_5__C03,inbound_5,C03,235041599,denver_colorado__1_real_2__C03,Denver,USA,Denver
inbound_5,inbound_5__D01,inbound_5,D01,235040500,denver_colorado__1_real_2__D01,Denver,USA,Denver
inbound_5,inbound_5__D03,inbound_5,D03,235040337,denver_colorado__1_real_2__D03,Denver,USA,Denver
inbound_5,inbound_5__D05,inbound_5,D05,235041392,denver_colorado__1_real_2__D05,Denver,USA,Denver
inbound_5,inbound_5__D06,inbound_5,D06,235042354,denver_colorado__1_real_2__D06,Denver,USA,Denver
inbound_5,inbound_5__E01,inbound_5,E01,235040391,denver_colorado__1_real_2__E01,Denver,USA,Denver
inbound_5,inbound_5__E03,inbound_5,E03,235041725,denver_colorado__1_real_2__E03,Denver,USA,Denver
inbound_5,inbound_5__E05,inbound_5,E05,235040348,denver_colorado__1_real_2__E05,Denver,USA,Denver
inbound_5,inbound_5__E08,inbound_5,E08,235041582,denver_colorado__1_real_2__E08,Denver,USA,Denver
inbound_5,inbound_5__F01,inbound_5,F01,235040398,denver_colorado__1_real_2__F01,Denver,USA,Denver
inbound_5,inbound_5__F02,inbound_5,F02,235041245,denver_colorado__1_real_2__F02,Denver,USA,Denver
inbound_5,inbound_5__F03,inbound_5,F03,235041401,denver_colorado__1_real_2__F03,Denver,USA,Denver
inbound_5,inbound_5__G01,inbound_5,G01,235042357,denver_colorado__1_real_2__G01,Denver,USA,Denver
inbound_5,inbound_5__G02,inbound_5,G02,235041396,denver_colorado__1_real_2__G02,Denver,USA,Denver
inbound_5,inbound_5__G03,inbound_5,G03,235041277,denver_colorado__1_real_2__G03,Denver,USA,Denver
inbound_5,inbound_5__G05,inbound_5,G05,235040404,denver_colorado__1_real_2__G05,Denver,USA,Denver
inbound_5,inbound_5__H01,inbound_5,H01,235041327,denver_colorado__1_real_2__H01,Denver,USA,Denver
inbound_5,inbound_5__H02,inbound_5,H02,235040333,denver_colorado__1_real_2__H02,Denver,USA,Denver
inbound_5,inbound_5__H03,inbound_5,H03,235040353,denver_colorado__1_real_2__H03,Denver,USA,Denver
inbound_5,inbound_5__H04,inbound_5,H04,235040400,denver_colorado__1_real_2__H04,Denver,USA,Denver
control,negative_controls_inbound__A05,negative_controls_inbound,A05,235030399,\N,\N,\N,Fukuoka
control,negative_controls_inbound__B05,negative_controls_inbound,B05,235030410,\N,\N,\N,Fukuoka
control,negative_controls_inbound__H04,negative_controls_inbound,H04,235030392,\N,\N,\N,Fukuoka
inbound_14,inbound_14__A05,inbound_14,A05,235042429,fukuoka_japan_1_real_1__D03,Fukuoka,Japan,Fukuoka
inbound_14,inbound_14__A07,inbound_14,A07,235042651,fukuoka_japan_1_real_1__D05,Fukuoka,Japan,Fukuoka
inbound_14,inbound_14__A08,inbound_14,A08,235042672,fukuoka_japan_1_real_1__G01,Fukuoka,Japan,Fukuoka
inbound_14,inbound_14__A09,inbound_14,A09,235042665,fukuoka_japan_1_real_1__H06,Fukuoka,Japan,Fukuoka
inbound_14,inbound_14__A10,inbound_14,A10,235042686,fukuoka_japan_1_real_1__E05,Fukuoka,Japan,Fukuoka
inbound_14,inbound_14__A12,inbound_14,A12,235029041,fukuoka_japan_1_real_1__A04,Fukuoka,Japan,Fukuoka
inbound_14,inbound_14__B05,inbound_14,B05,235042437,fukuoka_japan_1_real_1__B04,Fukuoka,Japan,Fukuoka
inbound_14,inbound_14__B06,inbound_14,B06,235042455,fukuoka_japan_1_real_1__A05,Fukuoka,Japan,Fukuoka
inbound_14,inbound_14__B07,inbound_14,B07,235042652,fukuoka_japan_1_real_1__F06,Fukuoka,Japan,Fukuoka
inbound_14,inbound_14__B08,inbound_14,B08,235042654,fukuoka_japan_1_real_1__F04,Fukuoka,Japan,Fukuoka
inbound_14,inbound_14__B09,inbound_14,B09,235042669,fukuoka_japan_1_real_1__D07,Fukuoka,Japan,Fukuoka
inbound_14,inbound_14__B12,inbound_14,B12,235042423,fukuoka_japan_1_real_1__A03,Fukuoka,Japan,Fukuoka
inbound_14,inbound_14__C05,inbound_14,C05,235042430,fukuoka_japan_1_real_1__B06,Fukuoka,Japan,Fukuoka
inbound_14,inbound_14__C06,inbound_14,C06,235042653,fukuoka_japan_1_real_1__D02,Fukuoka,Japan,Fukuoka
inbound_14,inbound_14__C07,inbound_14,C07,235042663,fukuoka_japan_1_real_1__F01,Fukuoka,Japan,Fukuoka
inbound_14,inbound_14__C08,inbound_14,C08,235042656,fukuoka_japan_1_real_1__F07,Fukuoka,Japan,Fukuoka
inbound_14,inbound_14__C09,inbound_14,C09,235042707,fukuoka_japan_1_real_1__H07,Fukuoka,Japan,Fukuoka
inbound_14,inbound_14__C12,inbound_14,C12,235042439,fukuoka_japan_1_real_1__C04,Fukuoka,Japan,Fukuoka
inbound_14,inbound_14__D05,inbound_14,D05,235033502,fukuoka_japan_1_real_1__A01,Fukuoka,Japan,Fukuoka
inbound_14,inbound_14__D06,inbound_14,D06,235042462,fukuoka_japan_1_real_1__C07,Fukuoka,Japan,Fukuoka
inbound_14,inbound_14__D07,inbound_14,D07,235042639,fukuoka_japan_1_real_1__G04,Fukuoka,Japan,Fukuoka
inbound_14,inbound_14__D08,inbound_14,D08,235042676,fukuoka_japan_1_real_1__H02,Fukuoka,Japan,Fukuoka
inbound_14,inbound_14__D09,inbound_14,D09,235042691,fukuoka_japan_1_real_1__E02,Fukuoka,Japan,Fukuoka
inbound_14,inbound_14__E05,inbound_14,E05,235042425,fukuoka_japan_1_real_1__C03,Fukuoka,Japan,Fukuoka
inbound_14,inbound_14__E06,inbound_14,E06,235042659,fukuoka_japan_1_real_1__D04,Fukuoka,Japan,Fukuoka
inbound_14,inbound_14__E07,inbound_14,E07,235042486,fukuoka_japan_1_real_1__A02,Fukuoka,Japan,Fukuoka
inbound_14,inbound_14__E08,inbound_14,E08,235042668,fukuoka_japan_1_real_1__D06,Fukuoka,Japan,Fukuoka
inbound_14,inbound_14__E09,inbound_14,E09,235042689,fukuoka_japan_1_real_1__H01,Fukuoka,Japan,Fukuoka
inbound_14,inbound_14__F05,inbound_14,F05,235042453,fukuoka_japan_1_real_1__C06,Fukuoka,Japan,Fukuoka
inbound_14,inbound_14__F06,inbound_14,F06,235042682,fukuoka_japan_1_real_1__F02,Fukuoka,Japan,Fukuoka
inbound_14,inbound_14__F07,inbound_14,F07,235042482,fukuoka_japan_1_real_1__C05,Fukuoka,Japan,Fukuoka
inbound_14,inbound_14__F08,inbound_14,F08,235042680,fukuoka_japan_1_real_1__G06,Fukuoka,Japan,Fukuoka
inbound_14,inbound_14__F09,inbound_14,F09,235042685,fukuoka_japan_1_real_1__G03,Fukuoka,Japan,Fukuoka
inbound_14,inbound_14__G05,inbound_14,G05,235042427,fukuoka_japan_1_real_1__A08,Fukuoka,Japan,Fukuoka
inbound_14,inbound_14__G06,inbound_14,G06,235042448,fukuoka_japan_1_real_1__C01,Fukuoka,Japan,Fukuoka
inbound_14,inbound_14__G07,inbound_14,G07,235042480,fukuoka_japan_1_real_1__A06,Fukuoka,Japan,Fukuoka
inbound_14,inbound_14__G08,inbound_14,G08,235042671,fukuoka_japan_1_real_1__H03,Fukuoka,Japan,Fukuoka
inbound_14,inbound_14__G09,inbound_14,G09,235042708,fukuoka_japan_1_real_1__G05,Fukuoka,Japan,Fukuoka
inbound_14,inbound_14__G10,inbound_14,G10,235042684,fukuoka_japan_1_real_1__D08,Fukuoka,Japan,Fukuoka
inbound_14,inbound_14__H05,inbound_14,H05,235042491,fukuoka_japan_1_real_1__B05,Fukuoka,Japan,Fukuoka
inbound_14,inbound_14__H06,inbound_14,H06,235042447,fukuoka_japan_1_real_1__C08,Fukuoka,Japan,Fukuoka
inbound_14,inbound_14__H07,inbound_14,H07,235042488,fukuoka_japan_1_real_1__B02,Fukuoka,Japan,Fukuoka
inbound_14,inbound_14__H08,inbound_14,H08,235042679,fukuoka_japan_1_real_1__F03,Fukuoka,Japan,Fukuoka
inbound_14,inbound_14__H09,inbound_14,H09,235042687,fukuoka_japan_1_real_1__E03,Fukuoka,Japan,Fukuoka
inbound_14,inbound_14__H10,inbound_14,H10,235042703,fukuoka_japan_1_real_1__E01,Fukuoka,Japan,Fukuoka
inbound_20,inbound_20___hawaii_and_singapore__A09,inbound_20___hawaii_and_singapore,A09,235162075,antarctica__A04,Antarctica,USA,Honolulu
inbound_20,inbound_20___hawaii_and_singapore__A10,inbound_20___hawaii_and_singapore,A10,235161960,antarctica__A03,Antarctica,USA,Honolulu
inbound_20,inbound_20___hawaii_and_singapore__A11,inbound_20___hawaii_and_singapore,A11,235163301,antarctica__G02,Antarctica,USA,Honolulu
inbound_20,inbound_20___hawaii_and_singapore__B09,inbound_20___hawaii_and_singapore,B09,235161851,antarctica__B04,Antarctica,USA,Honolulu
inbound_20,inbound_20___hawaii_and_singapore__B10,inbound_20___hawaii_and_singapore,B10,235162061,antarctica__B03,Antarctica,USA,Honolulu
inbound_20,inbound_20___hawaii_and_singapore__B11,inbound_20___hawaii_and_singapore,B11,235162577,antarctica__H02,Antarctica,USA,Honolulu
inbound_20,inbound_20___hawaii_and_singapore__C09,inbound_20___hawaii_and_singapore,C09,235183803,antarctica__C04,Antarctica,USA,Honolulu
inbound_20,inbound_20___hawaii_and_singapore__C10,inbound_20___hawaii_and_singapore,C10,235161882,antarctica__C03,Antarctica,USA,Honolulu
inbound_20,inbound_20___hawaii_and_singapore__C11,inbound_20___hawaii_and_singapore,C11,235162077,antarctica__F02,Antarctica,USA,Honolulu
inbound_20,inbound_20___hawaii_and_singapore__D09,inbound_20___hawaii_and_singapore,D09,235162788,antarctica__D04,Antarctica,USA,Honolulu
inbound_20,inbound_20___hawaii_and_singapore__D10,inbound_20___hawaii_and_singapore,D10,235163992,antarctica__D03,Antarctica,USA,Honolulu
inbound_20,inbound_20___hawaii_and_singapore__D11,inbound_20___hawaii_and_singapore,D11,235161876,antarctica__E02,Antarctica,USA,Honolulu
inbound_20,inbound_20___hawaii_and_singapore__E09,inbound_20___hawaii_and_singapore,E09,235162245,antarctica__E04,Antarctica,USA,Honolulu
inbound_20,inbound_20___hawaii_and_singapore__E10,inbound_20___hawaii_and_singapore,E10,235163936,antarctica__F03,Antarctica,USA,Honolulu
inbound_20,inbound_20___hawaii_and_singapore__E11,inbound_20___hawaii_and_singapore,E11,235163965,antarctica__C02,Antarctica,USA,Honolulu
inbound_20,inbound_20___hawaii_and_singapore__E12,inbound_20___hawaii_and_singapore,E12,235162528,antarctica__D01,Antarctica,USA,Honolulu
inbound_20,inbound_20___hawaii_and_singapore__F09,inbound_20___hawaii_and_singapore,F09,235162578,antarctica__F04,Antarctica,USA,Honolulu
inbound_20,inbound_20___hawaii_and_singapore__F10,inbound_20___hawaii_and_singapore,F10,235163311,antarctica__E03,Antarctica,USA,Honolulu
inbound_20,inbound_20___hawaii_and_singapore__F11,inbound_20___hawaii_and_singapore,F11,235184800,antarctica__D02,Antarctica,USA,Honolulu
inbound_20,inbound_20___hawaii_and_singapore__F12,inbound_20___hawaii_and_singapore,F12,235162515,antarctica__C01,Antarctica,USA,Honolulu
inbound_20,inbound_20___hawaii_and_singapore__G09,inbound_20___hawaii_and_singapore,G09,235161859,antarctica__G04,Antarctica,USA,Honolulu
inbound_20,inbound_20___hawaii_and_singapore__G10,inbound_20___hawaii_and_singapore,G10,235163955,antarctica__G03,Antarctica,USA,Honolulu
inbound_20,inbound_20___hawaii_and_singapore__G11,inbound_20___hawaii_and_singapore,G11,235161896,antarctica__B02,Antarctica,USA,Honolulu
inbound_20,inbound_20___hawaii_and_singapore__G12,inbound_20___hawaii_and_singapore,G12,235162046,antarctica__B01,Antarctica,USA,Honolulu
inbound_20,inbound_20___hawaii_and_singapore__H09,inbound_20___hawaii_and_singapore,H09,235164282,antarctica__H04,Antarctica,USA,Honolulu
inbound_20,inbound_20___hawaii_and_singapore__H10,inbound_20___hawaii_and_singapore,H10,235162587,antarctica__H03,Antarctica,USA,Honolulu
inbound_20,inbound_20___hawaii_and_singapore__H11,inbound_20___hawaii_and_singapore,H11,235162108,antarctica__A02,Antarctica,USA,Honolulu
inbound_17,inbound_17__G03,inbound_17,G03,235074149,bogota_columbia_1__F03,Bogota,Colombia,Kyiv
control,negative_controls_inbound__F02,negative_controls_inbound,F02,235030393,\N,\N,\N,Minneapolis
control,negative_controls_inbound__G02,negative_controls_inbound,G02,235030417,\N,\N,\N,Minneapolis
control,negative_controls_inbound__H02,negative_controls_inbound,H02,235030411,\N,\N,\N,Minneapolis
inbound_2,inbound_2__A07,inbound_2,A07,232022637,minneapolis_mn__1__G01,Minneapolis,USA,Minneapolis
inbound_2,inbound_2__A08,inbound_2,A08,232022668,minneapolis_mn__1__G02,Minneapolis,USA,Minneapolis
inbound_2,inbound_2__A09,inbound_2,A09,232021924,minneapolis_mn__1__G03,Minneapolis,USA,Minneapolis
inbound_2,inbound_2__A10,inbound_2,A10,232032860,minneapolis_mn__1__G04,Minneapolis,USA,Minneapolis
inbound_2,inbound_2__A11,inbound_2,A11,232023245,minneapolis_mn__1__G05,Minneapolis,USA,Minneapolis
inbound_2,inbound_2__A12,inbound_2,A12,232032806,minneapolis_mn__1__G06,Minneapolis,USA,Minneapolis
inbound_2,inbound_2__B07,inbound_2,B07,232023064,minneapolis_mn__1__H01,Minneapolis,USA,Minneapolis
inbound_2,inbound_2__B08,inbound_2,B08,232022692,minneapolis_mn__1__H02,Minneapolis,USA,Minneapolis
inbound_2,inbound_2__B09,inbound_2,B09,232032801,minneapolis_mn__1__H03,Minneapolis,USA,Minneapolis
inbound_2,inbound_2__B10,inbound_2,B10,232022600,minneapolis_mn__1__H04,Minneapolis,USA,Minneapolis
inbound_2,inbound_2__B11,inbound_2,B11,232023622,minneapolis_mn__1__H05,Minneapolis,USA,Minneapolis
inbound_2,inbound_2__B12,inbound_2,B12,232022618,minneapolis_mn__1__H06,Minneapolis,USA,Minneapolis
inbound_2,inbound_2__C07,inbound_2,C07,232023074,minneapolis_mn__1__A02,Minneapolis,USA,Minneapolis
inbound_2,inbound_2__C08,inbound_2,C08,232022607,minneapolis_mn__1__A03,Minneapolis,USA,Minneapolis
inbound_2,inbound_2__C09,inbound_2,C09,232022658,minneapolis_mn__1__A04,Minneapolis,USA,Minneapolis
inbound_2,inbound_2__C10,inbound_2,C10,232023066,minneapolis_mn__1__A05,Minneapolis,USA,Minneapolis
inbound_2,inbound_2__C11,inbound_2,C11,232023003,minneapolis_mn__1__A06,Minneapolis,USA,Minneapolis
inbound_2,inbound_2__C12,inbound_2,C12,232023608,minneapolis_mn__1__A07,Minneapolis,USA,Minneapolis
inbound_2,inbound_2__D07,inbound_2,D07,232023004,minneapolis_mn__1__B02,Minneapolis,USA,Minneapolis
inbound_2,inbound_2__D08,inbound_2,D08,232022673,minneapolis_mn__1__B03,Minneapolis,USA,Minneapolis
inbound_2,inbound_2__D09,inbound_2,D09,232023224,minneapolis_mn__1__B04,Minneapolis,USA,Minneapolis
inbound_2,inbound_2__D10,inbound_2,D10,232032807,minneapolis_mn__1__B05,Minneapolis,USA,Minneapolis
inbound_2,inbound_2__D11,inbound_2,D11,232023204,minneapolis_mn__1__B06,Minneapolis,USA,Minneapolis
inbound_2,inbound_2__D12,inbound_2,D12,232032781,minneapolis_mn__1__B07,Minneapolis,USA,Minneapolis
inbound_2,inbound_2__E06,inbound_2,E06,232022689,minneapolis_mn__1__C01,Minneapolis,USA,Minneapolis
inbound_2,inbound_2__E07,inbound_2,E07,232032852,minneapolis_mn__1__C02,Minneapolis,USA,Minneapolis
inbound_2,inbound_2__E08,inbound_2,E08,232023265,minneapolis_mn__1__C03,Minneapolis,USA,Minneapolis
inbound_2,inbound_2__E09,inbound_2,E09,232032835,minneapolis_mn__1__C04,Minneapolis,USA,Minneapolis
inbound_2,inbound_2__E10,inbound_2,E10,232032798,minneapolis_mn__1__C05,Minneapolis,USA,Minneapolis
inbound_2,inbound_2__E11,inbound_2,E11,232032831,minneapolis_mn__1__C06,Minneapolis,USA,Minneapolis
inbound_2,inbound_2__E12,inbound_2,E12,232023206,minneapolis_mn__1__C07,Minneapolis,USA,Minneapolis
inbound_2,inbound_2__F06,inbound_2,F06,232023063,minneapolis_mn__1__D01,Minneapolis,USA,Minneapolis
inbound_2,inbound_2__F07,inbound_2,F07,232032833,minneapolis_mn__1__D02,Minneapolis,USA,Minneapolis
inbound_2,inbound_2__F08,inbound_2,F08,232032859,minneapolis_mn__1__D03,Minneapolis,USA,Minneapolis
inbound_2,inbound_2__F09,inbound_2,F09,232032793,minneapolis_mn__1__D04,Minneapolis,USA,Minneapolis
inbound_2,inbound_2__F10,inbound_2,F10,232023250,minneapolis_mn__1__D05,Minneapolis,USA,Minneapolis
inbound_2,inbound_2__F11,inbound_2,F11,232023208,minneapolis_mn__1__D06,Minneapolis,USA,Minneapolis
inbound_2,inbound_2__F12,inbound_2,F12,232032829,minneapolis_mn__1__D07,Minneapolis,USA,Minneapolis
inbound_2,inbound_2__G06,inbound_2,G06,232022678,minneapolis_mn__1__E01,Minneapolis,USA,Minneapolis
inbound_2,inbound_2__G07,inbound_2,G07,232032848,minneapolis_mn__1__E02,Minneapolis,USA,Minneapolis
inbound_2,inbound_2__G08,inbound_2,G08,232023240,minneapolis_mn__1__E03,Minneapolis,USA,Minneapolis
inbound_2,inbound_2__G09,inbound_2,G09,232032844,minneapolis_mn__1__E04,Minneapolis,USA,Minneapolis
inbound_2,inbound_2__G10,inbound_2,G10,232023243,minneapolis_mn__1__E05,Minneapolis,USA,Minneapolis
inbound_2,inbound_2__G11,inbound_2,G11,232023196,minneapolis_mn__1__E06,Minneapolis,USA,Minneapolis
inbound_2,inbound_2__H06,inbound_2,H06,232022653,minneapolis_mn__1__F01,Minneapolis,USA,Minneapolis
inbound_2,inbound_2__H07,inbound_2,H07,232022601,minneapolis_mn__1__F02,Minneapolis,USA,Minneapolis
inbound_2,inbound_2__H08,inbound_2,H08,232032820,minneapolis_mn__1__F03,Minneapolis,USA,Minneapolis
inbound_2,inbound_2__H09,inbound_2,H09,232023235,minneapolis_mn__1__F04,Minneapolis,USA,Minneapolis
inbound_2,inbound_2__H10,inbound_2,H10,232023253,minneapolis_mn__1__F05,Minneapolis,USA,Minneapolis
inbound_2,inbound_2__H11,inbound_2,H11,232023255,minneapolis_mn__1__F06,Minneapolis,USA,Minneapolis
inbound_2,inbound_2__A01,inbound_2,A01,232021993,nyc_2__H11,New_York_City,USA,New_York_City
inbound_2,inbound_2__A02,inbound_2,A02,235196553,nyc_2__F11,New_York_City,USA,New_York_City
inbound_2,inbound_2__A03,inbound_2,A03,235033751,nyc_3__C01,New_York_City,USA,New_York_City
inbound_2,inbound_2__A04,inbound_2,A04,235033778,nyc_3__G04,New_York_City,USA,New_York_City
inbound_2,inbound_2__A05,inbound_2,A05,235034076,nyc_3__E03,New_York_City,USA,New_York_City
inbound_2,inbound_2__A06,inbound_2,A06,235034079,nyc_3__E04,New_York_City,USA,New_York_City
inbound_2,inbound_2__B01,inbound_2,B01,235196545,nyc_2__G12,New_York_City,USA,New_York_City
inbound_2,inbound_2__B02,inbound_2,B02,232020833,nyc_2__E11,New_York_City,USA,New_York_City
inbound_2,inbound_2__B03,inbound_2,B03,235033779,nyc_3__D01,New_York_City,USA,New_York_City
inbound_2,inbound_2__B04,inbound_2,B04,235034091,nyc_3__H04,New_York_City,USA,New_York_City
inbound_2,inbound_2__B05,inbound_2,B05,235034080,nyc_3__G02,New_York_City,USA,New_York_City
inbound_2,inbound_2__B06,inbound_2,B06,235034077,nyc_3__F04,New_York_City,USA,New_York_City
inbound_2,inbound_2__C02,inbound_2,C02,232021536,nyc_2__D11,New_York_City,USA,New_York_City
inbound_2,inbound_2__C03,inbound_2,C03,235034081,nyc_3__E01,New_York_City,USA,New_York_City
inbound_2,inbound_2__C04,inbound_2,C04,235033777,nyc_3__A04,New_York_City,USA,New_York_City
