INBOUND-DATASET,INBOUND-DATASET,INBOUND-DATASET,INBOUND-DATASET,INBOUND_OUTBOUND_METADATA,OUTBOUND,OUTBOUND,OUTBOUND,METADATA
inbound_5,inbound_5__C10,inbound_5,C10,235041446,denver_colorado__1_real_2__C10,Denver,USA,\N
inbound_5,inbound_5__D02,inbound_5,D02,235042333,denver_colorado__1_real_2__D02,Denver,USA,\N
inbound_5,inbound_5__D04,inbound_5,D04,235040322,denver_colorado__1_real_2__D04,Denver,USA,\N
inbound_5,inbound_5__D07,inbound_5,D07,235041608,denver_colorado__1_real_2__D07,Denver,USA,\N
inbound_5,inbound_5__D08,inbound_5,D08,235040397,denver_colorado__1_real_2__D08,Denver,USA,\N
inbound_5,inbound_5__D09,inbound_5,D09,235041296,denver_colorado__1_real_2__D09,Denver,USA,\N
inbound_5,inbound_5__E02,inbound_5,E02,235058903,denver_colorado__1_real_2__E02,Denver,USA,\N
inbound_5,inbound_5__E04,inbound_5,E04,235041383,denver_colorado__1_real_2__E04,Denver,USA,\N
inbound_5,inbound_5__E06,inbound_5,E06,235041560,denver_colorado__1_real_2__E06,Denver,USA,\N
inbound_5,inbound_5__E07,inbound_5,E07,235041580,denver_colorado__1_real_2__E07,Denver,USA,\N
inbound_5,inbound_5__E09,inbound_5,E09,235041430,denver_colorado__1_real_2__E09,Denver,USA,\N
inbound_5,inbound_5__E10,inbound_5,E10,235040373,denver_colorado__1_real_2__E10,Denver,USA,\N
inbound_5,inbound_5__F04,inbound_5,F04,235042338,denver_colorado__1_real_2__F04,Denver,USA,\N
inbound_5,inbound_5__F05,inbound_5,F05,235041323,denver_colorado__1_real_2__F05,Denver,USA,\N
inbound_5,inbound_5__F06,inbound_5,F06,235041447,denver_colorado__1_real_2__F06,Denver,USA,\N
inbound_5,inbound_5__F07,inbound_5,F07,235041312,denver_colorado__1_real_2__F07,Denver,USA,\N
inbound_5,inbound_5__F08,inbound_5,F08,235041405,denver_colorado__1_real_2__F08,Denver,USA,\N
inbound_5,inbound_5__F09,inbound_5,F09,235040395,denver_colorado__1_real_2__F09,Denver,USA,\N
inbound_5,inbound_5__F10,inbound_5,F10,235041286,denver_colorado__1_real_2__F10,Denver,USA,\N
inbound_5,inbound_5__G04,inbound_5,G04,235042342,denver_colorado__1_real_2__G04,Denver,USA,\N
inbound_5,inbound_5__G06,inbound_5,G06,235042334,denver_colorado__1_real_2__G06,Denver,USA,\N
inbound_5,inbound_5__G07,inbound_5,G07,235042335,denver_colorado__1_real_2__G07,Denver,USA,\N
inbound_5,inbound_5__G08,inbound_5,G08,235040429,denver_colorado__1_real_2__G08,Denver,USA,\N
inbound_5,inbound_5__G09,inbound_5,G09,235041290,denver_colorado__1_real_2__G09,Denver,USA,\N
inbound_5,inbound_5__H05,inbound_5,H05,235041309,denver_colorado__1_real_2__H05,Denver,USA,\N
inbound_5,inbound_5__H06,inbound_5,H06,235041378,denver_colorado__1_real_2__H06,Denver,USA,\N
inbound_5,inbound_5__H07,inbound_5,H07,235042363,denver_colorado__1_real_2__H07,Denver,USA,\N
inbound_5,inbound_5__H08,inbound_5,H08,235042340,denver_colorado__1_real_2__H08,Denver,USA,\N
inbound_5,inbound_5__H09,inbound_5,H09,235040396,denver_colorado__1_real_2__H09,Denver,USA,\N
inbound_14,inbound_14__A11,inbound_14,A11,235042426,fukuoka_japan_1_real_1__B03,Fukuoka,Japan,\N
inbound_14,inbound_14__B10,inbound_14,B10,235042479,fukuoka_japan_1_real_1__C02,Fukuoka,Japan,\N
inbound_14,inbound_14__B11,inbound_14,B11,235042487,fukuoka_japan_1_real_1__B07,Fukuoka,Japan,\N
inbound_14,inbound_14__C10,inbound_14,C10,235042452,fukuoka_japan_1_real_1__B01,Fukuoka,Japan,\N
inbound_14,inbound_14__C11,inbound_14,C11,235042705,fukuoka_japan_1_real_1__E07,Fukuoka,Japan,\N
inbound_14,inbound_14__D10,inbound_14,D10,235030686,fukuoka_japan_1_real_1__H05,Fukuoka,Japan,\N
inbound_14,inbound_14__D11,inbound_14,D11,235042688,fukuoka_japan_1_real_1__H04,Fukuoka,Japan,\N
inbound_14,inbound_14__E10,inbound_14,E10,235042681,fukuoka_japan_1_real_1__E06,Fukuoka,Japan,\N
inbound_14,inbound_14__E11,inbound_14,E11,235042702,fukuoka_japan_1_real_1__G07,Fukuoka,Japan,\N
inbound_14,inbound_14__F10,inbound_14,F10,235042664,fukuoka_japan_1_real_1__F05,Fukuoka,Japan,\N
inbound_14,inbound_14__F11,inbound_14,F11,235042694,fukuoka_japan_1_real_1__E04,Fukuoka,Japan,\N
inbound_14,inbound_14__G11,inbound_14,G11,235042472,fukuoka_japan_1_real_1__B08,Fukuoka,Japan,\N
inbound_14,inbound_14__H11,inbound_14,H11,235042667,fukuoka_japan_1_real_1__G02,Fukuoka,Japan,\N
Inhouse_neg,in_house_negative_controls_and_1_positive_control___inbound__H01,in_house_negative_controls_and_1_positive_control___inbound,H01,232022683,minneapolis_mn__1__A01,Minneapolis,USA,\N
Inhouse_neg,in_house_negative_controls_and_1_positive_control___inbound__B02,in_house_negative_controls_and_1_positive_control___inbound,B02,235196528,nyc_14__E04,New_York_City,USA,\N
Inhouse_neg,in_house_negative_controls_and_1_positive_control___inbound__C02,in_house_negative_controls_and_1_positive_control___inbound,C02,232021956,nyc_14__C12,New_York_City,USA,\N
Inhouse_neg,in_house_negative_controls_and_1_positive_control___inbound__D02,in_house_negative_controls_and_1_positive_control___inbound,D02,232021998,nyc_14__C11,New_York_City,USA,\N
Inhouse_neg,in_house_negative_controls_and_1_positive_control___inbound__G01,in_house_negative_controls_and_1_positive_control___inbound,G01,235196487,nyc_14__G02,New_York_City,USA,\N
inbound_2,inbound_2__C01,inbound_2,C01,235196564,nyc_2__F12,New_York_City,USA,\N
inbound_2,inbound_2__H04,inbound_2,H04,235034089,nyc_3__A02,New_York_City,USA,\N
