baltimore,235185325,other,seat,urban,above_ground_open,few,39.28572,-76.619349,,station17_lr_convctr,light rail
baltimore,235163321,other,seat,urban,above_ground_open,light,39.282432,-76.619478,,station16_lr_balt_camden,light rail
baltimore,235163319,metal_plastic,ticket_machine,urban,above_ground_open,i was alone so all alone,39.278977,-76.619821,,station16_lr_balt_camden,hamburg light rail
baltimore,235161959,metal_plastic,ticket_machine,urban,above_ground_open,light,39.282465,-76.619435,,station16_lr_balt_camden,light rail
baltimore,235161898,metal_plastic,ticket_machine,urban,above_ground_open,few people,39.331179,-76.643425,,station22_lr_umbroyal,woodberry light rail
baltimore,235163303,metal_plastic,sensor,urban,above_ground_open,few people,39.285754,-76.619392,,station17_lr_convctr,light rail
baltimore,235164010,metal_plastic,ticket_machine,urban,above_ground_open,high,39.288776,-76.619392,,station18_lr_umbalt,light rail
baltimore,235163351,other,seat,urban,above_ground_open,high,39.288743,-76.619435,,station18_lr_umbalt,light rail
baltimore,235162585,metal_plastic,ticket_machine,urban,above_ground_open,moderate,39.291898,-76.619478,,station19_lr_lex,light rail
baltimore,235162535,other,seat,urban,above_ground_open,high,39.291865,-76.619606,,station19_lr_lex,light rail
baltimore,235163970,other,seat,urban,above_ground_open,moderate,39.303721,-76.620422,,station21_lr_cultctr,light rail
baltimore,235162058,metal_plastic,ticket_machine,urban,above_ground_open,moderate,39.296781,-76.61995,,station20_lr_centrest,light rail
baltimore,235164003,metal_plastic,vert_pole,urban,above_ground_open,high traffic,39.296814,-76.619907,,station20_lr_centrest,light rail
baltimore,235161838,metal_plastic,ticket_machine,urban,above_ground_open,few people,39.303721,-76.620336,,station21_lr_cultctr,light rail
baltimore,235162081,other,seat,urban,above_ground_open,few people,39.331179,-76.643296,,station22_lr_umbroyal,woodberry light rail
baltimore,235163704,metal_plastic,ticket_machine,urban,above_ground_open,few people,39.307373,-76.61988,,station22_lr_umbroyal,light rail
baltimore,235161936,other,seat,urban,above_ground_open,,39.307407,-76.619778,,station22_lr_umbroyal,light rail
baltimore,235164013,other,seat,urban,above_ground_open,high,39.27896,-76.619902,,station16_lr_balt_camden,light rail (hamburg)
baltimore,235162539,metal_plastic,sensor,urban,above_ground_open,,39.407419,-76.779852,,station1_balt_owingsmills,subway
baltimore,235163724,metal,handrail,urban,above_ground_open,,39.407353,-76.779895,,station1_balt_owingsmills,subway
baltimore,235161863,metal_plastic,ticket_machine,urban,above_ground_open,,39.407386,-76.779938,,station1_balt_owingsmills,subway
baltimore,235161934,metal_plastic,ticket_machine,urban,under_ground,low,39.289539,-76.613904,,station13_balt_charles,subway
baltimore,235161865,metal_plastic,ticket_machine,urban,under_ground,low,39.289539,-76.613969,,station13_balt_charles,subway
baltimore,235162520,metal_plastic,sensor,urban,under_ground,light,39.289539,-76.613926,,station13_balt_charles,subway
baltimore,235161908,plastic,seat,urban,under_ground,moderate/high,39.298573,-76.594614,,station11_batl_jh,subway
baltimore,235162563,other,handrail,urban,under_ground,moderate/high,39.29854,-76.594614,,station11_batl_jh,subway
baltimore,235162555,metal_plastic,ticket_machine,urban,under_ground,moderate/high,39.298573,-76.594614,,station11_batl_jh,subway
baltimore,235161932,metal_plastic,sensor,urban,under_ground,moderate/high,39.29854,-76.594635,,station11_batl_jh,subway
baltimore,235161897,plastic,seat,urban,under_ground,moderate,39.289473,-76.606502,,station12_balt_shottower,subway
baltimore,235162064,metal_plastic,sensor,urban,under_ground,low,39.289456,-76.60648,,station12_balt_shottower,subway
baltimore,235162048,other,handrail,urban,under_ground,low,39.289456,-76.60648,,station12_balt_shottower,subway
baltimore,235183938,metal_plastic,ticket_machine,urban,under_ground,low,39.289473,-76.606502,,station12_balt_shottower,subway
baltimore,235161878,plastic,seat,urban,under_ground,moderate/high,39.289474,-76.61392,,station13_balt_charles,subway
