Sample_ID,Date_Collected,Sample_Collector_Name,Country,State,City,Subway/Bus/Station,Description,Latitude,Longitude,Object_Swabbed,Surface_Material,Temperature_C,,,,
CSD2016-TOK-035,7/9/16,Mayuko_Nakagawa,Japan,N/A,tokyo,school,Tokyo Tech,35.60114535,139.6846081,Negative control air,Air,24,,,,
CSD2016-TOK-036,7/9/16,Mayuko_Nakagawa,Japan,N/A,tokyo,school,Tokyo Tech ,35.60114535,139.6846081,Negative control air,Air,24,,,,
CSD2016-TOK-037,7/9/16,Mayuko_Nakagawa,Japan,N/A,tokyo,school,Tokyo tech ,35.60086184,139.6849179,Negative control air,Air,26,,,,
CSD2016-TOK-038,7/9/16,Nancy_Merino,Japan,N/A,tokyo,school,Tokyo tech ,35.60086184,139.6849179,ELSI-2 meeting room chair ,Vinyl,25.2,,,,
CSD2016-TOK-039,7/9/16,Nancy_Merino,Japan,N/A,tokyo,school,Tokyo tech ,35.60086184,139.6849179,ELSI-2 meeting room chair ,Vinyl,25.2,,,,
CSD2016-TOK-040,7/9/16,Nancy_Merino,Japan,N/A,tokyo,school,Tokyo tech ,35.60086184,139.6849179,ELSI-2 meeting room chair ,Vinyl,25.2,,,,
CSD2016-TOK-041,7/9/16,Mayuko_Nakagawa,Japan,N/A,tokyo,school,Tokyo tech ,35.60114535,139.6846081,ELSI-1 meeting room chair ,Other,23.9,,,,
CSD2016-TOK-042,7/9/16,Mayuko_Nakagawa,Japan,N/A,tokyo,school,Tokyo tech ,35.60114535,139.6846081,ELSI-1 meeting room chair ,Other,23.9,,,,
CSD2016-TOK-043,7/9/16,Mayuko_Nakagawa,Japan,N/A,tokyo,school,Tokyo tech ,35.60114535,139.6846081,ELSI-1 meeting room chair,Other,23.9,,,,
CSD2016-TOK-044,7/9/16,Mayuko_Nakagawa,Japan,N/A,tokyo,school,Tokyo tech ,35.60086184,139.6849179,ELSI-2 lounge table,Wood,26,,,,
CSD2016-TOK-045,7/9/16,Mayuko_Nakagawa,Japan,N/A,tokyo,school,Tokyo tech ,35.60086184,139.6849179,ELSI-2 lounge table,Wood,26,,,,
CSD2016-TOK-046,7/9/16,Mayuko_Nakagawa,Japan,N/A,tokyo,school,Tokyo tech ,35.60086184,139.6849179,ELSI-2 lounge table,Wood,26,,,,
CSD2016-TOK-047,7/10/16,Haruo_Suzuki,Japan,N/A,tokyo,school,Tokyo tech ,35.60094471,139.6849179,ELSI-2 lounge floor,Carpet,26,,,,
CSD2016-TOK-048,7/10/16,Haruo_Suzuki,Japan,N/A,tokyo,school,Tokyo tech ,35.60094471,139.6849179,ELSI-2 lounge floor,Carpet,26,,,,
CSD2016-TOK-049,7/10/16,Haruo_Suzuki,Japan,N/A,tokyo,school,Tokyo tech ,35.60094471,139.6849179,ELSI-2 lounge floor,Carpet,26,,,,
CSD2016-TOK-050,7/10/16,Haruo_Suzuki,Japan,N/A,tokyo,school,Tokyo tech ,35.60115407,139.684639,ELSI-1 lounge table,Wood,24,,,,
CSD2016-TOK-051,7/10/16,Haruo_Suzuki,Japan,N/A,tokyo,school,Tokyo tech ,35.60115407,139.684639,ELSI-1 lounge table,Wood,24,,,,
CSD2016-TOK-052,7/10/16,Haruo_Suzuki,Japan,N/A,tokyo,school,Tokyo tech ,35.60115407,139.684639,ELSI-1 lounge table,Wood,24,,,,
CSD2016-TOK-053,7/9/16,Mayuko_Nakagawa,Japan,N/A,tokyo,school,Tokyo tech ,35.60114535,139.6846081,ELSI-1 lounge floor,Wood,24,,,,
CSD2016-TOK-054,7/9/16,Mayuko_Nakagawa,Japan,N/A,tokyo,school,Tokyo tech ,35.60114535,139.6846081,ELSI-1 lounge floor,Wood,24,,,,
CSD2016-TOK-055,7/9/16,Mayuko_Nakagawa,Japan,N/A,tokyo,school,Tokyo tech ,35.60114535,139.6846081,ELSI-1 lounge floor,Wood,24,,,,
