,building_setting,car_location,car_or_station,city,humidity,light_type,line,place_type,subway_station_autofill,subway_station_surface,surface_material,temperature,temperature_type,traffic,weather
Red-52. Wooley park kiosk,urban,,subway_station,washington_dc,,,Red Line,sub_line,Woodley Park,,Metal,,,,sunny
Red 53 Wooley park turnstile,urban,,subway_station,washington_dc,,,Red Line,sub_line,Woodley Park,,Plastic,,,,sunny
Red-54 train after woodley park,urban,middle,subway_car,washington_dc,,,Red Line,sub_line,Woodley Park,,Metal,,,,sunny
Red-55 van ness station,,,subway_station,washington_dc,,,Red Line,sub_line,Van Ness-UDC,,Plastic,,,,
Red -56. Van ness -2 ticket machine,urban,,subway_station,washington_dc,,,Red Line,sub_line,Van Ness-UDC,,Plastic,,,,
Red 57 van ness turnstile,urban,,subway_station,washington_dc,,,Red Line,sub_line,Van Ness-UDC,,Plastic,,,,
Red-58 train after van ness,urban,first,subway_car,washington_dc,,,Red Line,sub_line,,,Metal,,,,sunny
Red-59 friendship heights #1,urban,,subway_station,washington_dc,,,Red Line,sub_line,Friendship Heights,,Plastic,,,,sunny
Red 60 friendship heights -2,urban,,subway_station,washington_dc,,,Red Line,sub_line,Friendship Heights,,Metal,,,,sunny
Red-61 friendship heights -3,urban,,subway_station,washington_dc,,,Red Line,sub_line,Friendship Heights,,Metal,,,,sunny
Red-62 train after friendship heights,urban,last,subway_car,washington_dc,,,Red Line,sub_line,,,Metal,,Celsius,,
Red-64 medical center -1,urban,,subway_station,washington_dc,,,Red Line,sub_line,Medical Center (NIH),,Plastic,,,,sunny
Red-63 carpet on he train,urban,,subway_station,washington_dc,,,Red Line,sub_line,Medical Center (NIH),,Carpet,,,,sunny
Red 64 medical center -1 escalator,urban,,,washington_dc,,,Red Line,sub_line,Medical Center (NIH),,Plastic,,Celsius,,
,,,,washington_dc,,,,,,,,,,,
,,,,washington_dc,,,,,,,,,,,
Red -65 medical center -2,urban,,subway_station,washington_dc,,,Red Line,sub_line,Medical Center (NIH),,Metal,,Celsius,,
Red-66 medical center turnstile -3,urban,,subway_station,washington_dc,,,Red Line,sub_line,Medical Center (NIH),,Plastic,,Celsius,,
Red-67 train after medical center,,middle,subway_car,washington_dc,,,Red Line,sub_line,,,Metal,,,,sunny
Red-68 white flint -1,urban,,subway_station,washington_dc,,natural_light,Red Line,sub_line,White Flint,,Metal,,Celsius,,sunny
Red-69 white flint -2,urban,,,washington_dc,,,Red Line,sub_line,White Flint,,Plastic,,,,cloudy
Red-70 white flint -3 escalator,urban,,subway_station,washington_dc,,,Red Line,sub_line,White Flint,,Plastic,,,,cloudy
Red -71 train after white flint,urban,last,subway_car,washington_dc,,,Red Line,sub_line,,,Vinyl,,,,cloudy
Red-72 seat on train before ROckville,suburban,last,subway_car,washington_dc,,,Red Line,sub_line,,,Vinyl,,,,cloudy
Red-73 Rockville -1,suburban,,subway_station,washington_dc,,electric_light,Red Line,sub_line,Rockville,,Plastic,,,,cloudy
Red-74 Red Rockville -2 turnstile,suburban,,subway_station,washington_dc,,electric_light,Red Line,sub_line,Rockville,,Plastic,,,,cloudy
Red-75 Rockville -3 escalator railing,suburban,,subway_station,washington_dc,,natural_light,Red Line,sub_line,Rockville,,Plastic,,,,cloudy
Red-77 Shady Grove -1,suburban,,subway_station,washington_dc,,,Red Line,sub_line,Shady Grove ,,,,,,cloudy
Red-76 train after Rockville station,suburban,middle,subway_car,washington_dc,,electric_light,,sub_line,,,Carpet,,,,cloudy
Red -77 shady grove -1 escalator,urban,,subway_station,washington_dc,,natural_light,Red Line,sub_line,Shady Grove ,,Metal,,,,cloudy
Red-78. Exit turnstile shady grove -2,suburban,,subway_station,washington_dc,,electric_light,Red Line,sub_line,Shady Grove ,,Plastic,,,,cloudy
Red 79 shady grove -3 kiosk,suburban,,subway_station,washington_dc,,electric_light,Red Line,sub_line,Shady Grove ,,Plastic,,,,cloudy
Red-80 Elevator Shady Grove,suburban,,subway_station,washington_dc,,electric_light,Red Line,sub_line,Shady Grove ,,Metal,,,,cloudy
Red-82 Twinbrook Kiosk,suburban,,subway_station,washington_dc,,,Red Line,sub_line,Twinbrook,,Metal,,,,rainy
Red-84 -3 railing statues and escalotor,suburban,,subway_station,washington_dc,,natural_light,Red Line,sub_line,Twinbrook,,Metal,,Celsius,,rainy
Red - 85 train between Twinbrook and grovner,suburban,first,subway_car,washington_dc,,,Red Line,sub_line,,,Metal,,,,rainy
Red 87- Grosvenor,suburban,,subway_station,washington_dc,,natural_light,Red Line,sub_line,Grosvenor-Strathmore,,Plastic,,,,rainy
,,,,washington_dc,,,,,,,,,,,
,,,,washington_dc,,,,,,,,,,,
,,,,washington_dc,,,,,,,,,,,
Red-83 Twinbrook #2,suburban,,subway_station,washington_dc,,electric_light,Red Line,sub_line,Twinbrook,,Plastic,,,,rainy
Red-86 Grosvenor #1 Ticket,urban,,subway_station,washington_dc,,natural_light,Red Line,sub_line,Grosvenor-Strathmore,,Metal,,,,rainy
,,,,washington_dc,,,,,,,,,,,
Red 81 Car 1241 Middle Car,suburban,,subway_car,washington_dc,,,Red Line,sub_line,,,Metal,,,,rainy
Red -88 Grosvenor -3  escalator railing,suburban,,subway_station,washington_dc,,,Red Line,sub_line,Grosvenor-Strathmore,,Plastic,,,,rainy
,,,,washington_dc,,,,,,,,,,,
,,,,washington_dc,,,,,,,,,,,
151,urban,,subway_station,denver,46,natural_light,,sub_line,Union Station,,Metal,81.1,Farenheit,4,sunny
Test,exurban,,subway_station,denver,54,electric_light,,school,Union Station,,,71,Farenheit,2,cloudy
Test_2,exurban,,,denver,54,,,school,,,,71,Farenheit,2,cloudy
Test 2,exurban,,,denver,54,electric_light,,school,,,,71,Farenheit,,cloudy
,,,,denver,,,,,,,,,,,
31,urban,,subway_station,denver,46,,,sub_line,Union Station,,Metal,81.1,Farenheit,5,sunny
152,urban,,subway_station,denver,46,,,sub_line,Union Station,,Metal,81.1,Farenheit,6,sunny
32,urban,,subway_station,denver,46,,,sub_line,Union Station,,Metal,81.1,Farenheit,10,sunny
153,urban,,subway_station,denver,46,,,sub_line,Union Station,,Plastic,81.1,Farenheit,,sunny
33,urban,last,subway_car,denver,35,,,sub_line,Union Station,,Leather,76,Farenheit,30,sunny
154,urban,last,subway_car,denver,35,,,sub_line,,,Metal,76,Farenheit,33,sunny
34,urban,,subway_station,denver,46,,,sub_line,40th and Colorado Station,,Metal,81.1,Farenheit,2,sunny
155,suburban,,subway_station,denver,46,,,sub_line,40th and Colorado Station,,Metal,81,Farenheit,6,sunny
35,urban,,subway_station,denver,46,,,sub_line,40th and Colorado Station,,Metal,81.1,Farenheit,2,sunny
156,suburban,,subway_station,denver,46,,,sub_line,40th and Colorado Station,,Metal,81,Farenheit,6,sunny
36,urban,,subway_station,denver,46,,,sub_line,40th and Colorado Station,,Glass,81.1,Farenheit,2,sunny
37,urban,,subway_station,denver,46,,,sub_line,40th and Colorado Station,,Vinyl,81.1,Farenheit,2,sunny
157,suburban,,subway_station,denver,46,natural_light,,sub_line,40th and Colorado Station,,Vinyl,81,Farenheit,1,sunny
38,urban,last,subway_car,denver,35,,,sub_line,40th and Colorado Station,,Leather,77,Farenheit,15,sunny
39,urban,last,subway_car,denver,35,,,sub_line,Peoria Station,,Leather,77,Farenheit,18,sunny
40,urban,last,subway_car,denver,35,,,sub_line,40th Ave & Airport Blvd Gateway Station,,Metal,77,Farenheit,18,sunny
158,suburban,last,subway_car,denver,35,electric_light,,sub_line,61st & Peña Station,,Plastic,77,Farenheit,,sunny
41,suburban,,subway_station,denver,43,,,sub_line,Denver Airport Station,,Metal,79,Farenheit,15,sunny
159,suburban,,subway_station,denver,43,,,sub_line,Denver Airport Station,,Plastic,79,Farenheit,50,sunny
42,suburban,,subway_station,denver,43,,,sub_line,Denver Airport Station,,Plastic,79,Farenheit,30,sunny
43,suburban,,subway_station,denver,39,,,sub_line,Denver Airport Station,,Metal,86.5,Farenheit,15,sunny
44,suburban,first,subway_car,denver,27,,,sub_line,Denver Airport Station,,Plastic,72,Farenheit,6,sunny
46,suburban,first,subway_car,denver,32,,,sub_line,Denver Airport Station,,Plastic,71,Farenheit,10,sunny
160,suburban,first,subway_car,denver,32,,,sub_line,Denver Airport Station,,Metal,71,Farenheit,15,sunny
,,,,denver,,,,,,,,,,,
47,suburban,,subway_station,denver,41,,,sub_line,61st & Peña Station,,Metal,86,Farenheit,0,sunny
161,suburban,,subway_station,denver,38,natural_light,,sub_line,61st & Peña Station,,Metal,86,Farenheit,0,sunny
48,suburban,,subway_station,denver,43,,,sub_line,61st & Peña Station,,Metal,90,Farenheit,0,sunny
49,suburban,first,subway_car,denver,28,,,sub_line,40th Ave & Airport Blvd Gateway Station,,Metal,72,Farenheit,25,sunny
163,suburban,first,,denver,30,,,sub_line,Peoria Station,,Metal,74,Farenheit,26,sunny
164,urban,first,subway_car,denver,30,electric_light,,sub_line,40th and Colorado Station,,Plastic,74,Farenheit,25,sunny
,,,,denver,,,,,,,,,,,
45,urban,first,subway_car,denver,43,,,sub_line,38th and Blake Station,,Leather,72,Farenheit,25,sunny
162,suburban,,subway_station,denver,39,natural_light,,sub_line,61st & Peña Station,,Vinyl,90,Farenheit,,sunny
51,urban,first,subway_car,denver,43,,,sub_line,Peoria Station,,Other,72,Farenheit,25,sunny
52,urban,first,subway_car,denver,43,,,sub_line,40th and Colorado Station,,Glass,72,Farenheit,25,sunny
165,urban,first,subway_car,denver,30,electric_light,,sub_line,Union Station,,Glass,74,Farenheit,25,sunny
53,urban,,subway_station,denver,22,,,sub_line,38th and Blake Station,,Glass,94,Farenheit,0,sunny
166,urban,,subway_station,denver,22,,,sub_line,38th and Blake Station,,Vinyl,94,Farenheit,6,sunny
54,urban,,subway_station,denver,22,,,sub_line,38th and Blake Station,,Metal,94,Farenheit,0,sunny
55,urban,,subway_station,denver,22,,,sub_line,38th and Blake Station,,Metal,94,Farenheit,0,sunny
167,urban,,subway_station,denver,20,natural_light,,sub_line,38th and Blake Station,,Metal,100,Farenheit,4,sunny
56,suburban,,subway_station,denver,,,,sub_line,40th Ave & Airport Blvd Gateway Station,,Metal,,Farenheit,20,sunny
168,suburban,,subway_station,denver,17,natural_light,,sub_line,40th Ave & Airport Blvd Gateway Station,,Metal,108,Farenheit,10,sunny
57,suburban,,subway_station,denver,22,,,sub_line,40th Ave & Airport Blvd Gateway Station,,Metal,100,Farenheit,5,sunny
58,suburban,,subway_station,denver,15,,,sub_line,40th Ave & Airport Blvd Gateway Station,,Metal,105,Farenheit,5,sunny
169,suburban,,subway_station,denver,15,natural_light,,sub_line,40th Ave & Airport Blvd Gateway Station,,Metal,105,Farenheit,5,sunny
,urban,,subway_station,denver,15,natural_light,,sub_line,40th Ave & Airport Blvd Gateway Station,,Glass,105,Farenheit,,sunny
59,suburban,,subway_station,denver,22,,,sub_line,Peoria Station,,Glass,105,Farenheit,5,sunny
,urban,,subway_station,denver,12,natural_light,,sub_line,Peoria Station,,Metal,105,Farenheit,12,sunny
60,suburban,,subway_station,denver,22,,,sub_line,Peoria Station,,Metal,105,Farenheit,5,sunny
172,urban,,subway_station,denver,13,natural_light,,bus_line,Peoria Station,,Metal,105,Farenheit,,sunny
1,suburban,,,denver,22,,,sub_line,40th Ave & Airport Blvd Gateway Station,,,105,Farenheit,5,sunny
173,urban,,subway_car,denver,28,electric_light,,sub_line,Peoria Station,,Glass,72,Farenheit,30,sunny
2,suburban,first,subway_car,denver,,,,sub_line,Peoria Station,,Leather,,Farenheit,25,sunny
174,urban,first,subway_car,denver,23,electric_light,,sub_line,Central Park Station,,Rubber,73,Farenheit,30,sunny
3,suburban,first,subway_car,denver,22,,,sub_line,Central Park Station,,Plastic,73,Farenheit,25,sunny
4,suburban,,subway_station,denver,20,,,sub_line,Central Park Station,,Metal,105,Farenheit,0,sunny
105,urban,,subway_station,denver,12,natural_light,,sub_line,Central Park Station,,Glass,105,Farenheit,6,sunny
5,suburban,first,subway_car,denver,22,,,sub_line,Central Park Station,,Metal,73,Farenheit,25,sunny
6,urban,first,subway_car,denver,23,,,sub_line,38th and Blake Station,,Plastic,71,Farenheit,25,sunny
176,urban,,subway_car,denver,25,electric_light,,sub_line,40th and Colorado Station,,Plastic,73,Farenheit,,sunny
177,urban,first,subway_car,denver,25,electric_light,,sub_line,38th and Blake Station,,Glass,73,Farenheit,14,sunny
178,urban,first,subway_car,denver,28,electric_light,,sub_line,38th and Blake Station,,Leather,73,Farenheit,20,sunny
6,suburban,first,subway_car,denver,24,,,sub_line,38th and Blake Station,,Plastic,73,Farenheit,25,sunny
,,,,denver,,,,,,,,,,,
8,suburban,first,subway_car,denver,22,,,sub_line,Union Station,,Plastic,73,Farenheit,25,sunny
106,urban,,subway_station,denver,46,natural_light,,sub_line,Union Station,,Metal,81,Farenheit,5,sunny
112,urban,last,subway_car,denver,35,,,sub_line,Central Park Station,,Leather,77,Farenheit,15,sunny
116,urban,,subway_station,denver,46,natural_light,,sub_line,Denver Airport Station,,Plastic,90,Farenheit,5,sunny
118,urban,first,subway_car,denver,32,electric_light,,sub_line,Denver Airport Station,,Leather,71,Farenheit,7,sunny
102,urban,first,subway_car,denver,35,electric_light,,sub_line,Central Park Station,,Plastic,72,Farenheit,18,sunny
104,urban,,subway_station,denver,22,natural_light,,sub_line,38th and Blake Station,,Glass,94,Farenheit,4,sunny
107,urban,,subway_station,denver,46,natural_light,,sub_line,Union Station,,Metal,81,Farenheit,2,sunny
111,urban,,subway_station,denver,46,,,sub_line,40th and Colorado Station,,Metal,81,Farenheit,5,sunny
119,suburban,,subway_station,denver,46,natural_light,,sub_line,61st & Peña Station,,Metal,96,Farenheit,0,sunny
126,urban,,subway_station,denver,25,,,sub_line,Peoria Station,,Metal,100,Farenheit,8,sunny
130,urban,first,subway_car,denver,41,electric_light,,sub_line,,,Glass,75,Farenheit,9,sunny
133,urban,,subway_station,denver,25,natural_light,,sub_line,Union Station,,Metal,100,Farenheit,30,sunny
9,urban,,subway_station,denver,24,,,sub_line,Union Station,,Plastic,96,Farenheit,30,sunny
108,urban,last,subway_car,denver,35,,,sub_line,Union Station,,Glass,77,Farenheit,3,sunny
110,urban,,subway_station,denver,45,,,sub_line,40th and Colorado Station,,Metal,81,Farenheit,4,sunny
114,urban,,,denver,41,natural_light,,airport,Denver Airport Station,,Metal,90,Farenheit,7,sunny
120,suburban,,subway_station,denver,46,natural_light,,sub_line,61st & Peña Station,,Glass,92,Farenheit,0,sunny
121,urban,,subway_station,denver,20,natural_light,,sub_line,38th and Blake Station,,Metal,104,Farenheit,0,sunny
123,suburban,,subway_station,denver,25,natural_light,,sub_line,40th Ave & Airport Blvd Gateway Station,,Metal,100,Farenheit,1,sunny
129,urban,middle,subway_car,denver,41,electric_light,,sub_line,,,Metal,72,Farenheit,9,sunny
131,urban,first,subway_car,denver,41,electric_light,,sub_line,,,Plastic,100,Farenheit,9,sunny
115,urban,,subway_station,denver,46,,,airport,Denver Airport Station,,Plastic,90,Farenheit,15,sunny
103,urban,first,subway_car,denver,35,electric_light,,sub_line,40th and Colorado Station,,Glass,72,Farenheit,16,sunny
122,urban,,subway_station,denver,25,natural_light,,sub_line,40th Ave & Airport Blvd Gateway Station,,Metal,100,Farenheit,17,sunny
117,urban,first,subway_car,denver,27,electric_light,,sub_line,Denver Airport Station,,Metal,72,Farenheit,7,sunny
101,urban,first,subway_car,denver,35,electric_light,,sub_line,Peoria Station,,Metal,72,Farenheit,8,sunny
125,urban,,subway_station,denver,25,natural_light,,sub_line,Peoria Station,,Glass,100,Farenheit,8,sunny
127,urban,middle,subway_car,denver,22,natural_light,,sub_line,,,Plastic,73,Farenheit,20,sunny
109,urban,,subway_station,denver,46,,,sub_line,Union Station,,Metal,85,Farenheit,2,sunny
105,urban,,subway_station,denver,20,natural_light,,sub_line,38th and Blake Station,,Metal,100,Farenheit,4,sunny
128,urban,,subway_station,denver,25,natural_light,,sub_line,Central Park Station,,Metal,101,Farenheit,5,sunny
113,urban,last,subway_car,denver,35,electric_light,,sub_line,,,Metal,77,Farenheit,15,sunny
124,urban,,subway_station,denver,25,natural_light,,sub_line,40th Ave & Airport Blvd Gateway Station,,Plastic,100,Farenheit,3,sunny
132,urban,first,subway_car,denver,41,electric_light,,sub_line,,,Plastic,72,Farenheit,15,sunny
CSD16-DOH-051,urban,,,doha,37.5,,,hospitals,,,Leather,38.8,Celsius,,sunny
CSD16-DOH-049,urban,,,doha,37.2,,,hospitals,,,Plastic,31.2,Celsius,,sunny
CSD16-DOH-052,urban,,,doha,31.8,,,hospitals,,,Tile,32.7,Celsius,,sunny
,,,,doha,,,,,,,,,,,
CSD16-DOH-015,urban,,,doha,36.8,,,bus_line,,,Other,31.9,Celsius,21,sunny
Test1,urban,,,doha,42.1,,,school,,,Wood,22.4,Celsius,,sunny
Test 2,urban,,,doha,45,,,school,,,,22.4,Celsius,,sunny
Test3,urban,,,doha,45.2,,,school,,,,22.8,Celsius,,sunny
Test4,urban,,,doha,45.7,,,,,,Metal,22.6,Celsius,,
Test5,urban,,,doha,43.7,,,school,,,,23,Celsius,,sunny
Test6,urban,,,doha,42.3,,,school,,,Concrete,23.1,Celsius,,sunny
CSD16-DOH-118,urban,,,doha,49.5,,,other,,,,42.7,Celsius,,sunny
CSD16-DOH-044,urban,,,doha,20.3,,,school,,,Rubber,44,Celsius,,sunny
CSD16-DOH-047,urban,,,doha,20,,,school,,,Plastic,39.4,Celsius,,sunny
CSD16-DOH-045,urban,,,doha,28.5,,,school,,,,40.4,Celsius,,sunny
CSD16-DOH-045,urban,,,doha,28.5,,,school,,,Plastic,40.4,Celsius,,sunny
CSD16-DOH-037,urban,,,doha,21.6,,,school,,,Glass,39,Celsius,,sunny
CSD16-DOH-038,urban,,,doha,19.4,,,school,,,Glass,40.7,Celsius,,sunny
CSD16-DOH-039,urban,,,doha,18,,,school,,,Wood,42.9,Celsius,,sunny
CSD16-DOH-050,urban,,,doha,47.5,,,hospitals,,,Metal,28.2,Celsius,,sunny
CSD16-DOH-058,urban,,,doha,37.9,,,other,,,Plastic,26.3,Celsius,,sunny
CSD16-DOH-053,urban,,,doha,39.4,,,other,,,Metal,25,Celsius,,sunny
CSD16-DOH-054,urban,,,doha,42.1,,,other,,,Metal,25.6,Celsius,,sunny
CSD16-DOH-055,urban,,,doha,39.6,,,other,,,Plastic,29.1,Celsius,,sunny
CSD16-DOH-056,urban,,,doha,38.6,,,other,,,Tile,26.8,Celsius,,sunny
CSD16-DOH-040,urban,,,doha,34.9,,,other,,,Glass,38.1,Celsius,,sunny
CSD16-DOH-075,,,,doha,40.5,,,,,,,31.9,Celsius,,
CSD16-DOH-057,urban,,,doha,38,,,other,,,Plastic,27.3,Celsius,,sunny
CSD16-DOH-034,urban,,,doha,32.8,,,school,,,Wood,41,Celsius,,sunny
CSD16-DOH-042,urban,,,doha,18.1,,,other,,,Wood,43.2,Celsius,,sunny
CSD16-DOH-081,urban,,,doha,29.3,,,other,,,Metal,36.7,Celsius,,sunny
CSD16-DOH-082,urban,,,doha,41.1,,,other,,,Glass,40.3,Celsius,,
CSD16-DOH-083,urban,,,doha,37.1,,,other,,,Glass,40,Celsius,,sunny
CSD16-DOH-085,urban,,,doha,43.2,,,other,,,Glass,34.5,Celsius,,sunny
CSD16-DOH-086,urban,,,doha,36.7,,,other,,,Glass,31.9,Celsius,,sunny
CSD16-DOH-020,urban,,,doha,33.7,,,bus_line,,,Metal,32.2,Celsius,25,sunny
CSD16-DOH-013,urban,,,doha,29.7,,,bus_line,,,Metal,33.7,Celsius,21,sunny
CSD16-DOH-014,urban,,,doha,70.7,,,bus_line,,,Glass,36.2,Celsius,21,sunny
CSD16-DOH-030,urban,,,doha,39,,,bus_line,,,Plastic,30.9,Celsius,8,sunny
CSD16-DOH-005,urban,,,doha,44,,,bus_line,,,Glass,34,Celsius,15,sunny
CSD16-DOH-011,urban,,,doha,,,,bus_line,,,Glass,,Celsius,,sunny
CSD16-DOH-016,urban,,,doha,33.1,,,bus_line,,,Plastic,30,Celsius,21,sunny
CSD16-DOH-007,urban,,,doha,68.7,,,bus_line,,,Glass,34.1,Celsius,15,sunny
CSD16-DOH-026,urban,,,doha,49.1,,,bus_line,,,Glass,32.5,Celsius,11,sunny
CSD16-DOH-029,urban,,,doha,37.5,,,bus_line,,,Other,34.1,Celsius,8,sunny
CSD16-DOH-102,other,,,doha,88.8,,,other,,,Other,26,Celsius,,sunny
CSD16-DOH-116,other,,,doha,27.2,,,other,,,Other,36,Celsius,,sunny
CSD16-DOH-107,other,,,doha,32.5,,,other,,,,43.9,Celsius,,sunny
CSD16-DOH-108,other,,,doha,28.9,,,other,,,Other,43.1,Celsius,,sunny
CSD16-DOH-120,urban,,,doha,26,,,other,,,,35.1,Celsius,,sunny
CSD16-DOH-119,urban,,,doha,35.2,,,other,,,Other,44.2,Celsius,,sunny
CSD16-DOH-112,other,,,doha,31.4,,,other,,,Other,40.1,Celsius,,other
CSD16-DOH-114,exurban,,,doha,23.2,,,other,,,Other,40,Celsius,,sunny
CSD16-DOH-078,,,,doha,42.3,,,,,,,35,Celsius,,
CSD16-DOH-079,,,,doha,44.8,,,,,,,35.3,Celsius,,
CSD16-DOH-080,urban,,,doha,41.5,electric_light,,other,,,Glass,30.9,Celsius,,sunny
CSD16-DOH-087,urban,,,doha,54.1,,,other,,,Metal,31.2,Celsius,,sunny
CSD16-DOH-088,urban,,,doha,53.1,,,other,,,Glass,32.2,Celsius,,sunny
CSD16-DOH-089,urban,,,doha,46.5,,,other,,,Glass,30.2,Celsius,,other
CSD16-DOH-093,urban,,,doha,43.5,,,other,,,Metal,31.8,Celsius,,sunny
CSD16-DOH-094,urban,,,doha,52,,,other,,,Glass,33.3,Celsius,,sunny
CSD16-DOH-095,urban,,,doha,41.9,,,other,,,Other,32.5,Celsius,,other
CSD16-DOH-090,urban,,,doha,46.6,,,other,,,Metal,29.9,Celsius,,sunny
CSD16-DOH-091,urban,,,doha,43.7,,,other,,,Glass,28.7,Celsius,,
CSD16-DOH-092,urban,,,doha,43.7,electric_light,,other,,,Glass,26.9,Celsius,,sunny
CSD16-DOH-063,urban,,,doha,40,,,bus_line,,,Glass,37.6,Celsius,,sunny
CSD16-DOH-066,urban,,,doha,51.3,,,bus_line,,,Leather,36.7,Celsius,9,sunny
CSD16-DOH-071,urban,,,doha,55.1,,,bus_line,,,Glass,26.9,Celsius,3,sunny
CSD16-DOH-074,urban,,,doha,39.5,,,bus_line,,,Other,34.8,Celsius,3,sunny
CSD16-DOH-072,urban,,,doha,52.3,,,bus_line,,,Glass,33.4,Celsius,3,sunny
CSD16-DOH-065,urban,,,doha,44.1,,,bus_line,,,Glass,35.1,Celsius,7,sunny
CSD16-DOH-062,urban,,,doha,37.1,,,bus_line,,,Other,33.6,Celsius,5,sunny
CSD16-DOH-061,urban,,,doha,53.3,,,bus_line,,,Glass,33.8,Celsius,6,sunny
CSD16-DOH-059,urban,,,doha,42.4,,,bus_line,,,Glass,34,Celsius,,sunny
CSD16-DOH-060,urban,,,doha,35.8,,,bus_line,,,Metal,34.1,Celsius,6,sunny
CSD16-DOH-043,urban,,,doha,37.5,,,school,,,Plastic,42.2,Celsius,,sunny
CSD16-DOH-035,urban,,,doha,20.5,,,school,,,,45.5,Celsius,,sunny
CSD16-DOH-033,urban,,,doha,35.4,,,school,,,,35,Celsius,,sunny
CSD16-DOH-031,urban,,,doha,39.6,,,school,,,,39.9,Celsius,,sunny
CSD16-DOH-106,other,,,doha,30.9,,,other,,,Other,46.2,Celsius,,sunny
CSD16-DOH-032,urban,,,doha,38.5,,,school,,,,40.1,Celsius,,sunny
CSD16-DOH-067,urban,,,doha,54.7,,,bus_line,,,Glass,37.8,Celsius,8,sunny
CSD16-DOH-121,urban,,,doha,45.2,,,other,,,Plastic,27,Celsius,,sunny
CSD16-DOH-069,urban,,,doha,53.4,,,bus_line,,,Glass,41.6,Celsius,8,sunny
CSD16-DOH-070,urban,,,doha,35.2,,,bus_line,,,Other,38.3,Celsius,8,sunny
CSD16-DOH-023,urban,,,doha,30.7,,,bus_line,,,Plastic,31.6,Celsius,22,sunny
CSD16-DOH-001,urban,,,doha,40.6,,,bus_line,,,Metal,40.8,Celsius,,sunny
CSD16-DOH-012,urban,,,doha,41,,,bus_line,,,Glass,32,Celsius,21,sunny
CSD16-DOH-022,urban,,,doha,42.4,,,bus_line,,,Other,29.8,Celsius,24,sunny
CSD16-DOH-021,urban,,,doha,42.8,,,bus_line,,,Glass,32.5,Celsius,24,sunny
CSD16-DOH-019,urban,,,doha,38.6,,,bus_line,,,Glass,33.4,Celsius,25,sunny
CSD16-DOH-027,urban,,,doha,42.6,,,bus_line,,,Metal,30,Celsius,8,sunny
CSD16-DOH-002,urban,,,doha,41.9,,,bus_line,,,Metal,38.6,Celsius,,sunny
CSD16-DOH-028,urban,,,doha,59.8,,,bus_line,,,Plastic,32.2,Celsius,11,sunny
CSD16-DOH-103-105,urban,,,doha,37.2,,,other,,,,36.9,Celsius,,sunny
CSD16-DOH-100,other,,,doha,28,,,other,,,Other,37.1,Celsius,,sunny
CSD16-DOH-123,urban,,,doha,41.9,,,bus_line,,,Metal,35.3,Celsius,9,
CSD16-DOH-125,urban,,,doha,37.9,,,bus_line,,,Plastic,40.2,Celsius,8,sunny
CSD16-DOH-124,urban,,,doha,37.4,,,bus_line,,,Plastic,33.9,Celsius,3,sunny
CSD16-DOH-009,urban,,,doha,37.3,,,bus_line,,,Other,30.7,Celsius,15,sunny
CSD16-DOH-041,urban,,,doha,26.9,,,other,,,Glass,42.1,Celsius,,sunny
CSD16-DOH-115,other,,,doha,25.3,,,other,,,Other,33.6,Celsius,,sunny
CSD16-DOH-109-111,other,,,doha,28.9,,,other,,,Other,43.1,Celsius,,sunny
CSD16-DOH-101,other,,,doha,28,,,other,,,Other,37.1,Celsius,,sunny
CSD16-DOH-113,other,,,doha,24,,,other,,,Other,39.5,Celsius,,sunny
CSD16-DOH-099,urban,,,doha,31.3,,,school,,,Other,41.5,Celsius,,sunny
CSD16-DOH-006,urban,,,doha,29.9,,,bus_line,,,Metal,33,Celsius,15,sunny
CSD16-DOH-096-098,,,,doha,46.5,,,other,,,,29.7,Celsius,,sunny
CSD16-DOH-008,urban,,,doha,30.7,,,bus_line,,,Plastic,31.9,Celsius,15,sunny
CSD16-DOH-084,urban,,,doha,29.6,,,other,,,,32.3,Celsius,,sunny
CSD16-DOH-036,urban,,,doha,16.4,,,school,,,Wood,46.5,Celsius,,sunny
CSD16-DOH-117,other,,,doha,26.7,,,other,,,Other,36.3,Celsius,,sunny
CSD16-DOH-122,urban,,,doha,45.6,,,school,,,Plastic,22.3,Celsius,,sunny
Test 2,urban,,,hong_kong,,,,other,,,Wood,,,,
Test 2,suburban,,,hong_kong,52.7,,,other,,,Wood,27.5,Celsius,,sunny
Test 3,suburban,,,hong_kong,53.4,,,other,,,,28.6,Celsius,,sunny
CSD16-HKG-0002,suburban,,,hong_kong,52.3,natural_light,,other,,,Stone,32.2,Celsius,,sunny
CSD16-HKG-0003,suburban,,,hong_kong,51.8,natural_light,,other,,,Metal,29.9,Celsius,,sunny
CSD16-HKG-0001,suburban,,,hong_kong,54.3,natural_light,,other,,,Metal,30.7,Celsius,,sunny
CSD16-HKG-0004,suburban,,subway_station,hong_kong,54.5,natural_light,East Rail Line,sub_line,University,,Glass,29.4,Celsius,,sunny
CSD16-HKG-0005,suburban,,,hong_kong,54.7,natural_light,East Rail Line,sub_line,University,,Metal,29.8,Celsius,,sunny
CSD16-HKG-0006,suburban,,subway_station,hong_kong,54.5,natural_light,East Rail Line,sub_line,University,,Wood,30.3,Celsius,,sunny
