,building_setting,car_location,car_or_station,city,humidity,light_type,line,place_type,subway_station_autofill,subway_station_surface,surface_material,temperature,temperature_type,traffic,weather
CDC-16-SAC-53,rural,middle,subway_car,sacramento,16,electric_light,Gold,sub_line,Glenn,Window,Glass,91,Farenheit,1,sunny
CDC-16-SAC-54,suburban,middle,subway_car,sacramento,22,electric_light,Gold,sub_line,Glenn,Seat,Plastic,93,Farenheit,1,sunny
CDC-16-SAC-55,suburban,middle,subway_car,sacramento,18,natural_light,Gold,sub_line,Sunrise,Trash Can,Glass,95,Farenheit,5,
CDC-16-SAC-56,suburban,middle,subway_car,sacramento,18,electric_light,Gold,sub_line,Sunrise,Seat,Carpet,95,Farenheit,5,sunny
CDC-16-SAC-57,suburban,middle,subway_station,sacramento,18,electric_light,Gold,sub_line,Sunrise,Window,Metal,97,Farenheit,2,sunny
CDC-16-SAC-58,suburban,first,subway_car,sacramento,18,electric_light,Gold,sub_line,Cordova Town Center,Seat,Plastic,95,Farenheit,5,sunny
CDC-16-SAC-59,suburban,first,subway_car,sacramento,18,electric_light,Gold,sub_line,Cordova Town Center,Window,Glass,95,Farenheit,3,sunny
CDC-16-SAC-60,suburban,first,subway_station,sacramento,16,electric_light,Gold,sub_line,Butterfield,Seat,Plastic,97,Farenheit,3,sunny
CDC-16-SAC-61,urban,,subway_station,sacramento,,,Blue/Gold,sub_line,16th Street,,Metal,,Celsius,,sunny
CDC-16-SAC-62,urban,,subway_station,sacramento,,,Blue/Gold,sub_line,16th Street,,Concrete,,Celsius,,sunny
CDC-16-SAC-63,urban,middle,subway_car,sacramento,,,Blue/Gold,sub_line,16th Street,,Metal,,Celsius,,sunny
CDC-16-SAC-64,urban,,subway_station,sacramento,,,Blue/Gold,sub_line,29th Street,,Concrete,,Celsius,,sunny
CDC-16-SAC-65,urban,,subway_station,sacramento,,,Blue/Gold,sub_line,29th Street,,Metal,,Celsius,,sunny
CDC-16-SAC-66,urban,middle,subway_car,sacramento,,,Blue/Gold,sub_line,29th Street,,Metal,,Celsius,,sunny
CDC-16-SAC-67,urban,,subway_station,sacramento,,,Blue/Gold,sub_line,48th Street,,Concrete,,Celsius,,sunny
CDC-16-SAC-68,urban,,subway_station,sacramento,,,Blue/Gold,sub_line,48th Street,,Metal,,Celsius,,sunny
CDC-16-SAC-69,urban,middle,subway_car,sacramento,,,Blue/Gold,sub_line,48th Street,,Metal,,Celsius,,sunny
